model,run_id,best_epoch,test_standardized_mse,tavg_mae,tavg_r2,delta_t_mae,delta_t_r2
6x20 SmallCNN,logical6x20/small_cnn_v2,40,0.019566633920876972,0.009256133809685707,0.9983555674552917,0.027189958840608597,0.9630123972892761
6x20 Mini-Inception,logical6x20/mini_inception_v2,34,0.028121433130444042,0.019685344770550728,0.9860709309577942,0.029308831319212914,0.9582083225250244
6x20 ResNet20,logical6x20/resnet20_v2,77,0.010036999900161199,0.011195925064384937,0.9979601502418518,0.017263464629650116,0.9822024703025818
XY90 VGG16,xy90_224/vgg16_v2,39,0.007254250107744495,0.008474296890199184,0.9984801411628723,0.013302493840456009,0.987181544303894
Polar90 VGG16,polar90_224/vgg16_v2,39,0.006491925961544992,0.0065152570605278015,0.9988573789596558,0.011925505474209785,0.9883148074150085
XY360 VGG16,xy360_224/vgg16_v2,40,0.008647084444015414,0.008709568530321121,0.9984235763549805,0.015002761036157608,0.9844892024993896
Polar360 VGG16,polar360_224/vgg16_v2,37,0.02983428462713465,0.01577020063996315,0.9964077472686768,0.033711519092321396,0.9446693062782288
