gene_id,region_id
35cae51cc6c0d682d5e3396b7fccc9ad1d06d0d8118ecef5a4bb0d1af383362d,10
31eb7da73d7706ce551f7fdca26533277aea9b795a2854ab4f6bad40f427bcde,8
dd399d74a4e3d274ecc9652420732b7f10a806be7920ad160144d7105acba458,1
0dfdeffc7ca6bf41eabed8f373dcb8b6bf64daedd4068d8a83db6473eab41a8a,2
648c5e9abb7bbadcd05b7114bc2009e5edcec05b7403b6e324f6d3701af21a64,10
d884d3882ac1a694591672cf7daecad020ee89698a64e7aae4f728a46113d2be,6
14755a622d7628a77677efcd2548f61e09d3b0b0422f91b957cd64bf0ce3818c,2
b0bd313ff44b2c6e6439c47ab12965991afb6c80be516832a0c38dd6458e0afc,2
0ac71b69fc7efc2e905343e1b692b7a73ee3354a3bda718eddf1da368cc3e4af,9
e63b0e556ebdfbe42c7036f56cc540b155296f479b296221a73e5f9178852c7c,2
54a630068c18bb57712031e066cb025ce4a0312c20de17a9674de0a646c84d50,1
39b8cb9d555844a9be9a06fd2b2e260cbd4ebd7b8c7859a23e1a5628933000e6,2
6a0e42bcb80e07be02d0353955fe56f2561c72c4c4d4b57147107ab2282b94cf,1
a9d77258be8f41d6ca251b1cb2735c5b9d493da6a9897af34ef7f9bd1b242542,2
ba1d7765317ae1d36d7a02ee300bcb7830b0b7318f0ee03cc89e0794d1c2b397,2
f593bf6b1f7e45eb936f4f40694462f842aad66cfd5bcd0fcd0265f97b49bc5f,8
c04e6d10dfba91764780a6dd203ecec4e3944fa6d535330af9aed31319ce402f,3
323c2f7ac188084b5485500bda1e224371a07225a95f9c337eab030290f81bfe,9
2962bb9cc032276ce0812d6a35f32c611d847968053e38bc41f6dce7c6ce6ee0,2
def5b6ff7ee055d7725cf6330a1b18613ec808033881e19fd58550f3626b9f62,6
59ed7142482eba75c980321e98e1e7e2c16e8be67e49f37e5da0bece8f1868f7,3
c20c2577658f578dafa851e951231c16009248b02d2e037d48944674a830ac01,2
53cb99db49450001d375d015505d94c65e067630f5de4bc8debc2f57002fc746,1
b4babb3c843a3c67c094406ae37e4b81710d050ec28384d5d3d364b292e05305,2
2626407fd90614080ec6a0f8e3ee6032f06fa4e07bf1792384a79cf5f2741862,3
72925cc99362d01170822f626f88efca0c660405b9ca7df47c06641d219a8ffd,2
22619375b937e47004161ef65dc54a49dfcb3159fc33af597045d5256c4c81ba,2
21fe24c4ecc8a5068ba651a60f43e19ca810eda7a7f425c37be1524d328746bc,1
279bdba47c4063a5e1db49a8941c49a969bd0781bdd507e4878a45edf4fea13f,2
b482931c4c3adf8742016bd455371868da7f0fbf585ba3a303d0dde643eb134a,2
db870d4b98fc40e43e9dcc005ad4a5c2404c398e211be9083f79a3218d32a1d7,1
6aa80b3e668e87982fd32b7f39452b3c266daf1150b0c8abbb86f126dc44d3b7,4
01b97b13144914c48ae58db59ad1a4f31a9a224a2eb5371804835c0a784326f0,10
b275de1261c3f7582f488a45db87613ec846e92e057ac8a6d28de8bd7a7e5217,6
fc8f363787920e35f1f21976edee5c7b4fe3bd80e634af30cfc79fef5a679cd6,1
3cd7df9e26f8607102ac21dec02dcdace1a9d58129e5d5527d1292906edb7c60,6
b09350662eaf2de428744d2d831bbc3aeec8c0bf3f5bf10debb149042a4051a7,2
bad1368bf388ff49226886aa3d1ca17edd71215a5278cdf9f73637d495e749ef,2
3cc63b8427075634e39b509638dab8fa0cb02f5154a62324ff8ec9fefbbe9adf,1
bc2f69b9764337c11bd41ccd6529fb1da19201fe4598983519439c6b488525d2,1
948bb77b02fd9c88ec6248c896017b38c02ebd79525b7c312120078dc540dcd7,1
375ec4c8573cc0a5aa214fe5d86fe3d46e367474a3c54898ad4f3840f973984d,2
c1ab57a3c22e1f705484134bcd78428e5d4d3b0e5c69b668e0e28200f21b7b4b,10
f3ae46bcbfb2a737609c4a0cb97ad902adf5c754708f8105203ea8beaadc2a13,2
3b170635e1b01142dba1e45bb8890dc2a5e7db736906a32a20001dfdd957fde0,2
b77fba460e766dca13ff05f21a8b01df8a1032b5b51ffb87f26d02d8b784899a,2
b245373a8cc7ac73ee54aa8070634d3e0fbcc3b797f42fe5b7a2f6b16fc19b1f,2
8e5ff0a92830dec65117c229f6a4954f4c20005039eb83a222f90c22fafd999d,2
a8af936f0f4d4a490e671ca054c7ee074246f6b367ed4950d0e3110a1c38ac19,1
6644b6f35fc46c980ce51fe5392d99acff96eb9174e8bb21a895d75a63ff4e50,3
bd0f667704cc5e498aa9633749fe6b3d7432dff4a10767eb6f07694203e066cf,1
08afa0f7f1d12adde71ac885aaf484ea865306439abf96e56b03aa6255ed6006,2
e3a6d93496c03b71f7059ec6249419d5aa96d115a6eb059d8e5368941bfa114b,2
4a0136c34fe9202ba8b016c76f0b53b417dd1fc8ec754e0eaba66f1dac1e4a21,4
13353128a0f56c4b500e19dda26a89faee4db60c0a0110f0f62429218e506076,1
56023db95f77d64901a8a2877d6ce87c1191c27364b5877d87348295d6bea8d9,10
f93e7aad929b6e143dcbb194ca907dc9b7d40952ac2dc9b288911805aca0289b,5
c43a224d703ac5eef10b1797273b03121ab3ac8807c9e36451ca1edcf64395a1,1
a2d9654600897cd4fd9239395ee927f53195f147bc64124e31870b273ac3c76f,2
9821e429242c352ea62560709b0796ddf2003894dcd5e19c9121b76cd37c9bc8,2
eca63c8897a77a1e431c7dd2fe7479cb68cb12bb81fc36304ad43944dc1625d4,3
09ab3c55f90b3488ce79e4c307f723cf29c2f214d0f273c0da3b55c19913c89d,4
579ac4ac310caef0b081c0cf0bb2ea7f9b4b1f918ba2ed7f5e8e8aa3d8143686,4
d57719bbff3526ae2dc0aa71457004f5ca6a5f79a160e64f0d2a77b92a692077,3
59c75efd8b605de4d19d190c4abf048676094394a537abf99c765a02178aa2b5,1
2fabd767c9276008a8232513eb7362a55e511c4900fc5988059f825f7c32240c,1
da9c5cadd769340d50c17c1200b7a76c88f41140cc872cb21d56b439d33862cd,2
c078d57bbda6092ab52034f0456f305d76ee68785126a3bda181b78298b5293c,5
06ba6650a00d984163c72e7fefa9f9185fdfd51b518d4722398acbdf98db4e5d,10
0f5106ea78169a1c7c7e534722697d5bb8d9c15c67591c6e930684b70757dea0,5
c72a261a4b4bc61888a9e1ceeba6b5cb7bada5606451a343c11722c084dbeab3,2
6cd44c69cb101f1e950995d85837ce5223da459c95467ee5364eed322ce25f75,2
adcf1ffaae9a2c9bc6d19f2841c4e18082af1ec5ffb000703ac09cd8c8d0105f,1
e874e453c013973a71b586c70367a85413c776be9a512489946142993dd1375c,7
56f72a96841908ac569aecccd972119b86923e3cd952dd2f473e54977b3adc61,2
bd4fd9eaec84605e740880e8b4e256c28276359c750d74429beeeb2187588f1c,2
4aae0c95bdb15be9fb1723115592de200c8532cdb602e9f3a4f63f25fb194543,10
b93a46255126d982b0194cf5c37e58ce68b1536b98fef77c2bd09ec945004ddb,1
2219d1a2dbcdb9bc45a9b0fd221790b824a4bebfe3077b8ec28248d0cbae9f95,2
d334ea9c721589b87ab74064787c207dd1bd0a3cddb37b22f5b93f5fac156f27,2
4513daed35980348f0dc66c61c150d91a6cd1f5d52739f39979a3af816011e01,1
101373f4273f67a17970038986013da54ddcfe4be21166e632bcf917d5f0163d,4
01ea53152c44d2b5f692e1839a15c291f5069c948a0fd73b9e68ff0569e33906,2
c67d967f90714de662157bf263f864636bef9bcc108adfcefb1d2d336f0aa748,1
d4848630fc81978cfaa3c6761004d5dcfb491e8f04361d2014fecf84e035dd9f,10
5fbe15369511e652706a57268789006f54c2b01683c9bd3bdbc97f81712106bd,2
24bb9ffe12e82bd9417047749a96ba5b3beb444c1d115e44ab5d7ec3f95d0401,1
72a0762281b44bf5e574637b0c6025bdaade1e994eb4266d61889cba3f5bc5fb,2
9e7db9b9be414cbda8e1fe7ff62b39b046ea45161c59dd215a98e0cba5d1e58b,1
66f26577f1084ab067fcde88da5a9788165a1978a6c591b3c492898897911f4e,2
1010fe6db8c5ea520a8dc0092710f3f583cde566c4bd6de7d0f89e6ca6ea2210,2
645c2ef57b3782a68dabcaca717fe0c876ebcd65f8c3f34c99b1c863b8588f26,5
82b61d20885f13d39f1897255b676c316e70a8556bfc02ca72a76e78f48f2ac3,1
f52af5f9ae5e24c59d7cbc679c38a4a0eda67122a9ad81afdd4e53f6e008bba9,7
1c0c55af6db8e8407164c02a38b4fdb3afc93f470ff2ab4dabf329ca9183a115,2
953819fb0488e3725f420f1bb4cea550a0ac2f56f65da1b2df9d6fe45dedff02,6
d671e599043626a6cea3215b2e8bda038d644d323c278367ae7786911d1fa53c,4
646e49c8bf8e715ba965355a961525970c772418514a219eace967bb8eacab28,2
3e14b69b40320f0640e60ab2c8c78c9856b7a0d3204515163c9737c4d5ab922c,2
10ee43c3e649a14b5fcbd8df3e8fc80d0c15ac00b38e3373ddb12e636cb461d9,3
dc37ab7d71b2683bc81b9d2d15dcb63aecb6d54a971d11a674155cca99eabe61,10
31a74e0d3d445ac39e7cd15f6ac8e4411d04d87ac0a5bb6eb4f808578a426b19,2
bc4418ba0c7b2b3b95fbab5b0108bb630732c84ec460cb3037f80569b67ad527,3
7361b5ea82adea5d814b29ea6e8d4e01973166e97bc16f24240cfa4995baa5b1,10
9a99725e6cbf610d638ca5759debf35a763be536c4191cabefc023b594adacb3,10
1ef26b1a064154d9ed3d3cd268d63e95fc462ceca9feaa5d2d33691d4a493d7e,2
479cfbb697417a6cc3394287a638ae0caa332f2b31579e68a3c1766894fd439f,2
4ad9f11fbf5e300919e970f4526b45fb6a2ea70e38bacf288fc6973d72ece4d0,1
540dbde3f7d412e127e1815f644bd72ace9ae0722d73e430d5e024876d5f01f3,2
e210ab24f7eb1af22489009ebf46e8e24e3a329d81035a207e8947b8d021c316,1
c9afd68368833fa5c5cf2a82c07a05144ede690bb973b7b2ac08aa89aade13b0,2
6ded10f22f5caeefd3b798b0c3a7add6528553773dbf798ae176362a6b66584b,2
b55ff13601ec9fd493e8cea1289ef9ca268c2f5e243fcfd58fd87f2f2ccfc66e,2
2544a050ae8308e76711a680b1cd9f47f0d7131859e7b4d4c00b245a2ec8baeb,2
a047c05e0e74c94a7f7af888c8e92c59c60ce73e3421feb57cecefcb5534f3c7,1
5fe1236df6b78227bbe5ec36f93585d02836f9d8855c043e3e1510ae6bcb3059,2
a5f443188497b88e7bd268ed32ca62917f51e934a071cfef6aa2645ec5a9aae6,2
83f0a8ff24d905524a9e58d6c70c15fa6c62bf6862b2de204acae92883783682,6
d3ea349556e2e0f5dd8071afb12dbe04aefef6c5ca7a6c9ca068677c41fc3ac2,1
74d9953f281b1fa8ebf3bdfb86d29315a8f630fff046e3fe0f845e8ce4f83768,1
8905e3024f61c13f803df2cff5fc594c5077f396261862111dd5f56177b9c3bf,10
823b72261724e710baa969f07d1aa8330ee9f77d4fa08c929787d5d9b16bee3c,10
9c3fb27899431358ad4e65430efdca29fc78232afdf7e42b775d46984d68c9a4,8
8c7794044632170d6ec502947e54f27b32173e643ba61b8798486dfecb3e898d,1
98ca1992d8fb194825c142d0fc0e0fd1dfde78d2858e9dfec10d91f6aaf69154,1
77bbf05532a68ff444df6558377a98c1bcbf3f5d21458842b39afe3d05d18b6f,10
8c0a4b0b61a073d1aa7007382a9251169a11aac9bc8d832bb1cd374e3dbab652,1
16d8cae4a3c156fe51d3fcd6b3145540bddf5bdb61883e0c50a18b02ad5da67d,1
22cabab8b2f530d4c8585265aa1758af281189ac0b0421bf88ee89613c28fafe,1
aac36c6868b55094b84393ca0f0233fe94cb2da031ebab8eb4fb922e7b71d309,1
f05f07e71b3d4833c60e98fb9fdf1b2a1e56651b22a897bf4bf8bbf2587a1949,2
3bd7eabfee1f51ff38133330cda0828aa55566e7f87820fa4491528dad2eccf0,1
806b31b71de364a25ba4f3880ae4ad9d8a37dad9bee8b072c79d5ef614564dc7,2
b2572f6a975058ad8b5999f3e3bbd04df32b8aae266e229dcdcc946ce9b60362,1
abfc293b18ccf2c33b5349217a8a3ea7ddbfaf667e4f1fe8864c60cd5e0aff5f,2
bd3be8d46041736522da0e3415c161911f1c525a2fc40f6e9826cba20579f5f0,6
90d6c6e7f4bc72748f332e48712c339809cb62c6b1c42bc041a5aa65a80f0739,3
a096f7532e14f64557be4ae5504ff91705e145c3a645f6abecf3f19ceff80368,9
96a0d3c6732ed765fa169aff1378269cca1cde0d1dbea9e18372ae7ee6fb7d86,1
2663abb550f31c0703b9b09361b68a7f6efb874cdcd6a2efaef79b8a2cd679b3,2
4efa961564d588a2d05959a2ff76543db823c58bf37b413fbddede8b61739b73,2
78bbbbadcdcd1f0a10a47a4b7dd41159f98eb6f1ede593ec9f85ec625bc165e3,2
7afea6c1d6f90b387a89281807031765591b2d77b5b163f5a28ac858d3404537,2
e32fa333e4893fd1d9c50ed987ed9a8e6e211959721f6002479708153f495124,2
cab4dacbdef5b8e616a3770c4e5bac2cbdca99ed7e42de06c99c67f191a2cc38,9
fabfb702a3472b5917dd418ec74513d15bc8a07bc36bb99530d1c25aa24adc7d,2
2a6b65a27f2b7ea9f083ce02948fe4bcdfe0ed8e5074eb9939f2ad81421c55bc,10
108c13dbdf9bba079be4c23830dfe350b5a60c5c75d80f850582dd2ca5278822,2
3350dde3325a8769842572d06da0266c16e844df324519fa8f1c9a7b5c9d6854,10
e410e022db99179620ad19cce6833def34bca38d46d1e01299bf0c500e806867,2
d9cb58ff323ab00d93fec5c9f0146b1dd18dc1703e347d19a9452e573b123d34,1
90c252b146f58ca6f8d3efd6a784dff1f4c7c711e2cd0118ff89ce1ce2f03b23,1
4fc1d37b3ac636ca504af2a9923311ad56958afb4ac1ecc244a83ecf5ae44a1a,3
05b2362875a7b17ad720da15805cc33144c5ce7b03b93d12537ecb9f3eaefb2b,5
f3544b93de2542a54faaf42f49c5e45134b90cd4f165da42fd269946a822ba50,1
8cdd22758012a73699c07b184932a05933044b251310299b069312dba8d2888c,2
d1ccf38bbebf82f0d9c1bc91bd96c2838a48b80cf622aaaa048a79842cb393c0,1
469b2314c9f9b08cd9b4133d8549871573c15e5f7de5be2ca199d39f2efe0d99,1
3e9e4f5f8c3d04c773d1b1106ab434c2e1a2dce60f7b6a70da346c4e11be1f06,1
40b48db53ccd8707d1c298770dace4953f0790acc6de55d19f23a49fe4f213fd,1
b9162c70df985325166586fa6be31dc5380c6227f95df49ee33dcf9b46ebfa8c,2
31e8d37d5aa3b34fc439e9a856f3cd2e23474f4b05048bee11cb90b99f9cd177,1
626a6f6edfb996b0d37715a19343e53166226528de81517f7f4af34d53d25240,5
066f344b039bf1cbd3b8d9753a8ff2abf3524180433e2e6deb6a48fa6e472327,2
177e3a8db4053fa226cfb037b1b56085c544e97a32e4b4e79ed3dd1b6ac9ad0f,5
54ee8f908bc105bede88ab43cce9416972c7030901fcb9ad52fbd7175452a54a,5
8484bda1875623711d16a2765272ca37688813c62918479d218443685249116a,6
59af0c3f82a87e1b2de49c7a6a3e75dc8703cea5345552bef5c60d34968d9e9a,10
f5e671264979ab1ce096ec23f7c0840cf80eac20aeb8cf93ef0af7056aaf108b,5
1a51e22331e96e922e8c689db051153d83c18e9b0a47c210aae8e5002499d9a9,2
9ed504b32f55e2e31436088aee5837c8ca5593d1f42331dce7d8efc0948269ab,2
ab769e4dbae5c5b2fb464a2a5cd922dbca82b4211224fc72e3df6dfc98a453e5,2
964077e135abb69ee3ef2199962337f82a6ce90068d1c885aec9bfd47f7cd8b0,2
b0765d996dddf65aea6a5a2de33e2cafdea59cdfeca2701da182122ffef776c0,2
e0c316edd6a92f21b5709e3d98f74c6e4ac96a673f21b7306cba369bf5288e93,1
1a676b497f223022f249f05c6c21c741c57c249b1905822d12eaaed42d7b6acb,2
9b51b5792f720234be8849c5578a8648b467d5203370be82345694664e267357,1
c5ac442ae5ab55d2044fe9b1ce307224084de57eaa52ee6efafeb53e2c202069,4
2f86c63adea988952e3f85050a53c3f900979b84ed169bda49aceea740b600d2,8
fb5f9ab8feafe379931b26d48a8ac069f53131d8108f29c3b9583f8df55d2063,2
2494c3b1a8348a0772d5707d85e8197380d35262864f86e32515a47c62ed491b,5
1f37b8af6283a2f3cebde871519c67f884d19a4f73d88d79abb4bcffdb3f7835,1
f864672b40726a3e7d658b25b788ea64dc996248252cef563366e09a8891966d,9
45a6325f4c14d3a726bd5c2e5a8978570a3ece5d8a029c2d8c1943b7668989a7,2
34fd7ec00108625b6138dd1a75e5eea8a0c1cecf07d13b8ef92b62d7c560e41d,1
