step,learning_rate,seconds,mse,old_mse,new_mse,attempts,grad_norm,amp_scale
1,0.0001,0.0065095000027213246,0.08010198175907135,0.0417425845350538,0.3486177325248718,1,4.00799036026001,128.0
2,0.0001,0.005503100001078565,0.1589684933423996,0.04616171973092215,0.9486158490180969,1,8.048141479492188,128.0
3,0.0001,0.005619099996692967,0.1589951515197754,0.06863034623009819,0.7915488481521606,1,7.9829535484313965,128.0
4,0.0001,0.005232399998931214,0.1908840835094452,0.04068737370627267,1.2422609329223633,1,8.723068237304688,128.0
5,0.0001,0.0062353999965125695,0.057665444910526276,0.0267132967710495,0.2743304967880249,1,2.7826836109161377,128.0
6,0.0001,0.004942799998389091,0.34382203221321106,0.0426265469619206,2.452190399169922,1,14.54964542388916,128.0
7,0.0001,0.005087899997306522,0.10783286392688751,0.04981079697608948,0.5139873623847961,1,4.617920398712158,128.0
8,0.0001,0.005045900004915893,0.26745426654815674,0.041185536554881504,1.8513355255126953,1,13.516079902648926,128.0
9,0.0001,0.005658000001858454,0.11441671848297119,0.03229416481086186,0.6892746686935425,1,5.148196697235107,128.0
10,0.0001,0.006465099999331869,0.051602043211460114,0.020411504166466848,0.26993581652641296,1,2.7346115112304688,128.0
11,0.0001,0.006498800001281779,0.15199866890907288,0.08223817178181239,0.6403223276138306,1,9.14316177368164,128.0
12,0.0001,0.006566999996721279,0.05223270505666733,0.041649392672947476,0.1263158917427063,1,2.0148723125457764,128.0
13,0.0001,0.006811200000811368,0.14756052196025848,0.05528940047536578,0.7934584021568298,1,5.5376176834106445,128.0
14,0.0001,0.005654900000081398,0.20778460800647736,0.06050846832139151,1.2387175559997559,1,3.614849805831909,128.0
15,0.0001,0.005824100000609178,0.08888563513755798,0.04274009806769235,0.41190430521965027,1,3.992649793624878,128.0
16,0.0001,0.005527399996935856,0.22743086516857147,0.03756628717694964,1.5564829111099243,1,14.535675048828125,128.0
17,0.0001,0.005284600003506057,0.04471813142299652,0.032558834978512356,0.1298331916332245,1,3.379432439804077,128.0
18,0.0001,0.0053813999984413385,0.08344973623752594,0.050508345876421244,0.314039409160614,1,5.201468467712402,128.0
19,0.0001,0.005214999997406267,0.14909665286540985,0.042629816702433994,0.8943643569946289,1,3.6094894409179688,128.0
20,0.0001,0.0049769999968702905,0.09210337698459625,0.05550175479480198,0.34831470251083374,1,1.736358642578125,128.0
21,0.0001,0.005649099999573082,0.06054212152957916,0.04202453579221453,0.1901652216911316,1,2.0201222896575928,128.0
22,0.0001,0.005306200000632089,0.13029934465885162,0.037618317774363925,0.7790666222572327,1,3.7989659309387207,128.0
23,0.0001,0.005861099998583086,0.11069780588150024,0.0384958130972726,0.6161118149757385,1,4.7397332191467285,128.0
24,0.0001,0.005391400001826696,0.08813493698835373,0.031820209962981086,0.4823380708694458,1,5.3106689453125,128.0
25,0.0001,0.006001800000376534,0.0748090147972107,0.037029002393995016,0.33926913142204285,1,2.227677345275879,128.0
26,0.0001,0.006006399999023415,0.10144983977079391,0.0405984776360648,0.5274094343185425,1,3.451720952987671,128.0
27,0.0001,0.005438400003185961,0.1472724825143814,0.039952095065798075,0.8985152244567871,1,5.078917980194092,128.0
28,0.0001,0.005023799996706657,0.05176914110779762,0.03756152306284223,0.15122246742248535,1,3.1393048763275146,128.0
29,0.0001,0.0055625999957555905,0.07981184124946594,0.04595014878681728,0.316843718290329,1,3.1109585762023926,128.0
30,0.0001,0.005584799997450318,0.06773272156715393,0.030287793704441617,0.32984721660614014,1,3.5065524578094482,128.0
31,0.0001,0.0053267999974195845,0.05311339348554611,0.030823024255888804,0.20914599299430847,1,2.609851360321045,128.0
32,0.0001,0.00524530000257073,0.2740649878978729,0.02199276430266244,2.0385704040527344,1,8.215498924255371,128.0
33,0.0001,0.005430699995486066,0.1613464057445526,0.04209925447191511,0.9960765838623047,1,5.051451206207275,128.0
34,0.0001,0.004958799996529706,0.052570611238479614,0.030313276818820407,0.20837192237377167,1,1.1901754140853882,128.0
35,0.0001,0.005401900001743343,0.08188687264919281,0.041867996965135844,0.36201900243759155,1,5.578927040100098,128.0
36,0.0001,0.005408600001828745,0.08400224149227142,0.0803390656198774,0.10964445769786835,1,1.409213900566101,128.0
37,0.0001,0.005302999998093583,0.10419801622629166,0.04434190903391157,0.5231907963752747,1,4.211908340454102,128.0
38,0.0001,0.00526969999918947,0.07673481851816177,0.03607995169503348,0.3613188564777374,1,1.8732458353042603,128.0
39,0.0001,0.005504799999471288,0.2452339380979538,0.025716298392840793,1.7818574905395508,1,9.86025333404541,128.0
40,0.0001,0.005196599995542783,0.09274514019489288,0.04249007787023272,0.44453051686286926,1,4.283590316772461,128.0
41,0.0001,0.005394499996327795,0.03943929448723793,0.027568385004997253,0.12253566086292267,1,4.127756595611572,128.0
42,0.0001,0.0052856999973300844,0.08038698136806488,0.037923842668533325,0.37762898206710815,1,3.1707117557525635,128.0
43,0.0001,0.005495400000654627,0.2580309510231018,0.03849973848887852,1.7947496175765991,1,5.0459136962890625,128.0
44,0.0001,0.005248500005109236,0.10746796429157257,0.04844514386994498,0.5206277370452881,1,2.9158542156219482,128.0
45,0.0001,0.006243299998459406,0.053868554532527924,0.03140494440283094,0.2111138254404068,1,1.215564250946045,128.0
46,0.0001,0.00660529999731807,0.1273767650127411,0.031076022556849887,0.8014819622039795,1,6.191999435424805,128.0
47,0.0001,0.006413200004317332,0.054420799016952515,0.03004693559237889,0.2250378429889679,1,1.9038392305374146,128.0
48,0.0001,0.005964500000118278,0.06926760822534561,0.03232796277318682,0.32784512639045715,1,3.0263805389404297,128.0
49,0.0001,0.006117900004028343,0.10099878162145615,0.06799555676324028,0.3320213556289673,1,3.378720283508301,128.0
50,0.0001,0.006015200000547338,0.05469959229230881,0.030454109822000777,0.22441796958446503,1,3.170907735824585,128.0
51,0.0001,0.006175700000312645,0.08380291610956192,0.04343465822083609,0.3663807511329651,1,2.5262458324432373,128.0
52,0.0001,0.0072825999959604815,0.0880490243434906,0.0481352550642831,0.3674454092979431,1,2.12792706489563,128.0
53,0.0001,0.005637700000079349,0.21310973167419434,0.07172417640686035,1.2028088569641113,1,8.492629051208496,128.0
54,0.0001,0.005772399999841582,0.068789042532444,0.026920886976378306,0.36186614632606506,1,1.8190542459487915,128.0
55,0.0001,0.005056000001786742,0.06029674410820007,0.045089517320905416,0.1667473465204239,1,4.153132915496826,128.0
56,0.0001,0.005876499999430962,0.056693147867918015,0.032239007098334174,0.22787216305732727,1,5.1388044357299805,128.0
57,0.0001,0.006103400002757553,0.28865569829940796,0.03008321991988591,2.098663091659546,1,13.338953971862793,128.0
58,0.0001,0.005459200001496356,0.12660929560661316,0.0738985538482666,0.4955845773220062,1,3.7738592624664307,128.0
59,0.0001,0.005016299997805618,0.15348070859909058,0.08169358117239815,0.6559906005859375,1,6.58690881729126,128.0
60,0.0001,0.004805000004125759,0.06588122248649597,0.041074233395712714,0.23953011631965637,1,3.663388729095459,128.0
61,0.0001,0.004949099995428696,0.13202029466629028,0.04775203125817435,0.7218981385231018,1,4.251195430755615,128.0
62,0.0001,0.0055559999964316376,0.07636631280183792,0.05963143706321716,0.193510502576828,1,2.420043706893921,128.0
63,0.0001,0.004947199995513074,0.06306107342243195,0.03778259243283953,0.24001047015190125,1,2.2958133220672607,128.0
64,0.0001,0.0054069000034360215,0.15734677016735077,0.05617472955158779,0.8655511140823364,1,2.692650079727173,128.0
65,0.0001,0.004985399995348416,0.04744148254394531,0.02592718814100538,0.19804152846336365,1,2.3062069416046143,128.0
66,0.0001,0.004888000003120396,0.12973186373710632,0.06257101467677526,0.5998578071594238,1,7.423993110656738,128.0
67,0.0001,0.004973199997039046,0.09625609219074249,0.041037917137145996,0.48278337717056274,1,1.9039430618286133,128.0
68,0.0001,0.004917400001431815,0.1510927379131317,0.019542998501232693,1.0719407796859741,1,8.65446662902832,128.0
69,0.0001,0.004790399994817562,0.0712389349937439,0.021056577563285828,0.4225154221057892,1,3.4807381629943848,128.0
70,0.0001,0.004825100004381966,0.20868845283985138,0.03590884378978184,1.418145775794983,1,3.398791790008545,128.0
71,0.0001,0.004797499997948762,0.07631151378154755,0.052289375237056186,0.24446649849414825,1,2.3886873722076416,128.0
72,0.0001,0.004743299999972805,0.06797146797180176,0.048372281449181695,0.2051658034324646,1,2.39432692527771,128.0
73,0.0001,0.005756200000178069,0.0537298321723938,0.018446004816464016,0.3007166385650635,1,2.308396816253662,128.0
74,0.0001,0.004943300002196338,0.18536198139190674,0.04957871351923261,1.1358449459075928,1,3.860974073410034,128.0
75,0.0001,0.004820499998459127,0.4223226308822632,0.030128287417548045,3.1676828861236572,1,20.849658966064453,128.0
76,0.0001,0.006056999998691026,0.08235271275043488,0.04207297308104379,0.3643108904361725,1,2.846111536026001,128.0
77,0.0001,0.0051851000025635585,0.06973724812269211,0.04588471565927778,0.236705020070076,1,3.6749942302703857,128.0
78,0.0001,0.004971299997123424,0.09323038160800934,0.05792272090911865,0.34038400650024414,1,3.19779109954834,128.0
79,0.0001,0.0048743999941507354,0.13969826698303223,0.04053120953696115,0.833867609500885,1,11.120244979858398,128.0
80,0.0001,0.004819399997359142,0.10311239957809448,0.0409439035824367,0.5382919311523438,1,8.302838325500488,128.0
81,0.0001,0.0048534999950788915,0.11519595980644226,0.029923023922102793,0.7121065855026245,1,8.389366149902344,128.0
82,0.0001,0.004922899999655783,0.05539384484291077,0.04776451417378017,0.10879912972450256,1,1.855204463005066,128.0
83,0.0001,0.0047952000022633,0.06707111746072769,0.029649679149900163,0.3290211856365204,1,2.5337305068969727,128.0
84,0.0001,0.005088100006105378,0.1175663024187088,0.03930105481828962,0.6654230356216431,1,8.470407485961914,128.0
85,0.0001,0.004897899998468347,0.24377337098121643,0.02345601575715201,1.7859948873519897,1,7.658723831176758,128.0
86,0.0001,0.004726300001493655,0.05188729614019394,0.03782367706298828,0.15033261477947235,1,2.256093740463257,128.0
87,0.0001,0.005032499997469131,0.10269950330257416,0.049150313649858744,0.47754383087158203,1,2.8007259368896484,128.0
88,0.0001,0.005048400002124254,0.062016561627388,0.04777950048446655,0.16167597472667694,1,2.0303924083709717,128.0
89,0.0001,0.004713700000138488,0.07589972019195557,0.023116507700511386,0.44538211822509766,1,6.2896199226379395,128.0
90,0.0001,0.005468499999551568,0.08540311455726624,0.038879330669130595,0.41106951236724854,1,5.027044773101807,128.0
91,0.0001,0.0048096000027726404,0.058849938213825226,0.021339082292148044,0.3214259445667267,1,3.163785457611084,128.0
92,0.0001,0.0048756000032881275,0.03620218485593796,0.0232736383165632,0.12670199573040009,1,2.617302656173706,128.0
93,0.0001,0.004811899998458102,0.04610162228345871,0.029111402375357493,0.16503316164016724,1,2.1541662216186523,128.0
94,0.0001,0.004823800001759082,0.05460406839847565,0.0440626995904105,0.12839365005493164,1,1.8506228923797607,128.0
95,0.0001,0.004861299996264279,0.05659639090299606,0.035353784050260274,0.2052946388721466,1,1.855040192604065,128.0
96,0.0001,0.006158500000310596,0.03642973303794861,0.019466236233711243,0.15517419576644897,1,0.9297399520874023,128.0
97,0.0001,0.005459600004542153,0.032423488795757294,0.027303891522543772,0.06826068460941315,1,1.5242096185684204,128.0
98,0.0001,0.0050571000028867275,0.061349429190158844,0.038814855473382134,0.2190914750099182,1,3.2451188564300537,128.0
99,0.0001,0.004975399999239016,0.18537068367004395,0.03794981752123151,1.217316746711731,1,9.518851280212402,128.0
100,0.0001,0.004916900004900526,0.08043169230222702,0.03690840516771589,0.38509470224380493,1,3.080031633377075,128.0
101,0.0001,0.005664300006174017,0.036817584186792374,0.02469801902770996,0.12165454030036926,1,1.7198163270950317,128.0
102,0.0001,0.004998000003979541,0.07349124550819397,0.024727702140808105,0.41483601927757263,1,2.986232280731201,128.0
103,0.0001,0.004773599997861311,0.0873648077249527,0.05307606288364956,0.3273860812187195,1,1.9757468700408936,128.0
104,0.0001,0.004871500001172535,0.05913379788398743,0.03576198646000454,0.22273647785186768,1,1.1321463584899902,128.0
105,0.0001,0.004822900002181996,0.04840432479977608,0.024305207388741628,0.21709813177585602,1,2.9314980506896973,128.0
106,0.0001,0.005576999996264931,0.08699458092451096,0.027610595737184798,0.5026825070381165,1,2.9482901096343994,128.0
107,0.0001,0.006379100006597582,0.08845686912536621,0.047527189765657694,0.3749646842479706,1,5.004546165466309,128.0
108,0.0001,0.006069800001569092,0.45290035009384155,0.041963274989809306,3.3294596672058105,1,11.200547218322754,128.0
109,0.0001,0.004902799999399576,0.05166810750961304,0.03313422628811428,0.18140526115894318,1,2.5571279525756836,128.0
