epoch,train_mse_scaled,validation_mse_scaled
1,1.0263091325759888,0.8306421041488647
2,0.8306421041488647,0.6348293423652649
3,0.6348293423652649,0.5098551511764526
4,0.5098551511764526,0.3865585923194885
5,0.3865585923194885,0.3756062388420105
6,0.3756062388420105,0.4049948751926422
7,0.4049948751926422,0.4423753321170807
8,0.4423753321170807,0.3967761993408203
9,0.3967761993408203,0.35927027463912964
10,0.35927027463912964,0.34683334827423096
11,0.34683334827423096,0.3468608856201172
12,0.3468608856201172,0.3603995144367218
13,0.3603995144367218,0.3656148314476013
14,0.3656148314476013,0.3552846908569336
15,0.3552846908569336,0.34365230798721313
16,0.34365230798721313,0.3301531672477722
17,0.3301531672477722,0.31582000851631165
18,0.31582000851631165,0.31411901116371155
19,0.31411901116371155,0.3137360215187073
20,0.3137360215187073,0.31220167875289917
21,0.31220167875289917,0.30784091353416443
22,0.30784091353416443,0.2938978970050812
23,0.2938978970050812,0.28504127264022827
24,0.28504127264022827,0.27537232637405396
25,0.27537232637405396,0.270196795463562
26,0.270196795463562,0.2660090923309326
27,0.2660090923309326,0.25701290369033813
28,0.25701290369033813,0.24615471065044403
29,0.24615471065044403,0.23164865374565125
30,0.23164865374565125,0.2206924706697464
31,0.2206924706697464,0.21018445491790771
32,0.21018445491790771,0.1972363293170929
33,0.1972363293170929,0.1825900375843048
34,0.1825900375843048,0.16586217284202576
35,0.16586217284202576,0.15083184838294983
36,0.15083184838294983,0.13609914481639862
37,0.13609914481639862,0.11814752966165543
38,0.11814752966165543,0.10379376262426376
39,0.10379376262426376,0.10995367914438248
40,0.10995367914438248,0.15215618908405304
41,0.15215618908405304,0.08445367962121964
42,0.08445367962121964,0.07679484784603119
43,0.07679484784603119,0.09911487996578217
44,0.09911487996578217,0.04141831398010254
45,0.04141831398010254,0.08152110874652863
46,0.08152110874652863,0.03875325992703438
47,0.03875325992703438,0.04684892296791077
48,0.04684892296791077,0.0501217357814312
49,0.0501217357814312,0.018702145665884018
50,0.018702145665884018,0.04519873857498169
51,0.04519873857498169,0.016232937574386597
52,0.016232937574386597,0.027017761021852493
53,0.027017761021852493,0.0237113144248724
54,0.0237113144248724,0.009672561660408974
55,0.009672561660408974,0.026657775044441223
56,0.026657775044441223,0.013113711960613728
57,0.013113711960613728,0.01158303115516901
58,0.01158303115516901,0.022137826308608055
59,0.022137826308608055,0.008401828818023205
60,0.008401828818023205,0.012268178164958954
61,0.012268178164958954,0.01610572077333927
62,0.01610572077333927,0.005941704846918583
63,0.005941704846918583,0.012702937237918377
64,0.012702937237918377,0.011304008774459362
65,0.011304008774459362,0.005784221924841404
66,0.005784221924841404,0.011924364604055882
67,0.011924364604055882,0.008013716898858547
68,0.008013716898858547,0.00647796830162406
69,0.00647796830162406,0.010444724932312965
70,0.010444724932312965,0.006116240750998259
71,0.006116240750998259,0.006742461584508419
72,0.006742461584508419,0.008688516914844513
73,0.008688516914844513,0.006480692885816097
74,0.006480692885816097,0.004930294118821621
75,0.004930294118821621,0.006736644543707371
76,0.006736644543707371,0.007237220648676157
77,0.007237220648676157,0.005365463905036449
78,0.005365463905036449,0.004782494157552719
79,0.004782494157552719,0.00609968788921833
80,0.00609968788921833,0.0059836567379534245
81,0.0059836567379534245,0.004545551724731922
82,0.004545551724731922,0.004709160421043634
83,0.004709160421043634,0.005510195158421993
84,0.005510195158421993,0.004799234215170145
85,0.004799234215170145,0.004080989398062229
86,0.004080989398062229,0.0045792656019330025
87,0.0045792656019330025,0.004755187779664993
88,0.004755187779664993,0.004077846184372902
89,0.004077846184372902,0.0038832221180200577
90,0.0038832221180200577,0.004275260493159294
91,0.004275260493159294,0.004118621814996004
92,0.004118621814996004,0.0037405304610729218
93,0.0037405304610729218,0.0035807322710752487
94,0.0035807322710752487,0.003718466265127063
95,0.003718466265127063,0.0037899217568337917
96,0.0037899217568337917,0.003617258043959737
97,0.003617258043959737,0.0033912607468664646
98,0.0033912607468664646,0.0033429779578000307
99,0.0033429779578000307,0.0034189156722277403
100,0.0034189156722277403,0.003412598744034767
101,0.003412598744034767,0.0032658777199685574
102,0.0032658777199685574,0.0031055740546435118
103,0.0031055740546435118,0.003058816771954298
104,0.003058816771954298,0.0030866931192576885
105,0.0030866931192576885,0.003068826626986265
106,0.003068826626986265,0.0029717283323407173
107,0.0029717283323407173,0.0028523507062345743
108,0.0028523507062345743,0.002775033237412572
109,0.002775033237412572,0.002748955972492695
110,0.002748955972492695,0.002737694885581732
111,0.002737694885581732,0.0026994359213858843
112,0.0026994359213858843,0.0026208129711449146
113,0.0026208129711449146,0.002529554534703493
114,0.002529554534703493,0.002453430322930217
115,0.002453430322930217,0.0024012511130422354
116,0.0024012511130422354,0.002366236411035061
117,0.002366236411035061,0.002336609410122037
118,0.002336609410122037,0.0023007362615317106
119,0.0023007362615317106,0.0022518173791468143
120,0.0022518173791468143,0.0021846569143235683
121,0.0021846569143235683,0.0021186978556215763
122,0.0021186978556215763,0.0020613637752830982
123,0.0020613637752830982,0.0020271479152143
124,0.0020271479152143,0.0019985490944236517
125,0.0019985490944236517,0.0019530896097421646
126,0.0019530896097421646,0.001887778751552105
127,0.001887778751552105,0.0018173614516854286
128,0.0018173614516854286,0.0017583391163498163
129,0.0017583391163498163,0.001722437678836286
130,0.001722437678836286,0.0017068833112716675
131,0.0017068833112716675,0.0017416246701031923
132,0.0017416246701031923,0.0018190816044807434
133,0.0018190816044807434,0.0019131622975692153
134,0.0019131622975692153,0.002028578659519553
135,0.002028578659519553,0.001905312528833747
136,0.001905312528833747,0.0015648923581466079
137,0.0015648923581466079,0.0014287938829511404
138,0.0014287938829511404,0.0015650356654077768
139,0.0015650356654077768,0.0016882127383723855
140,0.0016882127383723855,0.0015787426382303238
141,0.0015787426382303238,0.0013459553010761738
142,0.0013459553010761738,0.0012093483237549663
143,0.0012093483237549663,0.001294019864872098
144,0.001294019864872098,0.0016251064371317625
145,0.0016251064371317625,0.001883762190118432
146,0.001883762190118432,0.0017250536475330591
147,0.0017250536475330591,0.0013037249445915222
