step,learning_rate,seconds,mse,old_mse,new_mse,attempts,grad_norm,amp_scale
1,1e-05,0.6175808999978472,0.06982239708304405,0.019727406225034168,0.4204873240014422,1,2.5251965522766113,128.0
2,1e-05,0.36957609999808483,0.05752412881702185,0.01826641588870968,0.3323280996291942,1,2.3061959743499756,128.0
3,1e-05,0.37042749999818625,0.0434397014323622,0.015681701246649027,0.237745700054802,1,1.9034539461135864,128.0
4,1e-05,0.3694548000021314,0.048054956598207355,0.022509133709328517,0.22687572217546403,1,2.06760573387146,128.0
5,1e-05,0.36906269999963115,0.0965818848926574,0.01353263109922409,0.6779266649100464,1,3.3831050395965576,128.0
6,1e-05,0.3669798000009905,0.05941791192162782,0.02233846319307174,0.3189740367233753,1,1.8938279151916504,128.0
7,1e-05,0.36930220000067493,0.030494091333821416,0.021339974964835813,0.09457291195576545,1,2.653796672821045,128.0
8,1e-05,0.36683610000181943,0.05045057646930218,0.015298416039773397,0.29651570064015687,1,1.4697034358978271,128.0
9,1e-05,0.36984250000023167,0.030455289757810533,0.013408904363002096,0.14977998704853235,1,1.3909472227096558,128.0
10,1e-05,0.3680411000023014,0.031052603852003813,0.02121557647894536,0.09991180046927184,1,1.6967231035232544,128.0
11,1e-05,0.3692682999972021,0.05494203604757786,0.014979582546012742,0.3346792074444238,1,1.4270926713943481,128.0
12,1e-05,0.3557889999974577,0.04176937369629741,0.011179791430809669,0.25589644983119797,1,1.8201351165771484,128.0
13,1e-05,0.34459050000077696,0.03395684534916654,0.010140915368018406,0.20066836709156632,1,0.9872283935546875,128.0
14,1e-05,0.34611429999858956,0.037652583327144384,0.026692967994936874,0.11436988355126232,1,2.319636583328247,128.0
15,1e-05,0.34584950000134995,0.033096893108449876,0.01919770972537143,0.13039117958396673,1,1.011527180671692,128.0
16,1e-05,0.3438328000011097,0.04825271281879395,0.015368929132819176,0.27843920257873833,1,3.066118001937866,128.0
17,1e-05,0.34220300000015413,0.027448536769952625,0.011522739127810513,0.1389291255036369,1,1.2179969549179077,128.0
18,1e-05,0.34125960000164923,0.023731117078568786,0.01091642923919218,0.11343392275739461,1,0.610298752784729,128.0
19,1e-05,0.34517260000211536,0.042976528813596815,0.011525913274713926,0.26313083432614803,1,1.5177613496780396,128.0
20,1e-05,0.34715309999955934,0.023580235545523465,0.012653767996068512,0.10006550943944603,1,1.0594838857650757,128.0
21,1e-05,0.3454402999996091,0.04004591889679432,0.01707042387819716,0.20087438319751527,1,1.6314119100570679,128.0
22,1e-05,0.3440245000019786,0.03863053326494992,0.013408413622528315,0.21518536237999797,1,2.4025840759277344,128.0
23,1e-05,0.34462100000018836,0.030886440887115896,0.012313764741910356,0.160895170760341,1,1.167181134223938,128.0
24,1e-05,0.3428496999986237,0.016895304550416768,0.01211821733574782,0.050334914893028326,1,1.035657286643982,128.0
25,1e-05,0.344973300001584,0.060543131083250046,0.020130257654402937,0.34343324531801045,1,1.8403400182724,128.0
26,1e-05,0.3452916999995068,0.024093537707813084,0.014401157652693135,0.09194019981077872,1,1.683851718902588,128.0
27,1e-05,0.3467047999984061,0.04951187304686755,0.012360591507915939,0.30957082053646445,1,1.9616411924362183,128.0
28,1e-05,0.35376800000085495,0.014379873056896031,0.010137887172667044,0.04407377458119299,1,0.9376172423362732,128.0
29,1e-05,0.3490383999996993,0.054131098790094256,0.03549840035183089,0.1845600024680607,1,1.4197603464126587,128.0
30,1e-05,0.3479531000011775,0.03443225065711886,0.01597939378448895,0.16360224052914418,1,2.7581052780151367,128.0
31,1e-05,0.34988139999768464,0.03893962223082781,0.01962369234700288,0.17415113688912243,1,2.7406728267669678,128.0
32,1e-05,0.34648960000049556,0.030015500262379646,0.012379532447084785,0.1534672867928748,1,1.0366766452789307,128.0
33,1e-05,0.3687580000005255,0.04080318275373429,0.016775664208190783,0.20899580314289778,1,2.1330926418304443,128.0
