gene_id,bits,source,old_index,repair_component_id,f1_actually_trained,tavg_nm,delta_t_nm
3ea15a4a0704b10cc7ae957602aec9d409635e417519e1b5b2d37a5f3159ec50,001011110001000000010001000110000111100111011100111110111111110001110101111111111110111111101101011111101101001101101010,old_train,5148,5148,True,3.0587362203574435,0.837571484480971
3ea2669f832fd9d01e9c9b5541afe988a83ab25ba337db694a0c44b8a3784c22,110101110001000000000100011011011001111111101011101110111101100011110100111001111111111111111110111001011011010000011011,old_unused_train_pool,44267,44267,False,2.990279751538506,0.6220074788438512
3ea2ad91f48b218e7497dc3703642250f98da0faa06d210fec86419c3bccc7f3,110011100100011001100110001111011001101111101100010111111101111111110110111111111111111111010101111111010011010101111011,old_unused_train_pool,40651,40651,False,3.3792767558157184,0.34906713997792194
3ea307775bceb6db43c49a71b5aaa1359c0d1e9b54943fc8daede30bf7797c15,011110010100111010011110101111010111011110011100011111110111110111110111101111111110111111111111010011100011100001111011,old_train,21390,21390,True,3.3327811167770403,0.45596777920892073
3ea585e68f9b7fecfaa0cc6bac0ebbee50fdc5766cc6be9d08a1769519c09547,101101111001010110001110001111110000101110000111111110110111100110110111101111110000011111101101101110101111010001010110,old_unused_train_pool,36435,36435,False,2.9040859887814854,0.21284380076467535
3ea6986b644654fd55bf4ec5c2fef1e7ed2eec0cc449c9eda4a8ff3070302a89,001001001110000001101101111110000000010011100011100111101110111110010100011111110001100101001101110010101101111000111010,old_unused_train_pool,3846,3846,False,2.546253281985804,0.33871413846947496
3ea7bfb240f6c35b5725c94d2aaa70632b9b71e9af720e4bc66d77a63f885896,100010011100111010001110001111100010010011111100011111110110111100010111101101111111101111111101101110111111100111100101,old_train,25067,25069,True,3.159172649158427,0.2616092897569442
3ea825e9c07b08a3ec02632b7d467cf65fc82eb95b089cb9763494b87a757085,111110110101110011100110011111101100011111110111111110110111110111101111111111111000111111111111010011111111010001101111,old_unused_train_pool,59573,59570,False,3.5000998879426466,0.15626833221477288
3eab328918a7cb260bff2e7fe4289179b0bad7f35fb36828113e3988833fd4df,100111110101011101010111011101011000011110011101001111110110111111110111011111111000111011111011001111111111000000101111,old_train,30421,30421,True,3.1686408336594454,0.13301963664526006
3eaba6efb31ebab23be351009db105941dc7c10ccbaa2f29a9e9e26ad5c4c6eb,101010110010100101101011100000001110001110111010111010100111100110110011000000010000001000110000000001111110100100110010,old_train,33486,33486,True,1.9741454546744042,0.5799595595364371
3eade2f6ff4bb359b698c38d1b2436ff232cd06d272a984e3eb922f1f531f9ae,010100111101111111001100000001011001011111001111011100110111101111100010110101111111100010000111011100011001111101011100,old_unused_train_pool,12517,12517,False,2.7731794492921815,0.2916135227888619
3eb22ba3e654b530a8aa0817d9a3a5e93938d5cc1ae2260e640eea560e2f2936,010000010111110011010110001111111001011111111111111111111111101100111111101101111111111111001101111110110111100101111011,old_train,7853,7854,True,3.5239599952691347,0.15665070232759692
3eb241fb9cff8cdc13167a8d9168d8051513966de4bd3947e2fae450bdab9de3,110110110101110001111011000111111001011110001101011111110011100111111110111111111010101111101001111011110011011100101101,old_train,47075,47074,True,3.1839889589066233,0.22937349172838895
3eb25265f1b7d409d67bc6f12c35c74476632a5f4bf75f9e749d7326e4e3a4a4,011101011011010001010011111001111001000101100010011001110010011011101011000100101010011111101101000010101101111000111010,old_train,21042,21042,True,2.4299407740266834,0.178101290738522
3eb2ae6330f3a8dcc99ce6c3547445be2f4abf1f01202d945a336e31fffe7e64,110001100101010100100001101101110001111110011101011111111011101101110111011111111111101101111101100101110111010001101111,old_train,38333,38332,True,3.159863023158543,0.30066973853063717
3eb3c60c7238f5b3d9c4afe8d15c256efdf6205aeb8e3c4ce37bf1cec81cdba0,110001100101010101011111101111111001011011110111111110110111110111101111111111111000111111111011001111111111000000101011,old_unused_train_pool,38431,38431,False,3.3502223122333135,0.14912733084997987
3eb729bdc3c81c143b932aef3af26cf07d5e543708be5f80e90e28810e3afb6f,011110110101110001111111111111100011011111101101101111111111111110111111111101111111101111111111010110110011101001101101,old_train,22567,22567,True,3.581167277991451,0.310157733887356
3eb879c266a5dbd83def45581cb2c7a691af65682ed8adc0157186d7fc40d0ac,000100000110100001101011010000000101001111001110011000111110100011110111100011100011111111110101111011111001111011100001,train_G,,,False,2.728933095932007,0.42457708716392517
3eb88b0eaeb63725d909df8c030348c263108e1b445ff3423967db5430342020,010010100110100001011110011100001101100100110001111111100011100001110000010111111100111111001101110011111100010010011010,old_train,9149,9150,True,2.579878431900744,0.4007765330158093
3eb8c1ba865526d4333367703d1b080ad693f589b10945d284dfcce93158b64f,110110110101111101011110001111111001011110011011100111111111110110101111111111111010111111111011111110101111100101111010,old_train,47555,47553,True,3.4710184136589093,0.1462376338529081
3eb91202db96f272a2ae3616fb33069a76346d044168fb29f1b3306d3bcededd,100010110100101011111110011111110111101111011011101111110111111111101111111111111000101111011101111011110011010001111011,old_train,25740,25740,True,3.411158422491493,0.14408151180266415
3eb9acafe846ab76d650b097fad3964b8cd93b9bacb71010b35f9d112b9bcd4f,011011100101010101000110000100000101111000011011110111110010111111110011111111101111001011011101101001100010000110110111,old_train,19155,19155,True,2.812496151856781,0.8080925661119931
3eb9fc55405c9cb88757b58995c568f41ff5f8037684460c94ee6479703f4858,100100010110010101000110011111101100111111110100010111110111110110111111111011111100101111111111001111010101010001100101,old_train,27428,27428,True,3.105841541179035,0.3799912163041199
3eba1458ce2131f553276aaeb73ea9222e81dced44f7862b47d834494fcad183,110000111000111000111100111100111110111110111110111110111110111110111110111110111110111100111100111100111000111000111000,train_F,,,True,3.1759679317474365,0.7280071377754211
3ebb5ab9ac0b128ba0c71a8ebcb305aca10ab76d307ca6697e99a766200022ab,111111110101111101010111001101110001101110011111111111111111100111011101110011111011101111111011001111111111010111100101,old_train,64694,64690,True,3.449124716974149,0.21479637074391
3ebe71986eb3e09be5db1248fac7bacd34eb3cb407cb608730ac7938d1b8204d,000100010110100001111110010111111001111010011100010011110111110110101111111111101101101111111101111111100110100000100111,old_train,1230,1230,True,3.108667321200039,0.768511169886215
3ec1c2668fc1aec99a67d24cc4273d33d0487df1351d5d0094fd6aada9385c4a,010100111011111010001110001111110011111110010000111110111101110110110111111100111000111110011101111111001011010000011011,old_unused_train_pool,12185,12185,False,2.9344415943931774,0.3522441094106519
3ec37dd547f1c215dc66d227a78fb5f5d2f195fb22e52e34de3bbbcba2eecb22,000000000000000001001111001111001111001111001111000111000111000111000011000010000000000000000000000000000000000000000000,train_F,,,True,1.1781610250473022,0.4669511616230011
3ec48f653877f1f4ef1f13d8dd8a79399dcbc482299743fd4c9a37d1f6513437,101111000101110011100110011111111001100011011101101010111111111111110111010011011100111111011111010011111101001101111001,old_train,37075,37076,True,3.1818160799913815,0.19672451306482586
3ec62ecc164f3a670d2242dcda9f0a3753f0af96dc11c79ab79dc6bc4420c3c8,101001001110001001111111111100001001111010010111111111110111110110101101010101101000101111011111101111011011001101110110,old_train,31696,31696,True,3.0323649730564184,0.6863857127524082
3eca3fcb51e740ef6935f23f9bfa63d4107f8bcb8f14782e68cb6cc03ee61d92,110101110001000011100111000101111001111101110111111111111110111100111111111101111110111111111011111110101111010001110101,old_train,44507,44507,True,3.4247121274968033,0.1629349650739229
3eca8f2aebb9a83d4d93935e4af8aa57dd07846fe0c38b525be3bdeebebda9d7,111100010110100001011111101011110111111011111111011111111011101101101001111100011111101110111100000011111111010000011011,old_train,54629,54626,True,3.0829136720380776,0.49832291237097204
3ecc8391ef43db8dd89cbb7fd2e1ac58fd22450ba6803c568b9203541f87e159,110110111111010100011111111111011001111111111110101111111111111100101111111111111111111111111101010110010111101101111011,old_unused_train_pool,48314,48312,False,3.6766914850177703,0.5317161176793821
3ecd90cd8b26ac2b4e94f2665030983d94da3c49b6e5ae89bf6ea00b1853591d,100000010111110011111101000111010011111011011111111111111110110100111111111111111011101101111011111110101111010000111111,old_unused_train_pool,23252,23252,False,3.4158183595098817,0.25944512097189687
3ecef8f3c105dd1431b96fdbf845e3759db03f5ce3ac113d590b7d87c439f807,100110110100110101011111000111011001100111111111100101111101111100111111111111111111111111011101110110111111010011101110,old_unused_train_pool,29220,29220,False,3.472984398465934,0.35591787182212586
3ed6b17fd404eb83e16907659e105c6f7fa66f4c8a3fc4d8ee5dde97bab88b3c,100100001001100001110111001101110001111111110111111111111111101100010111111011111010101111100011101111111101001100101101,old_unused_train_pool,26727,26727,False,3.17427481125104,0.3197439684799912
3ed7673feed1b30b513690d4e1ade1d568ec93e481f1d196a6dfb19a27f34fef,010111100101010111110001000111001100011110011011101111111101101101111111111101111001101111111101101111010110010011110110,old_unused_train_pool,15581,15581,False,3.2083404103336495,0.34431203728314186
3ed916c7e7892dacd19dbeb4e0e70821509b6bd6ff4e42cfe063b162e96bfa8f,110111100101010101110001011111101100011111111100010011110111110110001111111111111110111111101111110011100011101100101110,old_train,48747,48745,True,3.2421678392788813,0.466840936771896
3ed9e07eaf5750d2c7d729982b1a361c559a9dec1393f4bb041dec5064be69b9,100010000110101000001110011111001000011101110101000011111101010110000110010101110100111011110001011001011110000011001111,old_train,23533,23533,True,2.4302552013648118,0.6353463453686898
3edb2bd63d47042b2dc0f7f692b257dc75e6d068569a63bc9a807dfd0116b6ff,010110001111011101010110011101100111000110000001011011111111101101111111110001101110011111111101111111011111000000101111,old_unused_train_pool,13679,13679,False,3.0716490164270738,0.095815381827133
3edb64eb2df55fc3815dded8ab901e77d631f3a0e67ecb4352f882ab1073d6b9,111011100111110001111110001111001100011110011011101111111101101101111111101101111100101111111101010110101111010011101110,old_unused_train_pool,54155,54153,False,3.225177629983119,0.11832379187304998
3edb685d4885df821a2b75f65b9125939ab1efae7509714af34b544989d60588,010110110000100011011111101011110111101011110111111111100110101101011101110011111111000011101101101111111011101011101010,old_train,14364,14364,True,3.136766860050173,0.42242215299709285
3edbd8e2b0be253637f59ffc0f8f28c241323d2426543094f12d6519fa8727bf,100110111111111111001000100111011001111111011100111100100111101101101111011111111000111110011101111111011011111100101001,old_unused_train_pool,29654,29654,False,3.148614016775564,0.36847297033897775
3ede1d2b3e7cee7e4d2b4057cad4c79da1eb2c7dbd91e7c74f034d01f1d9eb7d,111000110101110011011111011111101011111111111111010111110111111111011101011111111110111111011111110011011111110101110110,old_train,49580,49578,True,3.6243121372735985,0.3197949175278181
3ede7c630b9da3aa74765c773512444fdeca317f369de1067bd1035b232e69b5,110101001101110101010001110000011010111111111111111110110111111111001011111100111000111111011101011001011011111100011010,old_train,43066,43066,True,3.141776566756675,0.832777397236347
3edecc80ecb5a3732072c316094113e420e649559e30f6300ebebc13d0e8feed,111110110001111101110011101111101001100111111111111111111110111100111111111111111110111111111101110011111111010001101011,old_train,57982,57979,True,3.5760852069153253,0.3486422663107387
3ee0288c693a46f13898759b14f6759b9491aaa8aebea335999edf90175cd8fd,010000110110100001110001001111101101100111111111101101111101111100111111111101111111111111011101010110101111010011001110,old_train,8218,8218,True,3.289299340133324,0.32103917646259994
3ee0f067cebcd9980cd31dc4e0d0a20312a8bc4de8021ac9a841d1d4be489ca5,011010010110100001010111001111111001011110011111011111111111101111111111111101111110111111111100111111100111101101111010,old_train,17483,17483,True,3.5599736889511973,0.251811743307619
