rank,index,gene_id,distance_squared,cluster_sum,region_center_gene_id
26,3605,4a8d0b9fcb2427d605fbfb7240c2605f842a9f6cc5869f54aba9df5de6301cad,0.08424217471641943,23.849310384836905,3a8cbc2b53a38816ce098a2eb797b0cd6a4d3f76e7a6aeee32e1e684ff0d0057
27,12125,e21d1ab13cee7b3880553b5cdb8dcfccb11476b8c25446be77b78e9da45f8bc7,0.09298357576058573,23.768090296608424,ada4e79d68677036793d6b67ecf14b0b7ddc155cb4307d5c07dce5ea4523af11
28,70007,daf9c11dd8831e796a22cfa9fd83a166f90c953485b3d44fbc32463c2c80a415,0.2871897955313687,23.210287674333788,de57d75451a4eada1687f322d91ba16127bbd0400b1182cb384367f85f3c04b3
29,73648,63db1bae517cd0b2dcdba24de239000558cea7d13b3dc807a399b6cd5358ca9d,0.1065566680813745,23.053926362889978,601fada0be954ddca55ddc6d8435bb40f9178f568daf1f4ccafb5e56edd4186c
30,55702,63033ac8f6b7fd5a22ac8a5c317afb9b263122d6437f928a1b071491b4996329,0.19005164042483766,22.37163255452364,73a951cb0eaf0ce7b0fcc381e78c176805e0e634a65561f7876f589c21425332
31,61914,abe32fa1da9c1ea475ce81fd743234318df7f0e2670b2ba0b0755746f89c13ea,0.1559080163610265,22.257859347158394,382264b694388e8ee941e6a7e78eb55c6e224cb9497207c0892d3ac4b0f9c0a0
32,60977,cfb51f3ad02c25fe2578c9cc9980b00303db81002a2d5a0a86746c04e8d786aa,0.23203255969892364,21.33668211358427,270dc6ebf7b9dfffed9fce496d452e5b17309f3f2d6f314f7a4ee0ab78c83b97
33,32873,0d635fd5384999aa10bc1d5d612adbe15ebe020decc35da36b5ae8b57e60cf0e,0.1383960526956748,21.243112380851244,33c5302267b90600dba8ddd095bf2bc153eb008dfe60d7c1dae7c9851fa8c919
34,58487,eb7655daf85d63cefaf7bc334a927260090565e035d934d67585ab625e1eb871,0.4627216104988713,21.180138229382585,1c4036211dd56f8daee4b7d1f34fbfc5cc7981812b3e3f8cb8ee8d41167ce92b
35,67524,2de772b038416af2befcc480e3d1dfe70b17de70f9304ca77d418d678f8ac910,0.41907807584860246,21.118821717059394,ad826cefacaa6aeb7ff9cf505ed19c8a9cd03986310a5a619fd9150095e1ba64
36,66174,bf4ff33a41fe497bd874bfa687f2a595db1df1ea4889c0a7873dd4314863e886,0.12102538477275274,20.992071998182237,59264c0c3032f3987375f57dd2848070cfdefc93be65710923985fd64ce2aa1b
