model,checkpoint_step,role,n,target,unit,mae,rmse,absolute_error_p95,f0_mae,mae_change_percent
G-S,2000,old_validation,6483,tavg,N*m,0.009330180716260834,0.013946314506918422,0.022986197471618647,0.006412123559930894,45.50843615311413
G-S,2000,old_validation,6483,delta_t,N*m,0.012530069967170713,0.019329460791496743,0.03233242332935333,0.011520371856387707,8.764457635307643
G-S,2000,dev_common,200,tavg,N*m,0.04105476820286908,0.06070193873939331,0.14384714320256742,0.19154534722618188,-78.5665541881367
G-S,2000,dev_common,200,delta_t,N*m,0.03386374393693682,0.05017574513735982,0.08939057349727754,0.09616322302572643,-64.78514043994001
F-S,1500,old_validation,6483,tavg,N*m,0.008831158880280543,0.013638966162629287,0.022741365432739257,0.006412123559930894,37.72596235459507
F-S,1500,old_validation,6483,delta_t,N*m,0.014020101014555154,0.020787385824610812,0.03491170108318329,0.011520371856387707,21.698337426334202
F-S,1500,dev_common,200,tavg,N*m,0.02164085351382765,0.029713023269824345,0.0648112329589327,0.19154534722618188,-88.70196857965256
F-S,1500,dev_common,200,delta_t,N*m,0.030231208200109938,0.0407983781207449,0.08835608281754906,0.09616322302572643,-68.56260922949492
