gene_id,bits,source,old_index,repair_component_id,f1_actually_trained,tavg_nm,delta_t_nm,selection_method,selection_rank,selection_distance_squared
c4fe05a8c8b924569b6285fa4c4c941f0de65d0539aa7ace8fdf4b1af46e3246,110110110110100001010111001111111001011110010111111011111100101110011101101111111111111111011111111111110111101101101101,old_train,47993,47991,True,3.4540661804804373,0.2638886870628592,f1_F_LCMD_old40000,1255,0.037023155618160886
38de4b8cf9f63eeac7d46fa0e6b18cc932116c899bbdb0e7624ac86f8ca7ed92,111010100111010111101111100111111001001111111111111111110001101110111111111111011110111101111101100111010011101101110110,old_train,52520,52517,True,3.379940327768544,0.387436420042242,f1_F_LCMD_old40000,1256,0.02673032264420984
55371b6aa97b21dadcea898a70e8bcdf59787e7d8db4e1ca2a47c4ad7e130634,111111100001000011110111001111101001100111110111111111111111101110111111111111111110111111101101111011100111010011110111,old_train,64020,64016,True,3.5463965421081993,0.10559509630483976,f1_F_LCMD_old40000,1257,0.004914329228414395
77784b34f89a6cc1276112854744f327bac3d9edecf220c80e62fcb22826e767,111010000101010101111110000111111001011111111101100101111101101110111111111101110110111111101101111011100011011101111011,old_train,50906,50904,True,3.310324443900662,0.2616086450970929,f1_F_LCMD_old40000,1258,0.004593107626601391
6b208318c00181ed91736b69905e39e06ac95423d34861ec549b4b3400c8d61f,111010101010110011111110100111100111000110000001011011111001110000010011111111011111101110110011101101110010111000101011,old_train,52660,52657,True,2.781460907127906,0.4710596922474841,f1_F_LCMD_old40000,1259,0.02221079662443702
5fc34b67b7da42051aaa54adf19243930ffc8d19f6c7ff2ac3948c66e307a5ab,010100010110100011111110001111010011111111111100101111101111111111110100111110011111101111011100100111111011101011011011,old_train,11192,11192,True,3.3240603742227735,0.5255430771199023,f1_F_LCMD_old40000,1260,0.006408196147377525
1f0bebaa9801a863e17ec8ef4d9cf29a8f246b32d7a45f5fcafcc5af89560354,111010000100111010011110000111111001111111111111111111111011101110101011111111011111111110111101111111100111010011111011,old_train,50528,50526,True,3.527479526853522,0.2958372032172578,f1_F_LCMD_old40000,1261,0.004027630560338068
b1d1589c06125c7be094066cd1fab1811d6793ed5793d47675e32747beb95d4a,010110111111111111001110001101011010111100111100000100111011111111011101110101110010001110111011000001110111000100011011,old_train,15030,15029,True,2.7065921065275482,0.5869768957773509,f1_F_LCMD_old40000,1262,0.004953435249914252
e61ce19bd504c9f6b02fffcc31a17ceb69880e3c1d6eb998adbe412a9e6aaf71,111011100100000001110001111111001001100111101111101111110111110110101111111101111111111101001000111111110011010001111111,old_train,53112,53109,True,3.240498025083372,0.126956648361797,f1_F_LCMD_old40000,1263,0.008820179845464677
7c363cc157ec44d2aee17c5d1e69483dfb2eed2d3e0c2134aa4c10a9f1a50a30,010100111110010101011101100111000010100110011101011111111011011100010111101001001001011011011111011110100100110010011010,old_train,12648,12648,True,2.672710296603064,0.4044595156270021,f1_F_LCMD_old40000,1264,0.004710826896915444
eeb54deb848467d354b094441705b6336fd3fef468e285b150e02001f500c0c4,110110110100011010001110001111100001111110011011101111111101111111010111111101111001101111101101101111111011101101110110,old_train,46634,46633,True,3.330411903333124,0.3304142279112052,f1_F_LCMD_old40000,1265,0.0045148616325167545
b02fd73c73b069195f15aedcbb039f6433269a59ac4b0fa6c35fde5b9d306094,111110111101000111001111111011111101100100010111111110110111100110110101101101111111011110110110111101011011101100101101,old_train,61412,61406,True,3.136409147175856,0.617398671339592,f1_F_LCMD_old40000,1266,0.0032165730293610426
1a4e4a2adcddc1ad9455af86bd4da1e0ad7eeb2df98c3b13d2908d7ea3fac192,011110010110010101111111111100101100011111101111010110110111111110111101111111111010101111111101111011110011101101110110,old_train,21752,21752,True,3.412392448691618,0.31510859205374864,f1_F_LCMD_old40000,1267,0.0084529662037451
e840179d9e9fdb61a1186af9c96bfc0f0032d1f828cb67683c9459de2bd4441d,111101010000011101111001110011011100111110000101111101110010111011101011011100101010011111001110001001100010000011011001,old_train,55455,55452,True,2.560571500386533,0.368182090088343,f1_F_LCMD_old40000,1268,0.0493139466544223
2bc770e48c43fc906584197546f9da2d2c478ad4f3c3b6f74323bd413ea662ce,100010011100111010001110101111101001101110111101010110010111100110110101111100101001101110011100011001011011111100101101,old_train,25235,25235,True,2.756571663787035,0.54726253999692,f1_F_LCMD_old40000,1269,0.0316228607060468
ec2dec4279692728be333a21ca808fb1d259715fa579d02a4f502548118e3481,111010100101011001110101000011011000111111111110101101111111111100111111111111111010111111101111111011111111010001101111,old_train,52025,52022,True,3.493896324308398,0.11977745049262811,f1_F_LCMD_old40000,1270,0.0752899424466919
7d0c8651a3ddc8bb8eb070e3f0d0fa7b1c66e36df9506de7c0e6bcb0f7f3a75a,011100011011000100100101110011000111000011011111001000111111110110101111011111111000111110000011110001011011000100101010,old_train,20828,20828,True,2.603179059025664,0.49857527112077893,f1_F_LCMD_old40000,1271,0.010162108933721953
736974c23b0d2f53dc2e32edd22d6a9b6609a0301b2f0048598aaa26470ce46a,101010001110101000000000011101111111000110000001011001110011100001101011110101011001111111110100111101110010111100011010,old_train,32191,32190,True,2.610577235614968,0.3442719327346473,f1_F_LCMD_old40000,1272,0.04152375873174989
d85425e341789bc96a0753008e46b7ac367b3935e1df03430170b925fd845d73,100010011100111010001110101111101001101110011100111110111111111000110010111011001110101111101101101110111001011110010111,old_train,25232,25232,True,3.0123228806191746,0.6126968963609412,f1_F_LCMD_old40000,1273,0.005037099286274026
c4d6388cf3feecb8ef29ba1608faa1842de05ffc64dedfcbd2582e9935da1eb6,100110110100110101011111000111011001111111111001101111110111100110111111111111111010101111101101111011110011010010111111,old_train,29232,29232,True,3.353718878794884,0.3214995116854049,f1_F_LCMD_old40000,1274,0.0033217720352456343
4e9b1f3917637712127416b8ecb77ddbc815ed952d630566d682bd9a67a3e9e2,110001100101010101010000011111101001011110011101011111111111110101111111110111111001111111011111111001111011101101101010,old_train,38416,38416,True,3.350903479249507,0.746324324292738,f1_F_LCMD_old40000,1275,0.0046300784497101104
7e80dbda0d12c07ae20fb090351430ae13c752efeedf11905b6d7e4ef6e7cbdf,111110110111011101010111011111100111111010010001111110111111101101111001101111111000111111011100010011111111100111100101,old_train,61119,61116,True,3.176475363577799,0.926434111188053,f1_F_LCMD_old40000,1276,0.04931702774931401
d9d3b2389bd8d6e3630633337d179ca010380f5df04645d6cb9b9e16aca7f9d7,001111110101110011001111110000111011010101000001000100101111011101011001001010100001010010000000001010111111111100000101,old_train,6952,6952,True,2.1670698013364698,0.7687021591338201,f1_F_LCMD_old40000,1277,0.0044241213079671705
90d04fee3666be94f13572f2b007446d49f0b7d665aba6b6297c5714dc21f761,011010010101111111001111001111111001110111101101011111110111110111101111111111111010111111111101100011111011100001101111,old_train,17282,17283,True,3.4424708661325227,0.4841589590902666,f1_F_LCMD_old40000,1278,0.014552135317588559
754bd77693845d16dc504f08644de5caa98b28d8216417eb4d32398aea20d0ac,111011100111100001101110001111100001111111011011101111111101111111110110111111111000111111111001111111010011000000101011,old_train,54093,54090,True,3.2092769874674523,0.526254490930401,f1_F_LCMD_old40000,1279,0.007389612179473221
a97c531c5f64141658baecee46ed371b6b1dba26da61418346d1fe66b76aba62,010010110101111011100010011011011001110111101101101111110111110110111011111111111000111111111011001110111111101100101100,old_train,9276,9276,True,3.260222309484487,0.5320671310173988,f1_F_LCMD_old40000,1280,0.038306966344296596
