gene_id,split_role,inner_angle_deg,rotor_travel_deg,A,B,C,raw_torque_nm,fem_sha256,ans_sha256
00649cc162bd198cd939bacf9e2a259f2ee39249947cd13d87cd29a2524c5d7a,train,38.0,9.0,2.831559480312316,0.3658496214367879,-3.1974091017491038,3.030302915070052,fe9903dc8108f645bd03c80e7d3c4f3831021cf695f5ce60167368c40a51cea6,a0211fb4484585de2857cae346aa107852815920d04c32c126129b16db689f76
00649cc162bd198cd939bacf9e2a259f2ee39249947cd13d87cd29a2524c5d7a,train,41.0,12.0,2.341957122256004,1.081559480312316,-3.42351660256832,2.524096145386071,5e022ff37a2763dc034f867befdd2c9684983220d346bdcaf27adcb4f2f47766,cbf82c28a6707c991dc29eca774784737680f543b38513cf7221799eedf8c62b
00649cc162bd198cd939bacf9e2a259f2ee39249947cd13d87cd29a2524c5d7a,train,44.0,15.0,1.7500000000000004,1.7500000000000004,-3.5,1.954008943149605,eeeb49b8eb0651feb500e84b9e9ae65b077672bfd5076edb39996f42870525d5,9ff145e62e2ef2daba069bd3af0687c9e9950acb7429101f7f8fcf5c808324c9
00777d0214d2e180e17a404931bac23f5d837ca0b0fd211c5348922110ef5a7a,train,29.0,0.0,3.5,-1.7499999999999991,-1.7500000000000016,1.973125527232187,0f7a70563a1730eda7c0b430340063ace8af1c84012183d585731694cdd30270,131950843944f5681c0c5ba0dead911566d3be5b75ecc780777c88bc6f0cf2cc
00777d0214d2e180e17a404931bac23f5d837ca0b0fd211c5348922110ef5a7a,train,32.0,3.0,3.42351660256832,-1.081559480312315,-2.3419571222560047,1.821124015837953,951532c6ab323f69fd1d2aeec6920625422f0f6506f911652f32c47ccbbec621,1981fc96566b6a5922fd3dd1a278285745f181a2f87bbb8d548696c99def31e3
00777d0214d2e180e17a404931bac23f5d837ca0b0fd211c5348922110ef5a7a,train,35.0,6.0,3.197409101749103,-0.3658496214367867,-2.8315594803123174,2.684968092709465,f9a30babd88e417dc70ecb8df32cdb4771c1574bd89f18f861a5df6192640ead,f873152298c6994528ae448211c249eaac8e378d04dfa021e244d22ec664d986
00777d0214d2e180e17a404931bac23f5d837ca0b0fd211c5348922110ef5a7a,train,38.0,9.0,2.831559480312316,0.3658496214367879,-3.1974091017491038,2.951402717700453,4e8b925779d3c2dccc953f2d48160ed8f0384cdd3275e630b36a6f507b681316,3aa20397ea091c1e4133da382dacbc70b67b9c2244b5a3731fd307b70246dde7
00777d0214d2e180e17a404931bac23f5d837ca0b0fd211c5348922110ef5a7a,train,41.0,12.0,2.341957122256004,1.081559480312316,-3.42351660256832,2.621827838636753,6f74d48b1b863c3aaf211b4ea53835c4cbe0773548f3afa68f9b82f6d7d7ba11,7e70c64a3183f33a03e5e1f95e2998db034f6a049668d68f37f2a0bd4899f5cf
00777d0214d2e180e17a404931bac23f5d837ca0b0fd211c5348922110ef5a7a,train,44.0,15.0,1.7500000000000004,1.7500000000000004,-3.5,1.965016724213267,3c9971656061a4a7c8a73409ce1398b36a898cacea947fa88c553b36ad2fa7b1,5acb772948c8c5ca5abe599edd5f1654a26ee9dc28394520f5edb0ff40c852bd
009b09d6c022a83f5058364b11942e52d66a0656c1844f8c43ba02823e74271a,train,29.0,0.0,3.5,-1.7499999999999991,-1.7500000000000016,1.165462143682401,30278c5f7bfcae27f856cea70b79dae168a52d48cf40106065c7b9842c8e9f03,bcc76c71064448ce345974323c20b263b9d3a62d740790c3a09e1d604620c671
