architecture,group,updates,minutes,old_draws,new_draws,amp_skipped_attempts,successful_old_draws,successful_new_draws,old_unique,new_unique,final_lr,stop_reason
small_cnn_v2,G-S,10000,1.3041289216666578,480000,160000,0,480000,160000,40000,1400,2.5e-05,fixed_10000_successful_updates
small_cnn_v2,F-S,10000,1.2958226033332418,480000,160000,0,480000,160000,40000,1400,1.25e-05,fixed_10000_successful_updates
mini_inception_v2,G-S,10000,3.3254554316667053,480000,160000,0,480000,160000,40000,1400,1.25e-05,fixed_10000_successful_updates
mini_inception_v2,F-S,10000,3.289567623333399,480000,160000,0,480000,160000,40000,1400,2.5e-05,fixed_10000_successful_updates
resnet20_v2,G-S,10000,2.4580985449999084,480000,160000,0,480000,160000,40000,1400,3.7499999999999997e-06,fixed_10000_successful_updates
resnet20_v2,F-S,10000,2.9043323183332785,480000,160000,0,480000,160000,40000,1400,7.499999999999999e-06,fixed_10000_successful_updates
