epoch,train_loss,val_loss,learning_rate
1,0.7121449532082235,0.38896365600507615,0.001
2,0.2870589870524973,0.22585767629929787,0.001
3,0.14391683269026326,0.20739125039266504,0.001
4,0.10679911090523038,0.1700264212589909,0.001
5,0.07198131281042963,0.15066007614711632,0.001
6,0.05351903015960721,0.151910497010618,0.001
7,0.04419480340970872,0.10655540343068072,0.001
8,0.03969660288699621,0.10991795900939168,0.001
9,0.03066591884717261,0.13290554695371268,0.001
10,0.024169831225566252,0.1099208441477467,0.001
11,0.023545009161040846,0.1146265856453762,0.001
12,0.02260288220249108,0.11025352084982222,0.001
13,0.016250396048226146,0.10329511977624202,0.001
14,0.014012623242379956,0.10820664335852084,0.001
15,0.014039494111471613,0.11617071653045893,0.001
16,0.011101415392437513,0.11905053581880487,0.001
17,0.011297730326078757,0.10595377826172372,0.001
18,0.014344070629888591,0.12518564154560438,0.001
19,0.011440035681391087,0.11706697861641502,0.001
20,0.009182267329768443,0.10496883396653162,0.001
21,0.011233167756045088,0.1032845891184277,0.001
22,0.007882684029402509,0.09803684941236523,0.001
23,0.007099962636663885,0.11862166031547215,0.001
24,0.007844090853561463,0.09281842864078024,0.001
25,0.009738684087645765,0.10034206329624434,0.001
26,0.012186405587506862,0.13440560761857148,0.001
27,0.01631276496176609,0.14788466231258596,0.001
28,0.022993049697184752,0.13471930801580492,0.001
29,0.028778386218969037,0.10192984587328445,0.001
30,0.027832660997035415,0.15582983418939195,0.001
31,0.01627592943684701,0.10258536681460874,0.001
32,0.013394270806298047,0.10541400507740352,0.001
33,0.010071568094016742,0.1036480717756898,0.001
34,0.009385759949616641,0.1116857500611872,0.001
35,0.008528009246368201,0.10222131589760527,0.0005
36,0.005345810875549727,0.10533661125362784,0.0005
37,0.0031903932441399345,0.09457073630630106,0.0005
38,0.00226403360973858,0.10116459825188641,0.0005
39,0.0014012229234920993,0.09717040087865747,0.0005
40,0.00150530402832596,0.10599516591300136,0.0005
41,0.0016812302716949687,0.09612372186448839,0.0005
42,0.0019683157416041583,0.10471262332897831,0.0005
43,0.0016228713031640931,0.10483152098989718,0.0005
44,0.0010007118388571663,0.10232875974857865,0.0005
45,0.0012150195399288717,0.09991501905204017,0.0005
46,0.001001043183626744,0.10150750578889524,0.00025
47,0.0007149487894225131,0.1043139192937077,0.00025
48,0.0005582528507088059,0.10452698919796137,0.00025
49,0.0005546169305445166,0.10328153409243782,0.00025
50,0.0005057984341760213,0.1047986271444726,0.00025
51,0.00048143582874466057,0.10281001441720602,0.00025
52,0.0004568446930160373,0.10321618083882447,0.00025
53,0.0004687451381481011,0.10441342665665392,0.00025
54,0.00047814179414428144,0.10393224577396964,0.00025
