model,checkpoint_step,role,n,target,unit,mae,rmse,absolute_error_p95,f0_mae,mae_change_percent
G-S,9000,old_validation,6483,tavg,N*m,0.009750620902880978,0.01456954026402934,0.02701132297515869,0.009255197631821815,5.352919416391133
G-S,9000,old_validation,6483,delta_t,N*m,0.02788876233754308,0.03716319259833262,0.07489328980445858,0.02634946923727664,5.841837216549317
G-S,9000,dev_common,200,tavg,N*m,0.017940332009937776,0.023314072887398653,0.04546956456828026,0.07648475372002426,-76.54391086149126
G-S,9000,dev_common,200,delta_t,N*m,0.049899390746739124,0.06201098849781765,0.12127367068457383,0.08121747325806541,-38.56076932092467
F-S,3500,old_validation,6483,tavg,N*m,0.011265216134092091,0.015672481735411192,0.02861955165863037,0.009255197631821815,21.717726430382235
F-S,3500,old_validation,6483,delta_t,N*m,0.028738740491435866,0.037922274838825626,0.07548145949840544,0.02634946923727664,9.067625737140549
F-S,3500,dev_common,200,tavg,N*m,0.016907649608065855,0.021433701890245797,0.042250871616572996,0.07648475372002426,-77.89409158594269
F-S,3500,dev_common,200,delta_t,N*m,0.043655326964853344,0.054181250648227416,0.10269294119124442,0.08121747325806541,-46.24884866075529
