scenario_id,candidate_id,inner_angle_deg,outer_angle_deg,current_angle_deg,ia_a,ib_a,ic_a,raw_gap_torque_nm,comparison_torque_nm
is35_fixed,low_tavg,0,0,0.0,3.5,-1.7499999999999991,-1.7499999999999991,-0.8223799305304841,1.6447598610609682
is35_fixed,low_tavg,3,0,0.0,3.5,-1.7499999999999991,-1.7499999999999991,-0.6985663064610841,1.3971326129221682
is35_fixed,low_tavg,6,0,0.0,3.5,-1.7499999999999991,-1.7499999999999991,-0.1549902349783973,0.3099804699567946
is35_fixed,low_tavg,9,0,0.0,3.5,-1.7499999999999991,-1.7499999999999991,0.1558497127107311,-0.3116994254214622
is35_fixed,low_tavg,12,0,0.0,3.5,-1.7499999999999991,-1.7499999999999991,0.7000770013242165,-1.400154002648433
is35_fixed,low_tavg,15,0,0.0,3.5,-1.7499999999999991,-1.7499999999999991,0.8229146500740242,-1.6458293001480484
is35_fixed,median_tavg,0,0,0.0,3.5,-1.7499999999999991,-1.7499999999999991,-1.724849996763385,3.44969999352677
is35_fixed,median_tavg,3,0,0.0,3.5,-1.7499999999999991,-1.7499999999999991,-0.9348227605750931,1.8696455211501861
is35_fixed,median_tavg,6,0,0.0,3.5,-1.7499999999999991,-1.7499999999999991,-0.2664250410664167,0.5328500821328334
is35_fixed,median_tavg,9,0,0.0,3.5,-1.7499999999999991,-1.7499999999999991,0.2644263612222218,-0.5288527224444436
is35_fixed,median_tavg,12,0,0.0,3.5,-1.7499999999999991,-1.7499999999999991,0.9320364300948599,-1.8640728601897198
is35_fixed,median_tavg,15,0,0.0,3.5,-1.7499999999999991,-1.7499999999999991,1.725368208411057,-3.450736416822114
is35_fixed,high_tavg,0,0,0.0,3.5,-1.7499999999999991,-1.7499999999999991,-2.023162703904393,4.046325407808786
is35_fixed,high_tavg,3,0,0.0,3.5,-1.7499999999999991,-1.7499999999999991,-1.296875618254749,2.593751236509498
is35_fixed,high_tavg,6,0,0.0,3.5,-1.7499999999999991,-1.7499999999999991,-0.547845847048702,1.095691694097404
is35_fixed,high_tavg,9,0,0.0,3.5,-1.7499999999999991,-1.7499999999999991,0.5453203928316066,-1.0906407856632132
is35_fixed,high_tavg,12,0,0.0,3.5,-1.7499999999999991,-1.7499999999999991,1.296629648362156,-2.593259296724312
is35_fixed,high_tavg,15,0,0.0,3.5,-1.7499999999999991,-1.7499999999999991,2.021451594403747,-4.042903188807494
is35_fixed,final_low_tavg,0,0,0.0,3.5,-1.7499999999999991,-1.7499999999999991,-1.571436870476116,3.142873740952232
is35_fixed,final_low_tavg,3,0,0.0,3.5,-1.7499999999999991,-1.7499999999999991,-1.214447694319876,2.428895388639752
is35_fixed,final_low_tavg,6,0,0.0,3.5,-1.7499999999999991,-1.7499999999999991,-0.2246297884215719,0.4492595768431438
is35_fixed,final_low_tavg,9,0,0.0,3.5,-1.7499999999999991,-1.7499999999999991,0.2228531585275328,-0.4457063170550656
is35_fixed,final_low_tavg,12,0,0.0,3.5,-1.7499999999999991,-1.7499999999999991,1.216133902064668,-2.432267804129336
is35_fixed,final_low_tavg,15,0,0.0,3.5,-1.7499999999999991,-1.7499999999999991,1.572949278026539,-3.145898556053078
is35_fixed,final_high_tavg,0,0,0.0,3.5,-1.7499999999999991,-1.7499999999999991,-1.803789205191064,3.607578410382128
is35_fixed,final_high_tavg,3,0,0.0,3.5,-1.7499999999999991,-1.7499999999999991,-1.635677182965502,3.271354365931004
is35_fixed,final_high_tavg,6,0,0.0,3.5,-1.7499999999999991,-1.7499999999999991,-0.4781274809708733,0.9562549619417466
is35_fixed,final_high_tavg,9,0,0.0,3.5,-1.7499999999999991,-1.7499999999999991,0.4744035240135089,-0.9488070480270178
is35_fixed,final_high_tavg,12,0,0.0,3.5,-1.7499999999999991,-1.7499999999999991,1.634877871082767,-3.269755742165534
is35_fixed,final_high_tavg,15,0,0.0,3.5,-1.7499999999999991,-1.7499999999999991,1.80568383656648,-3.61136767313296
is35_plus,low_tavg,0,0,0.0,3.5,-1.7499999999999991,-1.7499999999999991,-0.8223799305304841,1.6447598610609682
is35_plus,low_tavg,3,0,12.0,3.42351660256832,-1.0815594803123156,-2.341957122256004,-1.011539527439359,2.023079054878718
is35_plus,low_tavg,6,0,24.0,3.197409101749103,-0.36584962143678745,-2.8315594803123156,-0.8672638680022917,1.7345277360045834
is35_plus,low_tavg,9,0,36.0,2.831559480312316,0.3658496214367871,-3.197409101749103,-0.8931285112966365,1.786257022593273
is35_plus,low_tavg,12,0,48.0,2.341957122256004,1.081559480312316,-3.42351660256832,-0.693718544026299,1.387437088052598
is35_plus,low_tavg,15,0,60.0,1.7500000000000004,1.7500000000000004,-3.5,-0.821239749895558,1.642479499791116
is35_plus,median_tavg,0,0,0.0,3.5,-1.7499999999999991,-1.7499999999999991,-1.724849996763385,3.44969999352677
is35_plus,median_tavg,3,0,12.0,3.42351660256832,-1.0815594803123156,-2.341957122256004,-1.517920467495934,3.035840934991868
is35_plus,median_tavg,6,0,24.0,3.197409101749103,-0.36584962143678745,-2.8315594803123156,-1.494260467240119,2.988520934480238
is35_plus,median_tavg,9,0,36.0,2.831559480312316,0.3658496214367871,-3.197409101749103,-1.587789916459278,3.175579832918556
is35_plus,median_tavg,12,0,48.0,2.341957122256004,1.081559480312316,-3.42351660256832,-1.59812134168464,3.19624268336928
is35_plus,median_tavg,15,0,60.0,1.7500000000000004,1.7500000000000004,-3.5,-1.725445385183155,3.45089077036631
is35_plus,high_tavg,0,0,0.0,3.5,-1.7499999999999991,-1.7499999999999991,-2.023162703904393,4.046325407808786
is35_plus,high_tavg,3,0,12.0,3.42351660256832,-1.0815594803123156,-2.341957122256004,-2.023054479886002,4.046108959772004
is35_plus,high_tavg,6,0,24.0,3.197409101749103,-0.36584962143678745,-2.8315594803123156,-2.069234876991212,4.138469753982424
is35_plus,high_tavg,9,0,36.0,2.831559480312316,0.3658496214367871,-3.197409101749103,-1.804205988026786,3.608411976053572
is35_plus,high_tavg,12,0,48.0,2.341957122256004,1.081559480312316,-3.42351660256832,-1.877853886334748,3.755707772669496
is35_plus,high_tavg,15,0,60.0,1.7500000000000004,1.7500000000000004,-3.5,-2.026115235363705,4.05223047072741
is35_plus,final_low_tavg,0,0,0.0,3.5,-1.7499999999999991,-1.7499999999999991,-1.571436870476116,3.142873740952232
is35_plus,final_low_tavg,3,0,12.0,3.42351660256832,-1.0815594803123156,-2.341957122256004,-1.817792063358252,3.635584126716504
is35_plus,final_low_tavg,6,0,24.0,3.197409101749103,-0.36584962143678745,-2.8315594803123156,-1.456861068737246,2.913722137474492
is35_plus,final_low_tavg,9,0,36.0,2.831559480312316,0.3658496214367871,-3.197409101749103,-1.640567965134312,3.281135930268624
is35_plus,final_low_tavg,12,0,48.0,2.341957122256004,1.081559480312316,-3.42351660256832,-1.393521893616243,2.787043787232486
is35_plus,final_low_tavg,15,0,60.0,1.7500000000000004,1.7500000000000004,-3.5,-1.572907565515678,3.145815131031356
is35_plus,final_high_tavg,0,0,0.0,3.5,-1.7499999999999991,-1.7499999999999991,-1.803789205191064,3.607578410382128
is35_plus,final_high_tavg,3,0,12.0,3.42351660256832,-1.0815594803123156,-2.341957122256004,-2.337069908459407,4.674139816918814
is35_plus,final_high_tavg,6,0,24.0,3.197409101749103,-0.36584962143678745,-2.8315594803123156,-2.06474633111702,4.12949266223404
is35_plus,final_high_tavg,9,0,36.0,2.831559480312316,0.3658496214367871,-3.197409101749103,-1.979910751138692,3.959821502277384
is35_plus,final_high_tavg,12,0,48.0,2.341957122256004,1.081559480312316,-3.42351660256832,-1.479621192740006,2.959242385480012
is35_plus,final_high_tavg,15,0,60.0,1.7500000000000004,1.7500000000000004,-3.5,-1.806585026176561,3.613170052353122
is35_minus,low_tavg,0,0,-0.0,3.5,-1.7499999999999991,-1.7499999999999991,-0.8223799305304841,1.6447598610609682
is35_minus,low_tavg,3,0,-12.0,3.42351660256832,-2.341957122256004,-1.0815594803123156,-0.3562258217002803,0.7124516434005606
is35_minus,low_tavg,6,0,-24.0,3.197409101749103,-2.8315594803123156,-0.36584962143678745,0.5675497418574803,-1.1350994837149606
is35_minus,low_tavg,9,0,-36.0,2.831559480312316,-3.197409101749103,0.3658496214367871,1.182870958543326,-2.365741917086652
is35_minus,low_tavg,12,0,-48.0,2.341957122256004,-3.42351660256832,1.081559480312316,1.652309050997697,-3.304618101995394
is35_minus,low_tavg,15,0,-60.0,1.7500000000000004,-3.5,1.7500000000000004,1.64599347777933,-3.29198695555866
is35_minus,median_tavg,0,0,-0.0,3.5,-1.7499999999999991,-1.7499999999999991,-1.724849996763385,3.44969999352677
is35_minus,median_tavg,3,0,-12.0,3.42351660256832,-2.341957122256004,-1.0815594803123156,-0.3033279229688043,0.6066558459376086
is35_minus,median_tavg,6,0,-24.0,3.197409101749103,-2.8315594803123156,-0.36584962143678745,1.003452584390581,-2.006905168781162
is35_minus,median_tavg,9,0,-36.0,2.831559480312316,-3.197409101749103,0.3658496214367871,2.02658557165293,-4.05317114330586
is35_minus,median_tavg,12,0,-48.0,2.341957122256004,-3.42351660256832,1.081559480312316,2.755177988926953,-5.510355977853906
is35_minus,median_tavg,15,0,-60.0,1.7500000000000004,-3.5,1.7500000000000004,3.442381522788467,-6.884763045576934
is35_minus,high_tavg,0,0,-0.0,3.5,-1.7499999999999991,-1.7499999999999991,-2.023162703904393,4.046325407808786
is35_minus,high_tavg,3,0,-12.0,3.42351660256832,-2.341957122256004,-1.0815594803123156,-0.50882121570639,1.01764243141278
is35_minus,high_tavg,6,0,-24.0,3.197409101749103,-2.8315594803123156,-0.36584962143678745,1.055148360576568,-2.110296721153136
is35_minus,high_tavg,9,0,-36.0,2.831559480312316,-3.197409101749103,0.3658496214367871,2.718507522611142,-5.437015045222284
is35_minus,high_tavg,12,0,-48.0,2.341957122256004,-3.42351660256832,1.081559480312316,3.559687829338697,-7.119375658677394
is35_minus,high_tavg,15,0,-60.0,1.7500000000000004,-3.5,1.7500000000000004,4.022992912106258,-8.045985824212517
is35_minus,final_low_tavg,0,0,-0.0,3.5,-1.7499999999999991,-1.7499999999999991,-1.571436870476116,3.142873740952232
is35_minus,final_low_tavg,3,0,-12.0,3.42351660256832,-2.341957122256004,-1.0815594803123156,-0.5622514485837669,1.1245028971675337
is35_minus,final_low_tavg,6,0,-24.0,3.197409101749103,-2.8315594803123156,-0.36584962143678745,1.051658686216897,-2.103317372433794
is35_minus,final_low_tavg,9,0,-36.0,2.831559480312316,-3.197409101749103,0.3658496214367871,1.991873854593411,-3.983747709186822
is35_minus,final_low_tavg,12,0,-48.0,2.341957122256004,-3.42351660256832,1.081559480312316,3.113232436456006,-6.226464872912012
is35_minus,final_low_tavg,15,0,-60.0,1.7500000000000004,-3.5,1.7500000000000004,3.139383869989315,-6.27876773997863
is35_minus,final_high_tavg,0,0,-0.0,3.5,-1.7499999999999991,-1.7499999999999991,-1.803789205191064,3.607578410382128
is35_minus,final_high_tavg,3,0,-12.0,3.42351660256832,-2.341957122256004,-1.0815594803123156,-0.8714680781901878,1.7429361563803756
is35_minus,final_high_tavg,6,0,-24.0,3.197409101749103,-2.8315594803123156,-0.36584962143678745,1.19700690344248,-2.39401380688496
is35_minus,final_high_tavg,9,0,-36.0,2.831559480312316,-3.197409101749103,0.3658496214367871,2.738086874123918,-5.476173748247836
is35_minus,final_high_tavg,12,0,-48.0,2.341957122256004,-3.42351660256832,1.081559480312316,3.815760133005854,-7.631520266011708
is35_minus,final_high_tavg,15,0,-60.0,1.7500000000000004,-3.5,1.7500000000000004,3.616633866661172,-7.233267733322344
dq5_fixed,low_tavg,0,0,0.0,5.0,-2.499999999999999,-2.499999999999999,-1.174778191610612,2.349556383221224
dq5_fixed,low_tavg,3,0,0.0,5.0,-2.499999999999999,-2.499999999999999,-0.9784413042908939,1.9568826085817879
dq5_fixed,low_tavg,6,0,0.0,5.0,-2.499999999999999,-2.499999999999999,-0.1785883557939326,0.3571767115878652
dq5_fixed,low_tavg,9,0,0.0,5.0,-2.499999999999999,-2.499999999999999,0.1786536879794707,-0.3573073759589414
dq5_fixed,low_tavg,12,0,0.0,5.0,-2.499999999999999,-2.499999999999999,0.97885998424235,-1.9577199684847
dq5_fixed,low_tavg,15,0,0.0,5.0,-2.499999999999999,-2.499999999999999,1.175312470726146,-2.350624941452292
dq5_fixed,median_tavg,0,0,0.0,5.0,-2.499999999999999,-2.499999999999999,-2.428714389674306,4.857428779348612
dq5_fixed,median_tavg,3,0,0.0,5.0,-2.499999999999999,-2.499999999999999,-1.363583858212063,2.727167716424126
dq5_fixed,median_tavg,6,0,0.0,5.0,-2.499999999999999,-2.499999999999999,-0.3576774392780268,0.7153548785560536
dq5_fixed,median_tavg,9,0,0.0,5.0,-2.499999999999999,-2.499999999999999,0.3547294788522135,-0.709458957704427
dq5_fixed,median_tavg,12,0,0.0,5.0,-2.499999999999999,-2.499999999999999,1.35948407564783,-2.71896815129566
dq5_fixed,median_tavg,15,0,0.0,5.0,-2.499999999999999,-2.499999999999999,2.428974955440088,-4.857949910880176
dq5_fixed,high_tavg,0,0,0.0,5.0,-2.499999999999999,-2.499999999999999,-2.833579175988437,5.667158351976874
dq5_fixed,high_tavg,3,0,0.0,5.0,-2.499999999999999,-2.499999999999999,-1.83036277853459,3.66072555706918
dq5_fixed,high_tavg,6,0,0.0,5.0,-2.499999999999999,-2.499999999999999,-0.727242290466125,1.45448458093225
dq5_fixed,high_tavg,9,0,0.0,5.0,-2.499999999999999,-2.499999999999999,0.7235664775966867,-1.4471329551933734
dq5_fixed,high_tavg,12,0,0.0,5.0,-2.499999999999999,-2.499999999999999,1.829654880916165,-3.65930976183233
dq5_fixed,high_tavg,15,0,0.0,5.0,-2.499999999999999,-2.499999999999999,2.830518837197877,-5.661037674395754
dq5_fixed,final_low_tavg,0,0,0.0,5.0,-2.499999999999999,-2.499999999999999,-2.22729129785146,4.45458259570292
dq5_fixed,final_low_tavg,3,0,0.0,5.0,-2.499999999999999,-2.499999999999999,-1.635455396831951,3.270910793663902
dq5_fixed,final_low_tavg,6,0,0.0,5.0,-2.499999999999999,-2.499999999999999,-0.313173001605131,0.626346003210262
dq5_fixed,final_low_tavg,9,0,0.0,5.0,-2.499999999999999,-2.499999999999999,0.3104255012153814,-0.6208510024307629
dq5_fixed,final_low_tavg,12,0,0.0,5.0,-2.499999999999999,-2.499999999999999,1.636183841660558,-3.272367683321116
dq5_fixed,final_low_tavg,15,0,0.0,5.0,-2.499999999999999,-2.499999999999999,2.227435934906819,-4.454871869813638
dq5_fixed,final_high_tavg,0,0,0.0,5.0,-2.499999999999999,-2.499999999999999,-2.545214269554502,5.090428539109004
dq5_fixed,final_high_tavg,3,0,0.0,5.0,-2.499999999999999,-2.499999999999999,-2.159194919570832,4.318389839141664
dq5_fixed,final_high_tavg,6,0,0.0,5.0,-2.499999999999999,-2.499999999999999,-0.6433742014929038,1.2867484029858076
dq5_fixed,final_high_tavg,9,0,0.0,5.0,-2.499999999999999,-2.499999999999999,0.6392117695729579,-1.2784235391459158
dq5_fixed,final_high_tavg,12,0,0.0,5.0,-2.499999999999999,-2.499999999999999,2.156218181137579,-4.312436362275158
dq5_fixed,final_high_tavg,15,0,0.0,5.0,-2.499999999999999,-2.499999999999999,2.546255601880185,-5.09251120376037
dq5_plus,low_tavg,0,0,0.0,5.0,-2.499999999999999,-2.499999999999999,-1.174778191610612,2.349556383221224
dq5_plus,low_tavg,3,0,12.0,4.8907380036690284,-1.5450849718747368,-3.345653031794291,-1.420169133618022,2.840338267236044
dq5_plus,low_tavg,6,0,24.0,4.567727288213004,-0.5226423163382677,-4.045084971874736,-1.188011162227641,2.376022324455282
dq5_plus,low_tavg,9,0,36.0,4.045084971874737,0.5226423163382673,-4.567727288213003,-1.315293955408654,2.630587910817308
dq5_plus,low_tavg,12,0,48.0,3.345653031794291,1.5450849718747373,-4.8907380036690284,-1.006776285611335,2.01355257122267
dq5_plus,low_tavg,15,0,60.0,2.5000000000000004,2.5000000000000004,-5.0,-1.174130275912189,2.348260551824378
dq5_plus,median_tavg,0,0,0.0,5.0,-2.499999999999999,-2.499999999999999,-2.428714389674306,4.857428779348612
dq5_plus,median_tavg,3,0,12.0,4.8907380036690284,-1.5450849718747368,-3.345653031794291,-2.17972049529736,4.35944099059472
dq5_plus,median_tavg,6,0,24.0,4.567727288213004,-0.5226423163382677,-4.045084971874736,-2.085049634375531,4.170099268751062
dq5_plus,median_tavg,9,0,36.0,4.045084971874737,0.5226423163382673,-4.567727288213003,-2.273591914595376,4.547183829190752
