rank_by_test_standardized_mse,model,run_id,seed,epochs_completed,best_epoch,validation_standardized_mse,test_standardized_mse,tavg_mae_nm,tavg_rmse_nm,tavg_r2,tavg_bias_nm,tavg_abs_error_p95_nm,delta_t_mae_nm,delta_t_rmse_nm,delta_t_r2,delta_t_bias_nm,delta_t_abs_error_p95_nm,elapsed_seconds,test_samples
1,Polar 90 VGG16,polar90_224/vgg16_v2,20260903,40,39,0.005224786694759922,0.006491925961544992,0.0065152570605278015,0.012045360170304775,0.9988573789596558,0.0016485691303387284,0.017833685502409935,0.011925505474209785,0.020807400345802307,0.9883148074150085,-0.000127759063616395,0.030222347006201744,9174.165467700004,6483
2,XY 90 VGG16,xy90_224/vgg16_v2,20260903,40,39,0.00613121250175289,0.007254250107744495,0.008474296890199184,0.013892159797251225,0.9984801411628723,0.0038258801214396954,0.02470707893371582,0.013302493840456009,0.021793032065033913,0.987181544303894,-0.0007113972096703947,0.033545225858688354,9350.442799000004,6483
3,XY 360 VGG16,xy360_224/vgg16_v2,20260903,40,40,0.007097358157426997,0.008647084444015414,0.008709568530321121,0.014148356392979622,0.9984235763549805,0.002788486424833536,0.024896979331970215,0.015002761036157608,0.023972727358341217,0.9844892024993896,0.002989665837958455,0.04014597833156586,9243.6369414,6483
4,Logical Small CNN,logical6x20/small_cnn_v2,20260903,52,40,0.018038361892276537,0.019566633920876972,0.009256133809685707,0.01445038802921772,0.9983555674552917,0.001779868733137846,0.02569561079144478,0.027189958840608597,0.037019308656454086,0.9630123972892761,0.0034282966516911983,0.07425864040851593,196.17963500000042,6483
5,Logical Mini-Inception,logical6x20/mini_inception_v2,20260903,46,34,0.026937286504970258,0.028121433130444042,0.019685344770550728,0.04205639660358429,0.9860709309577942,-0.008659937418997288,0.08805994689464569,0.029308831319212914,0.03935001417994499,0.9582083225250244,0.003842779668048024,0.07818584889173508,483.82385950000025,6483
6,Polar 360 VGG16,polar360_224/vgg16_v2,20260903,40,37,0.028316147291589516,0.02983428462713465,0.01577020063996315,0.02135777659714222,0.9964077472686768,-0.005638528615236282,0.04005694389343262,0.033711519092321396,0.045277561992406845,0.9446693062782288,0.005337093956768513,0.08966650813817978,12816.694576599999,6483
