version,group,successful_updates,old_draws,new_draws,old_unique,new_unique,old_coverage_percent,new_coverage_percent,amp_skipped_attempts,elapsed_seconds,final_lr,stop_reason
v1,G-S,2500,120000,40000,40000,1400,100.0,100.0,0,985.2924521000023,1e-05,early_stopping_no_constrained_improvement
v1,F-S,2500,120000,40000,40000,1400,100.0,100.0,0,937.3251378000023,1e-05,early_stopping_no_constrained_improvement
v2,G-S,5000,280000,40000,40000,1400,100.0,100.0,0,1889.193046700002,1e-05,fixed_5000_successful_updates
v2,F-S,5000,280000,40000,40000,1400,100.0,100.0,0,1870.3132480999993,1e-05,fixed_5000_successful_updates
