gene_id,bits,magnet_cells,pred_tavg_nm,pred_delta_t_nm,feasible,in_final_population
2321b933ce6e51250faca90d526a9d72541d2a654e2e661cdbeae8743554c3dd,011000100000011001000111000011011010000000111010010001010001000100000100000000000000000000000000000000100000100000010000,27,0.8616183996200562,0.8211820721626282,1,0
26be1178d0e7be4399e99ccab22b6458ebaeabe0a2e1d3a48e023eba1b1294b4,110101001110111100111110010011101110110110111111110011011100011101110011010101011111010001110111011111001111101110011001,79,2.995859146118164,0.4464609920978546,1,1
3e2aeae30ac0e5899d20b951f1ff1f60ef520e9912b29dfcf8e50a99286ff7f7,011001101011111111111011110111011111010011011101101101100011101101110011010101010111111111111100111110111111111101111100,87,3.2975072860717773,0.6915332078933716,1,1
4b2e20f1efaba782b83b7a3390c1183445a8be71a23196dcb6528747df283f97,111011001011011101110011011010001110000111001100101101101011111101000110111101110100100100010011111100011110011101000010,68,2.5453197956085205,0.25360432267189026,1,1
68df64d9cd8570b282728c7f3794ab50e1214a0172fc529c0540d00ca9aa3e9a,110101001110111100111110010011101110110110111111110011011100011101110011010101001111010001111100111110111101111101111101,81,3.081814765930176,0.6529073715209961,1,1
6d974254b0ced9f64b58428001bc2485f9a72a3cbd794554c32fc0100250eb42,111111111111111111111111111111101111110111111111111111111111111111111111001111111111111111110111101011111111001111111111,111,4.0723185539245605,0.7041593790054321,0,0
847b010017737e133bb9a297ab71ba310209cb5f40c2ab9bd8fa3ae2878518cd,011100011111011111011111101101000011011101001100101101101011111101000110100011111110100001011011100011101110000010011000,69,2.5304269790649414,0.3405478298664093,1,0
859fa1758e606872a936a882f650db191dc8e2aaaaefa879d7d78e513b7debbc,011001101011111111111011110111011111010011011101111101100011101000111110001111111100111111111100111110111111111101111100,88,3.301273822784424,0.9183299541473389,1,1
97739d658f91b58eaa5f7d12324055bf8c9b3b946bdb5080ee5052b0f3093a94,000000000000000000000000000000000000000000000000000111000000000110000000000000000000000000000000000000000001000010000010,8,0.39385104179382324,0.1544281542301178,0,0
99c3e5953124b42c6148bdb0651fb575fb6396c6e4498aa98ac69ccc1d664f3b,000000000000000000000000011000001100001000000000010011011100001001010101000000010000010000010000000001000001000000000000,21,0.8848450183868408,0.6850652098655701,1,0
9fc62290b02a49a6c0164786a06a6b3090ebec7797a62d0efe2943cac32743e6,011000100000011001000111000011000000000000111010010001010001000100000100000000000000000000000000000000100000100000011000,25,0.8283015489578247,0.762200117111206,1,0
b6420ac48ea6145bcce817fc93a281533ad80aa8cbf1ce02ac9416a541af1ddb,011001100011111111111011110111011111010011011101111101100011101000111110001111111100111111111111011111001111101110010000,83,3.1546356678009033,0.8418058156967163,1,1
d9df0c409545120efc5a5fd5ea468f1798331a45b57e6eb7c7dc1b56e113c7cf,011100011111011111011111101111000011011101001100101101101011111101000110110011111110100001011011100011101110000010011000,71,2.5981085300445557,0.41839778423309326,1,1
de5700e631d949dc048541212fb1d0471381c78ecfccc0474081b57785db774e,111011001011011101110011011010001110000111001011001011110101000011111001111101110100100100010011111100011110011101000010,67,2.483241558074951,0.3756885528564453,1,0
e0e03085cddca32ccbb065185a1ec27a8b7c900be72487a1e506bfd561dd44ef,110101001110111100111110010011101111110111111111110011011100011000111110001111111100110001110111011111001111101110011001,81,3.027982711791992,1.168419599533081,1,0
f890dae3b2471fc753c23ec30416b338beadb8234133efe28f1b00272e259280,011100011111011111011111101111000011011101001011001011110101000011111001110011111110100001011011100011101110000010011000,70,2.536388397216797,0.3178252875804901,1,1
