gene_id,travel_deg,inner_angle_deg,A,B,C,raw_torque_nm
G1,0.0,29.0,3.5,-1.7499999999999991,-1.7500000000000016,1.622008742930102
G1,3.0,32.0,3.42351660256832,-1.081559480312315,-2.3419571222560047,1.598137455684951
G1,6.0,35.0,3.197409101749103,-0.3658496214367867,-2.8315594803123174,1.668126279559056
G1,9.0,38.0,2.831559480312316,0.3658496214367879,-3.1974091017491038,1.859131737570328
G1,12.0,41.0,2.341957122256004,1.081559480312316,-3.42351660256832,1.679366623800696
G1,15.0,44.0,1.7500000000000004,1.7500000000000004,-3.5,1.621782561420695
G2,0.0,29.0,3.5,-1.7499999999999991,-1.7500000000000016,3.284467446394624
G2,3.0,32.0,3.42351660256832,-1.081559480312315,-2.3419571222560047,3.420987437103323
G2,6.0,35.0,3.197409101749103,-0.3658496214367867,-2.8315594803123174,2.966454268586339
G2,9.0,38.0,2.831559480312316,0.3658496214367879,-3.1974091017491038,3.119209370136498
G2,12.0,41.0,2.341957122256004,1.081559480312316,-3.42351660256832,3.026029576907968
G2,15.0,44.0,1.7500000000000004,1.7500000000000004,-3.5,3.281648519971953
G3,0.0,29.0,3.5,-1.7499999999999991,-1.7500000000000016,3.940012894070048
G3,3.0,32.0,3.42351660256832,-1.081559480312315,-2.3419571222560047,4.032418889318524
G3,6.0,35.0,3.197409101749103,-0.3658496214367867,-2.8315594803123174,3.81912730008361
G3,9.0,38.0,2.831559480312316,0.3658496214367879,-3.1974091017491038,3.958696339904848
G3,12.0,41.0,2.341957122256004,1.081559480312316,-3.42351660256832,3.823182709580016
G3,15.0,44.0,1.7500000000000004,1.7500000000000004,-3.5,3.93850797449264
G4,0.0,29.0,3.5,-1.7499999999999991,-1.7500000000000016,3.102613147310328
G4,3.0,32.0,3.42351660256832,-1.081559480312315,-2.3419571222560047,3.130887711421465
G4,6.0,35.0,3.197409101749103,-0.3658496214367867,-2.8315594803123174,3.27381942104512
G4,9.0,38.0,2.831559480312316,0.3658496214367879,-3.1974091017491038,3.088876840495362
G4,12.0,41.0,2.341957122256004,1.081559480312316,-3.42351660256832,3.235327163661009
G4,15.0,44.0,1.7500000000000004,1.7500000000000004,-3.5,3.102950800263637
G5,0.0,29.0,3.5,-1.7499999999999991,-1.7500000000000016,3.737679072513372
G5,3.0,32.0,3.42351660256832,-1.081559480312315,-2.3419571222560047,3.553575034179567
G5,6.0,35.0,3.197409101749103,-0.3658496214367867,-2.8315594803123174,4.002032582586887
G5,9.0,38.0,2.831559480312316,0.3658496214367879,-3.1974091017491038,4.025741334983169
G5,12.0,41.0,2.341957122256004,1.081559480312316,-3.42351660256832,4.048351685862222
G5,15.0,44.0,1.7500000000000004,1.7500000000000004,-3.5,3.733560253467642
