id,state,row,pm_cells,reference_tavg_nm,reference_delta_t,initial_phase_deg,tavg_nm,peak_to_peak_nm,ripple_relative,reference_ripple_relative,tavg_error_percent,delta_t_error_percent
G1,0,338,45,1.6172313314639906,0.35074853072759105,0.0,1.6747589001609713,0.260994281885377,0.15583991335128372,0.2168821020862103,3.5571638749358314,25.589344210802047
G2,31,190,80,3.183132769850227,0.454533168517397,0.0,3.183132769850118,0.454533168516984,0.14279428518414777,0.14279428518427262,3.4305891460917337e-12,9.086065233532281e-11
G3,193,258,100,3.9186576845750505,0.21329158923616598,0.0,3.918657684574948,0.21329158923491454,0.054429757943516316,0.05442975794383425,2.6201263381153694e-12,5.867306640539027e-10
G4,200,491,82,3.155745847366145,0.18494258054991697,0.0,3.1557458473661537,0.18494258054975798,0.05860503015606108,0.05860503015611163,2.886579864025407e-13,8.596456879672587e-11
G5,200,33,99,3.8501566605986075,0.4947766516831762,0.0,3.85015666059881,0.4947766516826553,0.12850818688653134,0.1285081868866734,5.262457136723242e-12,1.052824494252036e-10
