model,checkpoint_step,role,n,target,unit,mae,rmse,absolute_error_p95,f0_mae,mae_change_percent
G-S,15500,old_validation,6483,tavg,N*m,0.00976933825076702,0.014030741493801463,0.024736618995666503,0.009255197631821815,5.555155485577679
G-S,15500,old_validation,6483,delta_t,N*m,0.027131448386513705,0.036349565843788824,0.07182251960039136,0.02634946923727664,2.967722583689847
G-S,15500,dev_common,200,tavg,N*m,0.01671684609975646,0.02209316151122427,0.045934793314564765,0.07648475372002426,-78.14355765470698
G-S,15500,dev_common,200,delta_t,N*m,0.050905131138498164,0.06312766948892316,0.12632475358612297,0.08121747325806541,-37.32243925300526
F-S,9500,old_validation,6483,tavg,N*m,0.009439991209291114,0.014043726751632945,0.025008511543273923,0.009255197631821815,1.9966464771527859
F-S,9500,old_validation,6483,delta_t,N*m,0.02777847502574258,0.037277021131519913,0.07412076592445373,0.02634946923727664,5.423281112791156
F-S,9500,dev_common,200,tavg,N*m,0.015647212759671743,0.02014086924965606,0.04079543923551647,0.07648475372002426,-79.54204988755139
F-S,9500,dev_common,200,delta_t,N*m,0.04347657452857859,0.055486974196481395,0.11701096821762753,0.08121747325806541,-46.46893976812916
