model,checkpoint_step,role,n,target,unit,mae,rmse,absolute_error_p95,f0_mae,mae_change_percent
G-S,15500,old_validation,6483,tavg,N*m,0.01167353492597362,0.016438243786537316,0.030509734153747557,0.011103510654360611,5.133730126958969
G-S,15500,old_validation,6483,delta_t,N*m,0.017090580365102675,0.024449186339095798,0.0451139211654663,0.016680869927045722,2.4561694914523757
G-S,15500,dev_common,200,tavg,N*m,0.021392202687888977,0.026920758423707516,0.05083748319551818,0.05686935861455718,-62.38360479343776
G-S,15500,dev_common,200,delta_t,N*m,0.035335558574555496,0.046725907683251335,0.09479608051479821,0.08433155404040814,-58.09924413627646
F-S,10000,old_validation,6483,tavg,N*m,0.015380812908568612,0.019968921069198856,0.03680603504180908,0.011103510654360611,38.52207096796185
F-S,10000,old_validation,6483,delta_t,N*m,0.018430253991016207,0.025920471002394797,0.04844198375940322,0.016680869927045722,10.487367095490029
F-S,10000,dev_common,200,tavg,N*m,0.021552575687295992,0.02654981687581685,0.04873881402938227,0.05686935861455718,-62.101602317387396
F-S,10000,dev_common,200,delta_t,N*m,0.03152653066294444,0.04089939823265236,0.080777673915761,0.08433155404040814,-62.61597331902807
