role,source,target,n,mae_nm,rmse_nm,median_abs_nm,p90_abs_nm,p95_abs_nm,max_abs_nm,bias_nm,r2,spearman,na_note
old_validation,all,tavg,6483,0.006412123559930894,0.01152187896921893,0.0041790008544921875,0.01189727783203125,0.017270565032958984,0.14138507843017578,0.0016038453856607507,0.998943217134952,0.9996653577017739,
old_validation,all,delta_t,6483,0.011520371856387707,0.01854342306282764,0.008270800113677979,0.02312438488006592,0.030048575997352597,0.24557477235794067,-0.0008479578737425212,0.9908267082758981,0.9951929553822493,
train_G,all,tavg,1400,0.13308501449749052,0.21081779337711365,0.04870195159597235,0.3935384363022804,0.48395971339171673,0.7824747612446664,0.12002237907974501,0.9520602418120777,0.998010493212572,
train_G,all,delta_t,1400,0.06586540858037586,0.11442499431395699,0.03790835246659652,0.1463533829941886,0.22009157034407348,1.2617921385538198,-0.0397695587343486,0.9272053317451628,0.9859513084467106,
train_G,U,tavg,680,0.1543762091386442,0.23544404608407077,0.05821626904914501,0.43381654100455125,0.5151645200935611,0.7824747612446664,0.14704787216762566,0.948759930252206,0.9978946125507174,
train_G,U,delta_t,680,0.046965793795289715,0.06588225905892584,0.03315096815531349,0.09930732415415791,0.13143150564087488,0.3092753572510625,-0.020054102454482536,0.9600561768172243,0.9835374170767494,
train_G,L,tavg,617,0.1208157983301039,0.19247567547635133,0.047411157912827795,0.3447846795743163,0.4591371183830025,0.6685590820380843,0.10558994192881918,0.9536191660652139,0.9980265984346915,
train_G,L,delta_t,617,0.0807654574687331,0.13494506120511995,0.04626774341498496,0.18580863951617882,0.2607785631026887,0.825428398754334,-0.055796295579366405,0.9143228479204653,0.9868133754495172,
train_G,B,tavg,51,0.11433523925573805,0.17896284882615116,0.056916761934520554,0.4210357673495462,0.4571138303624855,0.4674637653298379,0.06163875399227941,0.9445329806692362,0.9968098828316564,
train_G,B,delta_t,51,0.1603615854818472,0.2753047554029027,0.0880987954675505,0.3232149502083024,0.6088922296949544,1.2617921385538198,-0.11776660079483828,0.8064628742601403,0.971945701357466,
