epoch,train_mse_scaled,validation_mse_scaled
1,0.9830787181854248,0.7741525769233704
2,0.7741525769233704,0.6094092130661011
3,0.6094092130661011,0.4733292758464813
4,0.4733292758464813,0.36283308267593384
5,0.36283308267593384,0.2772030234336853
6,0.2772030234336853,0.21414367854595184
7,0.21414367854595184,0.16902348399162292
8,0.16902348399162292,0.13916340470314026
9,0.13916340470314026,0.12050184607505798
10,0.12050184607505798,0.10731209069490433
11,0.10731209069490433,0.09463825821876526
12,0.09463825821876526,0.07986738532781601
13,0.07986738532781601,0.06269904971122742
14,0.06269904971122742,0.04621598869562149
15,0.04621598869562149,0.034258194267749786
16,0.034258194267749786,0.02886432595551014
17,0.02886432595551014,0.029183698818087578
18,0.029183698818087578,0.03148040920495987
19,0.03148040920495987,0.031904853880405426
20,0.031904853880405426,0.028470782563090324
21,0.028470782563090324,0.021935926750302315
22,0.021935926750302315,0.014162028208374977
23,0.014162028208374977,0.007511970121413469
24,0.007511970121413469,0.004003367852419615
25,0.004003367852419615,0.004026691894978285
26,0.004026691894978285,0.006516474299132824
27,0.006516474299132824,0.00941691268235445
28,0.00941691268235445,0.01082951296120882
29,0.01082951296120882,0.01033776719123125
30,0.01033776719123125,0.008450443856418133
31,0.008450443856418133,0.006502149626612663
32,0.006502149626612663,0.005508487578481436
33,0.005508487578481436,0.005490079987794161
34,0.005490079987794161,0.005868551321327686
35,0.005868551321327686,0.00576285645365715
36,0.00576285645365715,0.004913416225463152
37,0.004913416225463152,0.003668926190584898
38,0.003668926190584898,0.0025712824426591396
39,0.0025712824426591396,0.002099424134939909
40,0.002099424134939909,0.002214603591710329
41,0.002214603591710329,0.002592847216874361
42,0.002592847216874361,0.0027810095343738794
43,0.0027810095343738794,0.00255031231790781
44,0.00255031231790781,0.0019941935315728188
45,0.0019941935315728188,0.0014077930245548487
46,0.0014077930245548487,0.0011298049939796329
47,0.0011298049939796329,0.001235190313309431
48,0.001235190313309431,0.0015795413637533784
49,0.0015795413637533784,0.001884341356344521
50,0.001884341356344521,0.0019638407975435257
51,0.0019638407975435257,0.0018151004333049059
52,0.0018151004333049059,0.001560618169605732
53,0.001560618169605732,0.0013650493929162621
54,0.0013650493929162621,0.0012837250251322985
55,0.0012837250251322985,0.0012881357688456774
56,0.0012881357688456774,0.0012777253286913037
57,0.0012777253286913037,0.001191472983919084
