tavg_band,lower_edge_nm,upper_edge_nm,total,train,validation,test,train_percent,validation_percent,test_percent
<2.0,-inf,2.0,166,132,17,17,79.51807228915662,10.240963855421686,10.240963855421686
2.0-2.5,2.0,2.5,4766,3812,477,477,79.9832144355854,10.008392782207302,10.008392782207302
2.5-3.0,2.5,3.0,16615,13291,1662,1662,79.9939813421607,10.003009328919651,10.003009328919651
3.0-3.25,3.0,3.25,17256,13804,1726,1726,79.99536393138618,10.002318034306908,10.002318034306908
3.25-3.5,3.25,3.5,19576,15660,1958,1958,79.99591336330201,10.002043318349,10.002043318349
3.5-3.75,3.5,3.75,6176,4940,618,618,79.98704663212435,10.006476683937823,10.006476683937823
>=3.75,3.75,inf,249,199,25,25,79.91967871485944,10.040160642570282,10.040160642570282
