delta_t_band_nm,legacy_exact_four_state_count,cnn_eligible_physical_count,selected_training_count,selected_over_eligible_percent,selected_over_legacy_percent
<0.50,27650,25305,2026,8.006322861094645,7.327305605786618
0.50-0.75,44959,41151,3289,7.992515370221866,7.315554171578549
0.75-1.00,57482,52610,4203,7.988975479946778,7.311854145645594
1.00-1.50,26296,24129,1903,7.886775249699531,7.2368421052631575
1.50-2.00,2856,2640,228,8.636363636363637,7.983193277310924
>=2.00,678,636,51,8.018867924528301,7.522123893805309
