model,checkpoint_step,role,n,target,unit,mae,rmse,absolute_error_p95,f0_mae,mae_change_percent
G-S,3500,old_validation,6483,tavg,N*m,0.014861799658181471,0.02025557290387338,0.03914823532104492,0.011103510654360611,33.84775428972
G-S,3500,old_validation,6483,delta_t,N*m,0.018760504470840753,0.026154179612815746,0.04863061904907224,0.016680869927045722,12.46718278417356
G-S,3500,dev_common,200,tavg,N*m,0.02481097091605273,0.03136653226589367,0.06131232190523947,0.05686935861455718,-56.37198744544708
G-S,3500,dev_common,200,delta_t,N*m,0.03679204574557314,0.047590975654051515,0.09557631588786267,0.08433155404040814,-56.37214781083728
F-S,9500,old_validation,6483,tavg,N*m,0.013849411024717054,0.01882463194960721,0.03579180240631103,0.011103510654360611,24.730019683261737
F-S,9500,old_validation,6483,delta_t,N*m,0.018870702881343605,0.02637132933094502,0.04870075136423109,0.016680869927045722,13.127810263344664
F-S,9500,dev_common,200,tavg,N*m,0.021577222726370016,0.026734133992506005,0.0513835460984376,0.05686935861455718,-62.058262565235324
F-S,9500,dev_common,200,delta_t,N*m,0.03218173136053437,0.04174906162639774,0.08585221314708456,0.08433155404040814,-61.83903910378049
