delta_t_band_nm,full_scheme_a_train_pool,v2_train_count,v3_train_count,v3_selected_over_pool_percent,v3_share_of_training_percent,selected_models_v2_test_mae_nm
<0.5,20239,2026,6000,29.64573348485597,20.0,0.06711647310352564
0.5-0.75,32904,3289,7000,21.2740092389983,23.333333333333332,0.04881266872040922
0.75-1.0,42142,4203,9000,21.35636657016753,30.0,0.041434400627162166
1.0-1.5,19259,1903,5384,27.955760942935772,17.946666666666665,0.07607502657461104
1.5-2.0,2110,228,2110,100.0,7.033333333333333,0.27987789848576416
>=2.0,506,51,506,100.0,1.6866666666666668,0.332923154036204
