model_id,input_family,seed_count,test_standardized_mse_mean,tavg_mae_mean_nm,delta_t_mae_mean_nm,selected_for_v3
logical10/mini_inception_v2,logical10,3,0.08076935638321771,0.05877614766359329,0.06721086303393047,True
logical10/small_cnn_v2,logical10,3,0.0887787292400996,0.05752447992563248,0.0688893881936868,False
logical10/resnet20_v2,logical10,3,0.15152831983566284,0.09269532064596812,0.08835103114446004,False
semantic224/vgg16_v2,semantic224,3,0.06787283672889073,0.05456955979267756,0.06052043413122495,True
semantic224/mini_inception_v2,semantic224,3,0.07026204156875611,0.05139202997088432,0.06330070396264394,False
semantic224/resnet18_v2,semantic224,3,0.07704434961080552,0.05029985184470812,0.06600903222958247,False
