tolerance_percent,setting,group,qualified,step,old_standardized_mse,new_standardized_mse,tavg_old_mae_change_percent,delta_t_old_mae_change_percent,checkpoint_available,checkpoint
5.0,无SP,G-S,True,11500,0.01885774618549956,0.05720778688788414,3.736655050319304,3.3134234232766513,True,experiments\cnn_replay_update_v2\logical6x20\small_cnn_v2\runs\G-S\best_feasible.pt
6.0,无SP,G-S,True,15500,0.01884753414368383,0.05643099755048752,5.555155485577679,2.967722583689847,True,experiments\cnn_replay_update_v2\logical6x20\small_cnn_v2\runs\G-S\best_unconstrained.pt
7.5,无SP,G-S,True,15500,0.01884753414368383,0.05643099755048752,5.555155485577679,2.967722583689847,True,experiments\cnn_replay_update_v2\logical6x20\small_cnn_v2\runs\G-S\best_unconstrained.pt
5.0,无SP,F-S,False,0,0.018038361892276537,0.2088231110572815,0.0,0.0,False,f0
6.0,无SP,F-S,True,9500,0.01978310549147019,0.043709380477666857,1.9966464771527859,5.423281112791156,True,experiments\cnn_replay_update_v2\logical6x20\small_cnn_v2\runs\F-S\best_unconstrained.pt
7.5,无SP,F-S,True,9500,0.01978310549147019,0.043709380477666857,1.9966464771527859,5.423281112791156,True,experiments\cnn_replay_update_v2\logical6x20\small_cnn_v2\runs\F-S\best_unconstrained.pt
5.0,α=0.95,G-S,True,15500,0.01905910668228946,0.05509422659873962,4.738906438325041,3.551534420973823,True,experiments\cnn_shrink_perturb_v1\alpha_095\runs\G-S\best_feasible.pt
6.0,α=0.95,G-S,True,15500,0.01905910668228946,0.05509422659873962,4.738906438325041,3.551534420973823,True,experiments\cnn_shrink_perturb_v1\alpha_095\runs\G-S\best_feasible.pt
7.5,α=0.95,G-S,True,15500,0.01905910668228946,0.05509422659873962,4.738906438325041,3.551534420973823,True,experiments\cnn_shrink_perturb_v1\alpha_095\runs\G-S\best_feasible.pt
5.0,α=0.95,F-S,False,0,0.018038361892276537,0.2088231110572815,0.0,0.0,False,f0
6.0,α=0.95,F-S,True,12500,0.019874721512683432,0.043077253699302674,3.671069468230437,5.9691320015325955,True,experiments\cnn_shrink_perturb_v1\alpha_095\runs\F-S\best_unconstrained.pt
7.5,α=0.95,F-S,True,12500,0.019874721512683432,0.043077253699302674,3.671069468230437,5.9691320015325955,True,experiments\cnn_shrink_perturb_v1\alpha_095\runs\F-S\best_unconstrained.pt
5.0,α=0.80,G-S,True,13500,0.019166398049320278,0.0547931170463562,-1.1115072472772436,3.6922898029178475,True,experiments\cnn_shrink_perturb_v1\alpha_080\runs\G-S\best_feasible.pt
6.0,α=0.80,G-S,True,13500,0.019166398049320278,0.0547931170463562,-1.1115072472772436,3.6922898029178475,True,experiments\cnn_shrink_perturb_v1\alpha_080\runs\G-S\best_feasible.pt
7.5,α=0.80,G-S,True,13500,0.019166398049320278,0.0547931170463562,-1.1115072472772436,3.6922898029178475,True,experiments\cnn_shrink_perturb_v1\alpha_080\runs\G-S\best_feasible.pt
5.0,α=0.80,F-S,False,0,0.018038361892276537,0.2088231110572815,0.0,0.0,False,f0
6.0,α=0.80,F-S,True,9500,0.019622003886869948,0.040400313809514046,1.5221648079088324,5.14852733579203,True,experiments\cnn_shrink_perturb_v1\alpha_080\runs\F-S\best_unconstrained.pt
7.5,α=0.80,F-S,True,9500,0.019622003886869948,0.040400313809514046,1.5221648079088324,5.14852733579203,True,experiments\cnn_shrink_perturb_v1\alpha_080\runs\F-S\best_unconstrained.pt
5.0,α=0.50,G-S,True,15000,0.018908989745747173,0.05660938031971455,-6.330141033190451,3.463847249308505,True,experiments\cnn_shrink_perturb_v1\alpha_050\runs\G-S\best_feasible.pt
6.0,α=0.50,G-S,True,15000,0.018908989745747173,0.05660938031971455,-6.330141033190451,3.463847249308505,True,experiments\cnn_shrink_perturb_v1\alpha_050\runs\G-S\best_feasible.pt
7.5,α=0.50,G-S,True,15000,0.018908989745747173,0.05660938031971455,-6.330141033190451,3.463847249308505,True,experiments\cnn_shrink_perturb_v1\alpha_050\runs\G-S\best_feasible.pt
5.0,α=0.50,F-S,False,0,0.018038361892276537,0.2088231110572815,0.0,0.0,False,f0
6.0,α=0.50,F-S,False,0,0.018038361892276537,0.2088231110572815,0.0,0.0,False,f0
7.5,α=0.50,F-S,True,13500,0.020053356366449532,0.047511045336723325,-2.320594880070115,6.939956241274947,False,not_saved_for_this_step
