model,checkpoint_step,role,n,target,unit,mae,rmse,absolute_error_p95,f0_mae,mae_change_percent
G-S,7000,old_validation,6483,tavg,N*m,0.02168439305455674,0.04208652725586559,0.08431749343872057,0.019608534689801317,10.586504282928932
G-S,7000,old_validation,6483,delta_t,N*m,0.029766703454038344,0.03935183642127372,0.07871862947940822,0.0288514636362728,3.172247444025267
G-S,7000,dev_common,200,tavg,N*m,0.08062846398867933,0.1727595372155155,0.5005882716482828,0.1599851499378006,-49.60253247252871
G-S,7000,dev_common,200,delta_t,N*m,0.05638541205112937,0.07246917084092239,0.13772606396045725,0.08348071312377961,-32.456959288878075
F-S,16000,old_validation,6483,tavg,N*m,0.022439062622949407,0.04001833532341575,0.07615389823913568,0.019608534689801317,14.435183341977552
F-S,16000,old_validation,6483,delta_t,N*m,0.03072009699055116,0.04034712123162619,0.08028657138347624,0.0288514636362728,6.476736770917468
F-S,16000,dev_common,200,tavg,N*m,0.08632323711140052,0.16882670161121044,0.48455128434359535,0.1599851499378006,-46.042968897449875
F-S,16000,dev_common,200,delta_t,N*m,0.05155806039477476,0.06606580491590618,0.13864448774636634,0.08348071312377961,-38.23955442459156
