epoch,train_loss,val_loss,learning_rate
1,0.3103882811313847,0.08995468885714306,0.001
2,0.05457026911382632,0.029941525040329365,0.001
3,0.02905711395790461,0.037761288762524506,0.001
4,0.017512857072300037,0.029962390940186483,0.001
5,0.011821675462393029,0.025673851798230035,0.001
6,0.008466243444354456,0.02252312556611023,0.001
7,0.006112561156152666,0.02521701410394792,0.001
8,0.004968902742435327,0.023945097820518384,0.001
9,0.0038471119177748165,0.022855390497631786,0.001
10,0.003422572461535916,0.023301830155334036,0.001
11,0.003075175540783313,0.025670920512166576,0.001
12,0.002593771723813102,0.020055756710721673,0.001
13,0.002112825691967882,0.02198065869546167,0.001
14,0.001873186940015088,0.02262534083267629,0.001
15,0.002267176627644495,0.01879390818629288,0.001
16,0.002876245702004075,0.022484089477338653,0.001
17,0.003565879685657641,0.022066869287063248,0.001
18,0.004163416805239405,0.023260578387169446,0.001
19,0.004157076679414828,0.019479070191726018,0.001
20,0.0032645500429071663,0.023680948206911915,0.001
21,0.0031297605095530353,0.018706071680942595,0.001
22,0.003550539833692874,0.022014420380554914,0.001
23,0.002789309541344124,0.021508818285332784,0.001
24,0.0021542350525333887,0.01910732624431451,0.001
25,0.0015570693236690264,0.01975013474047472,0.001
26,0.0019371747168462348,0.01760059479030146,0.001
27,0.002217677662608932,0.019161489189282996,0.001
28,0.0017868714229892497,0.023752424632005647,0.001
29,0.0019272331399938021,0.018262066261995818,0.001
30,0.0018395181242450397,0.01842430468810641,0.001
31,0.002656507499870398,0.02343993171473632,0.001
32,0.002749362071324245,0.02020117835758101,0.001
33,0.002721597085098313,0.023163208018106538,0.001
34,0.002661840731646161,0.021905163240029616,0.001
35,0.003376228933666631,0.021334273803637224,0.001
36,0.0027549269436178297,0.0186147708085856,0.001
37,0.0024041289588624224,0.019053387613112222,0.0005
38,0.0019312082741848307,0.019746893827897915,0.0005
39,0.0008935370955285052,0.018091275451191956,0.0005
40,0.0005919761714601461,0.017512894896925358,0.0005
41,0.00032825369719708064,0.017131779180920643,0.0005
42,0.00021547228990806666,0.017978230977187985,0.0005
43,0.0001732686151757505,0.018683424075516524,0.0005
44,0.00017252282001128756,0.018646622616527737,0.0005
45,0.0001578723022866599,0.01755125779244635,0.0005
46,0.00010142705133588223,0.01791823233347296,0.0005
47,8.912051236573374e-05,0.017363347185118762,0.0005
48,8.112424995286374e-05,0.01797064782484718,0.0005
49,8.483414837499497e-05,0.018139695604714217,0.0005
50,6.909807401957515e-05,0.017968298903338,0.0005
51,5.7311904991279216e-05,0.017775756680375135,0.0005
52,7.760306476795464e-05,0.017791807246596916,0.00025
53,5.477847798777816e-05,0.018002756641826767,0.00025
54,3.773949222499716e-05,0.018060898084355438,0.00025
55,3.480686269583716e-05,0.017814835002600858,0.00025
56,3.0813021134038134e-05,0.018020557401620823,0.00025
57,3.035684550154795e-05,0.01777079616839759,0.00025
58,2.597388733953073e-05,0.017811854455422087,0.00025
59,2.456093963313996e-05,0.018111506890919473,0.00025
60,2.612824564833978e-05,0.017678966214835355,0.00025
61,2.3203577946009675e-05,0.017876317040715815,0.00025
62,2.1379184732827993e-05,0.017623566612961213,0.00025
63,2.4715210353386205e-05,0.018069430357880063,0.000125
64,2.0849688796507207e-05,0.017830041925544323,0.000125
65,1.9486213698172703e-05,0.017805725615021688,0.000125
66,1.7469080999184565e-05,0.017955379254648074,0.000125
67,1.678550253334541e-05,0.017903777397269213,0.000125
68,1.6038807541295655e-05,0.017776126599902117,0.000125
69,1.841132249544709e-05,0.017875429998705353,0.000125
70,1.5961050091946543e-05,0.018033395552836753,0.000125
71,1.6967756578335763e-05,0.017861961886502693,0.000125
