scenario_id,gene_label,candidate_id,state_index_0based,population_row_0based,pm_cells,historical_tavg_nm,historical_delta_t,raw_tavg_nm,tavg_nm,peak_to_peak_nm,ripple_relative,ripple_percent,near_zero_average_display_flag,trapezoidal_tavg_nm,tavg_error_percent,ripple_error_percent_if_relative,peak_to_peak_error_percent_if_absolute
phase_p30,G1,low_tavg,0,338,45,1.6172313314639906,0.35074853072759105,-1.4753503546725641,2.9507007093451283,0.41936462584206025,0.142123741833218,14.2123741833218,False,2.9711813253514086,82.45384268396663,59.479875357311634,19.56276052593358
phase_p30,G2,median_tavg,31,190,80,3.183132769850227,0.454533168517397,-2.782865506657055,5.56573101331411,0.7263200302790285,0.13049858653635182,13.049858653635182,False,5.486797450807187,74.85073403256092,71.28953493932818,59.794725794852305
phase_p30,G3,high_tavg,193,258,100,3.9186576845750505,0.21329158923616598,-3.414420018078797,6.828840036157594,0.5090923501878581,0.07455034053987167,7.455034053987167,False,6.794205384785669,74.26477599811405,65.04768856247482,138.68374370082094
phase_p30,G4,final_low_tavg,200,491,82,3.155745847366145,0.18494258054991697,-2.7297045199255017,5.459409039851003,0.7353778365822281,0.1346991645458934,13.46991645458934,False,5.463505593551454,72.99900891599198,27.16703522500196,297.62494629177394
phase_p30,G5,final_high_tavg,200,33,99,3.8501566605986075,0.4947766516831762,-3.317898771459561,6.635797542919122,1.348063006570964,0.20315011087242182,20.315011087242183,False,6.709703126287083,72.35136457765368,58.9410474036462,172.4588967537172
phase_p60,G1,low_tavg,0,338,45,1.6172313314639906,0.35074853072759105,-1.70404589902146,3.40809179804292,0.424173709150526,0.12446076405398049,12.446076405398049,False,3.4317839439705438,110.73619659333227,64.51567058718688,20.933852030861573
phase_p60,G2,median_tavg,31,190,80,3.183132769850227,0.454533168517397,-3.2177368332022596,6.435473666404519,0.9038640809747145,0.1404502804033228,14.04502804033228,False,6.34605672274526,102.17421426336927,69.10010310986861,98.8554727310554
phase_p60,G3,high_tavg,193,258,100,3.9186576845750505,0.21329158923616598,-3.9400001502446376,7.880000300489275,0.4358069188374101,0.05530544444399964,5.530544444399964,False,7.846439171574381,101.08927430704637,74.07049914998618,104.3244744896458
phase_p60,G4,final_low_tavg,200,491,82,3.155745847366145,0.18494258054991697,-3.1561207626693157,6.3122415253386315,0.6062565718474966,0.0960445777326261,9.604457773262611,False,6.320425258629155,100.02376080465946,48.06789358781377,227.80799859330654
phase_p60,G5,final_high_tavg,200,33,99,3.8501566605986075,0.4947766516831762,-3.83227186798844,7.66454373597688,0.9713429145344481,0.12673199449238268,12.673199449238268,False,7.7512136554943085,99.0709576681284,74.38601961890193,96.31947288337989
phase_p90,G1,low_tavg,0,338,45,1.6172313314639906,0.35074853072759105,-1.4756838691833272,2.9513677383666543,0.6344482179367819,0.2149675249509565,21.49675249509565,False,2.971792473927569,82.49508780509116,38.7117817699681,80.88407002609122
phase_p90,G2,median_tavg,31,190,80,3.183132769850227,0.454533168517397,-2.779810712700621,5.559621425401242,0.90134481763595,0.16212341608689645,16.212341608689645,False,5.487769919336794,74.65879771213042,64.33188437805035,98.3012198154801
phase_p90,G3,high_tavg,193,258,100,3.9186576845750505,0.21329158923616598,-3.3684702362376844,6.736940472475369,0.576317026899078,0.08554580959319663,8.554580959319663,False,6.727390015266226,71.91959631977755,59.89255371036854,170.20147815625026
phase_p90,G4,final_low_tavg,200,491,82,3.155745847366145,0.18494258054991697,-2.7233197755430045,5.446639551086009,0.4623586789078562,0.08488879694924299,8.488879694924298,False,5.460295638983071,72.59436641996676,54.09991755450225,150.0012044457567
phase_p90,G5,final_high_tavg,200,33,99,3.8501566605986075,0.4947766516831762,-3.276451002786533,6.552902005573066,0.9630624847443441,0.14696732591534034,14.696732591534033,False,6.640713668303359,70.1983213471175,70.29622852748335,94.64590365533834
phase_p150,G1,low_tavg,0,338,45,1.6172313314639906,0.35074853072759105,-0.00013266962810560176,0.00026533925621120353,0.8835673546464107,3329.9533859517296,332995.338595173,True,6.27541714383062e-05,99.98359299309573,949284.8424807626,151.90906796203618
phase_p150,G2,median_tavg,31,190,80,3.183132769850227,0.454533168517397,-0.001049360489918166,0.002098720979836332,0.6933014716914606,330.3447568077999,33034.47568077999,True,0.0025852425173238307,99.9340674382258,72577.81092528919,52.53044655748261
phase_p150,G3,high_tavg,193,258,100,3.9186576845750505,0.21329158923616598,-0.001004310787603648,0.002008621575207296,0.6291783178130652,313.23885274314654,31323.885274314653,True,0.002507557685385638,99.94874210158459,146759.4490129259,194.9850578104188
phase_p150,G4,final_low_tavg,200,491,82,3.155745847366145,0.18494258054991697,0.0004851752442021384,-0.0009703504884042768,0.5756054002966006,593.1932916766733,59319.32916766733,True,-0.00014984118466632908,100.03074868938555,320644.57375518634,211.23465379636662
phase_p150,G5,final_high_tavg,200,33,99,3.8501566605986075,0.4947766516831762,-0.0005999350418741785,0.001199870083748357,1.1614904040974108,968.0134706492146,96801.34706492146,True,0.001894796967474662,99.96883581138327,195546.55433035054,134.75044752943518
phase_p180,G1,low_tavg,0,338,45,1.6172313314639906,0.35074853072759105,0.8519563035089912,-1.7039126070179824,0.8191347111914122,0.48073751424668426,48.07375142466842,False,-1.716032468911178,205.3598563092099,37.06044990393679,133.5390285148745
phase_p180,G2,median_tavg,31,190,80,3.183132769850227,0.454533168517397,1.588846144496518,-3.177692288993036,0.7593168425380821,0.23895228784996625,23.895228784996625,False,-3.14471669403234,199.8290840737552,47.42907571973584,67.05422071063218
phase_p180,G3,high_tavg,193,258,100,3.9186576845750505,0.21329158923616598,1.901219055482388,-3.802438110964776,0.6193195725901819,0.1628743333926465,16.287433339264652,False,-3.8216535807904104,197.03419938751608,23.63771399710245,190.36286653780968
phase_p180,G4,final_low_tavg,200,491,82,3.155745847366145,0.18494258054991697,1.5573759712028057,-3.1147519424056114,0.47809736896033783,0.15349452470076627,15.349452470076628,False,-3.1295255537649274,198.70097571403767,17.00422680144376,158.51124578165863
phase_p180,G5,final_high_tavg,200,33,99,3.8501566605986075,0.4947766516831762,1.850889976127953,-3.701779952255906,1.0126455131450163,0.2735563772578915,27.35563772578915,False,-3.7709193218493358,196.146216338126,44.71113858600996,104.66719876536347
phase_p210,G1,low_tavg,0,338,45,1.6172313314639906,0.35074853072759105,1.4763981768545162,-2.9527963537090325,0.6392681429940801,0.21649584543515504,21.649584543515505,False,-2.973716715660981,282.58342491027724,38.27605065485032,82.25825256287898
phase_p210,G2,median_tavg,31,190,80,3.183132769850227,0.454533168517397,2.7786307106729224,-5.557261421345845,0.9095077054926657,0.16366113388137196,16.366113388137197,False,-5.484542537036333,274.58465678788906,63.99357731907569,100.09710368537269
phase_p210,G3,high_tavg,193,258,100,3.9186576845750505,0.21329158923616598,3.3670357153356374,-6.734071430671275,0.5852786908822463,0.08691305058281862,8.691305058281863,False,-6.723735256028969,271.84638140704385,59.2515340646721,174.40308029877332
phase_p210,G4,final_low_tavg,200,491,82,3.155745847366145,0.18494258054991697,2.724818305129327,-5.449636610258654,0.4560997942374865,0.08369361608054794,8.369361608054794,False,-5.461834022457865,272.68933792013195,54.74616184564452,146.61697316069555
phase_p210,G5,final_high_tavg,200,33,99,3.8501566605986075,0.4947766516831762,3.2754434536386756,-6.550886907277351,0.9469609725130095,0.14455462075845557,14.455462075845556,False,-6.637227008693037,270.1459832613368,70.78386373595106,91.39160453338927
phase_p240,G1,low_tavg,0,338,45,1.6172313314639906,0.35074853072759105,1.705216030481542,-3.410432060963084,0.4329131847299337,0.12693792956182853,12.693792956182854,False,-3.434629061439785,310.8809045812764,63.80941944403612,23.425516232926384
phase_p240,G2,median_tavg,31,190,80,3.183132769850227,0.454533168517397,3.2169890364766673,-6.433978072953335,0.9095852582493258,0.1413721414552174,14.13721414552174,False,-6.343787283371442,302.12722930988724,68.89728819651444,100.11416575301301
phase_p240,G3,high_tavg,193,258,100,3.9186576845750505,0.21329158923616598,3.9388927762314268,-7.8777855524628535,0.4421432089324835,0.05612531668804504,5.612531668804504,False,-7.843836155895145,301.0327562795815,73.68610881983697,107.29519176816802
phase_p240,G4,final_low_tavg,200,491,82,3.155745847366145,0.18494258054991697,3.157677690164404,-6.315355380328808,0.60010340944266,0.09502290422354914,9.502290422354914,False,-6.322500364253433,300.122433357545,48.620320998547996,224.48093222138695
phase_p240,G5,final_high_tavg,200,33,99,3.8501566605986075,0.4947766516831762,3.831389944946976,-7.662779889893952,0.9723802525031502,0.1268965396990683,12.68965396990683,False,-7.74812770730409,299.0251453483083,74.35276315740039,96.52913070881955
phase_p270,G1,low_tavg,0,338,45,1.6172313314639906,0.35074853072759105,1.4764600420215326,-2.952920084043065,0.4226807839983979,0.14313993334342928,14.313993334342928,False,-2.973802834204632,282.59107566076824,59.19015453992052,20.508212285762383
phase_p270,G2,median_tavg,31,190,80,3.183132769850227,0.454533168517397,2.781923568636069,-5.563847137272138,0.7321560702194159,0.13159169404829837,13.159169404829838,False,-5.48414422948713,274.79155095167226,71.04904478642865,61.078689286322785
phase_p270,G3,high_tavg,193,258,100,3.9186576845750505,0.21329158923616598,3.413227654456085,-6.82645530891217,0.5155254992743998,0.07551876866480965,7.551876866480965,False,-6.791712879581783,274.20392028073894,64.59364903451869,141.69987251751732
phase_p270,G4,final_low_tavg,200,491,82,3.155745847366145,0.18494258054991697,2.7309013781253504,-5.461802756250701,0.7313234510203976,0.13389781426717443,13.389781426717443,False,-5.465254818613031,273.0748615516437,27.600332022492402,295.4327061111866
phase_p270,G5,final_high_tavg,200,33,99,3.8501566605986075,0.4947766516831762,3.316997243622606,-6.633994487245212,1.3508582546562602,0.20362667729879416,20.362667729879416,False,-6.706640973727608,272.30453386833835,58.84472789771336,173.02384824764624
phase_p300,G1,low_tavg,0,338,45,1.6172313314639906,0.35074853072759105,0.8523004692215888,-1.7046009384431775,0.6383267710156546,0.3744728496973857,37.44728496973857,False,-1.7167472645437376,205.40241864471525,6.763911147562341,81.98986313399878
phase_p300,G2,median_tavg,31,190,80,3.183132769850227,0.454533168517397,1.6066796671434043,-3.2133593342868085,0.46636392326575615,0.1451328266619966,14.51328266619966,False,-3.1656928452505637,200.94958541229818,68.0699150877387,2.6028363973852295
phase_p300,G3,high_tavg,193,258,100,3.9186576845750505,0.21329158923616598,1.969063260143022,-3.938126520286044,0.5345101892404021,0.13572702311290347,13.572702311290346,False,-3.9165578842712354,200.49682409840563,36.36550620726988,150.60068761012818
phase_p300,G4,final_low_tavg,200,491,82,3.155745847366145,0.18494258054991697,1.576173734959499,-3.152347469918998,0.846875664710784,0.2686492123067084,26.86492123067084,False,-3.153218527637526,199.89231143407883,45.26087583935198,357.91275443039893
phase_p300,G5,final_high_tavg,200,33,99,3.8501566605986075,0.4947766516831762,1.9109642483222602,-3.8219284966445204,1.7168125880190517,0.4492006037073522,44.92006037073522,False,-3.863413210289615,199.26683076969397,9.21143870083183,246.9873895986487
phase_p330,G1,low_tavg,0,338,45,1.6172313314639906,0.35074853072759105,0.00027659626232809717,-0.0005531925246561943,0.716595245630249,1295.3812889565138,129538.12889565137,True,-0.0006432901756871019,100.03420614688163,369219.0920199669,104.30456091825883
phase_p330,G2,median_tavg,31,190,80,3.183132769850227,0.454533168517397,-0.000810796406051288,0.001621592812102576,0.22739746063555744,140.23092538299505,14023.092538299505,True,0.0020447744422207675,99.94905670201815,30751.637481243088,49.971206418821794
phase_p330,G3,high_tavg,193,258,100,3.9186576845750505,0.21329158923616598,-0.0008789183312144631,0.0017578366624289262,0.5704380411834213,324.5114027802828,32451.14027802828,True,0.0016976255170675877,99.95514186734533,152044.4909958307,167.4451642590589
phase_p330,G4,final_low_tavg,200,491,82,3.155745847366145,0.18494258054991697,0.00018189337287934454,-0.00036378674575868907,0.9088706217542518,2498.361010538668,249836.1010538668,True,-0.00015370957866690885,100.01152775804371,1350784.6924866755,391.433946174955
phase_p330,G5,final_high_tavg,200,33,99,3.8501566605986075,0.4947766516831762,-0.0004974164112455419,0.0009948328224910839,1.8977061995249707,1907.5629157199212,190756.29157199213,True,0.0015865417521967462,99.97416123783555,385440.2047025866,283.54805002806444
