scenario_id,candidate_id,inner_angle_deg,outer_angle_deg,current_angle_deg,ia_a,ib_a,ic_a,raw_gap_torque_nm,comparison_torque_nm
phase_p30,low_tavg,0,0,30.0,3.0310889132455356,2.143131898507868e-16,-3.0310889132455356,-1.424697078870783,2.849394157741566
phase_p30,low_tavg,3,0,42.0,2.60100688917088,0.7276909178621581,-3.3286978070330373,-1.581904494504891,3.163808989009782
phase_p30,low_tavg,6,0,54.0,2.057248383023656,1.4235782507653008,-3.4808266337889564,-1.558008186679248,3.116016373358496
phase_p30,low_tavg,9,0,66.0,1.4235782507653008,2.057248383023656,-3.4808266337889564,-1.491669635953654,2.983339271907308
phase_p30,low_tavg,12,0,78.0,0.7276909178621581,2.60100688917088,-3.3286978070330377,-1.372222181583861,2.744444363167722
phase_p30,low_tavg,15,0,90.0,2.143131898507868e-16,3.0310889132455356,-3.031088913245535,-1.423600550442949,2.847201100885898
phase_p30,median_tavg,0,0,30.0,3.0310889132455356,2.143131898507868e-16,-3.0310889132455356,-2.980339068300799,5.960678136601598
phase_p30,median_tavg,3,0,42.0,2.60100688917088,0.7276909178621581,-3.3286978070330373,-2.617179053161285,5.23435810632257
phase_p30,median_tavg,6,0,54.0,2.057248383023656,1.4235782507653008,-3.4808266337889564,-2.662248930178762,5.324497860357524
phase_p30,median_tavg,9,0,66.0,1.4235782507653008,2.057248383023656,-3.4808266337889564,-2.686679413990509,5.373358827981018
phase_p30,median_tavg,12,0,78.0,0.7276909178621581,2.60100688917088,-3.3286978070330377,-2.770686816763052,5.541373633526104
phase_p30,median_tavg,15,0,90.0,2.143131898507868e-16,3.0310889132455356,-3.031088913245535,-2.980059757547925,5.96011951509585
phase_p30,high_tavg,0,0,30.0,3.0310889132455356,2.143131898507868e-16,-3.0310889132455356,-3.499860100882721,6.999720201765442
phase_p30,high_tavg,3,0,42.0,2.60100688917088,0.7276909178621581,-3.3286978070330373,-3.388334933484257,6.776669866968514
phase_p30,high_tavg,6,0,54.0,2.057248383023656,1.4235782507653008,-3.4808266337889564,-3.478416037876592,6.956832075753184
phase_p30,high_tavg,9,0,66.0,1.4235782507653008,2.057248383023656,-3.4808266337889564,-3.247607017040571,6.495214034081142
phase_p30,high_tavg,12,0,78.0,0.7276909178621581,2.60100688917088,-3.3286978070330377,-3.370148827054141,6.740297654108282
phase_p30,high_tavg,15,0,90.0,2.143131898507868e-16,3.0310889132455356,-3.031088913245535,-3.5021531921345,7.004306384269
phase_p30,final_low_tavg,0,0,30.0,3.0310889132455356,2.143131898507868e-16,-3.0310889132455356,-2.719371734286394,5.438743468572788
phase_p30,final_low_tavg,3,0,42.0,2.60100688917088,0.7276909178621581,-3.3286978070330373,-2.963864766560837,5.927729533121674
phase_p30,final_low_tavg,6,0,54.0,2.057248383023656,1.4235782507653008,-3.4808266337889564,-2.629453071059187,5.258906142118374
phase_p30,final_low_tavg,9,0,66.0,1.4235782507653008,2.057248383023656,-3.4808266337889564,-2.749807162314509,5.499614324629018
phase_p30,final_low_tavg,12,0,78.0,0.7276909178621581,2.60100688917088,-3.3286978070330377,-2.596175848269723,5.192351696539446
phase_p30,final_low_tavg,15,0,90.0,2.143131898507868e-16,3.0310889132455356,-3.031088913245535,-2.719554537062359,5.439109074124718
phase_p30,final_high_tavg,0,0,30.0,3.0310889132455356,2.143131898507868e-16,-3.0310889132455356,-3.131833745046893,6.263667490093786
phase_p30,final_high_tavg,3,0,42.0,2.60100688917088,0.7276909178621581,-3.3286978070330373,-3.650971532056732,7.301943064113464
