candidate_id,angle_mechanical_deg,ia_a,ib_a,ic_a,raw_torque_nm,historical_scale_torque_nm
low_tavg,0,3.5,-1.75,-1.75,-0.8223799305304941,1.6447598610609881
low_tavg,3,3.5,-1.75,-1.75,-0.6985663064610842,1.3971326129221684
low_tavg,6,3.5,-1.75,-1.75,-0.1549902349784057,0.3099804699568114
low_tavg,9,3.5,-1.75,-1.75,0.1558497127107076,-0.3116994254214152
low_tavg,12,3.5,-1.75,-1.75,0.7000770013241353,-1.4001540026482706
low_tavg,15,3.5,-1.75,-1.75,0.8229146500740748,-1.6458293001481497
median_tavg,0,3.5,-1.75,-1.75,-1.724849996763273,3.449699993526546
median_tavg,3,3.5,-1.75,-1.75,-0.934822760574898,1.869645521149796
median_tavg,6,3.5,-1.75,-1.75,-0.2664250410665156,0.5328500821330312
median_tavg,9,3.5,-1.75,-1.75,0.2644263612217086,-0.5288527224434172
median_tavg,12,3.5,-1.75,-1.75,0.9320364300948494,-1.8640728601896988
median_tavg,15,3.5,-1.75,-1.75,1.72536820841116,-3.45073641682232
high_tavg,0,3.5,-1.75,-1.75,-2.023162703903875,4.04632540780775
high_tavg,3,3.5,-1.75,-1.75,-1.296875618254403,2.593751236508806
high_tavg,6,3.5,-1.75,-1.75,-0.5478458470484326,1.0956916940968653
high_tavg,9,3.5,-1.75,-1.75,0.5453203928317722,-1.0906407856635445
high_tavg,12,3.5,-1.75,-1.75,1.296629648362194,-2.593259296724388
high_tavg,15,3.5,-1.75,-1.75,2.02145159440372,-4.04290318880744
final_low_tavg,0,3.5,-1.75,-1.75,-1.571436870475857,3.142873740951714
final_low_tavg,3,3.5,-1.75,-1.75,-1.214447694319637,2.428895388639274
final_low_tavg,6,3.5,-1.75,-1.75,-0.2246297884215503,0.4492595768431006
final_low_tavg,9,3.5,-1.75,-1.75,0.2228531585272991,-0.4457063170545982
final_low_tavg,12,3.5,-1.75,-1.75,1.216133902064557,-2.432267804129114
final_low_tavg,15,3.5,-1.75,-1.75,1.572949278026434,-3.145898556052868
final_high_tavg,0,3.5,-1.75,-1.75,-1.803789205190921,3.607578410381842
final_high_tavg,3,3.5,-1.75,-1.75,-1.635677182965728,3.271354365931456
final_high_tavg,6,3.5,-1.75,-1.75,-0.478127480970448,0.956254961940896
final_high_tavg,9,3.5,-1.75,-1.75,0.4744035240134243,-0.9488070480268486
final_high_tavg,12,3.5,-1.75,-1.75,1.634877871082373,-3.269755742164746
final_high_tavg,15,3.5,-1.75,-1.75,1.805683836566415,-3.61136767313283
