sample_id,mat_path,error
SAMPLE_0015,CLONALG/seed_bits_fine.mat,"ValueError: Missing variables: best_bits, bestOverall, ctx"
SAMPLE_0213,CLONALG/seed_bits_fine.mat,"ValueError: Missing variables: best_bits, bestOverall, ctx"
