parent_id,archive_order,source_proposal_id,parent_parent_id,lineage_id,chromosome_hash,minimum_archive_hamming,topology_cluster
P0047,47,Q0002864,P0039,L-SEED,f68a3d96ac8a508e65a6c3cc7f8eac698c1cba77dcd03a3c54b2e091f30512a1,43,12
P0048,48,Q0002946,P0028,L-SEED,a2b40cae1491bba62495099508381916e5b06805b690d36f4c890331ac6aed95,45,5
P0049,49,Q0002983,P0008,L-SEED,971613aff8090ab7cb3a04c553da24b8ebd3f7fbdb8a0b285e0257b8c704d121,40,2
P0050,50,Q0003028,P0016,L-SEED,94f5c50910251711ed849552b02e4bbfe4e5fbe24139ec391b420565be904832,32,10
P0051,51,Q0003147,P0048,L-SEED,3ad18a06a00ccff162b97f963b92cae9accdc15b0292f23446422c094352629c,39,5
P0052,52,Q0003182,P0040,L-SEED,e292a80153ffef51e6515eaacb27b3716c1fdc9264a03b9cf97f740163fd9513,42,6
P0053,53,Q0003259,P0042,L-SEED,a7f84fd946fd87800cad272e160e631f96edbdb082f5b80c4af314f6ed72f015,27,2
P0054,54,Q0003274,P0052,L-SEED,488ea82e818d8a75b1f5e8cee4249e7d43969a53560bf5a376026180238bc7b2,25,6
P0055,55,Q0003366,P0023,L-SEED,003241021410a984e37578d263484fefd770835e3ab2b7fdd61ecc533c91fa96,33,7
P0056,56,Q0003428,P0033,L-SEED,18df0f39db670dcbaf3431982fafbd95bd95dd98377efbd3e32202552e395b1a,27,4
P0057,57,Q0003461,P0009,L-SEED,42c1025f9553048f091da29ec9c784aa779a5070ebb797ca27c338fa7258cad5,38,8
P0058,58,Q0003571,P0005,L-SEED,3cfe3667b10d69d7a8c369132c125103643a47f4e82b1074a4edde2462d180b7,43,10
P0059,59,Q0003595,P0042,L-SEED,f928ec31bbc5555040a53a78a0d9960c3077348f034ad0fb52de92252a0b5eb4,39,2
P0060,60,Q0003649,P0056,L-SEED,c9c22b948cefe9c31413264ee612e95b3bfeab7623ff20fd5dec91c5754ebcb1,32,9
