epoch,train_loss,val_loss,learning_rate
1,3.940095379830487,0.6953353210923753,0.001
2,0.7215940056881305,0.48826172012061886,0.001
3,0.41858938707635734,0.3217146818476599,0.001
4,0.22381062144128813,0.26556012660696887,0.001
5,0.10181683347489799,0.17472226644195796,0.001
6,0.05515056210206157,0.228241633893787,0.001
7,0.044189911770253595,0.1628449368448073,0.001
8,0.040158857862514656,0.18043970082693053,0.001
9,0.037990217806933825,0.17492799849613852,0.001
10,0.0326856645520266,0.18251494480215985,0.001
11,0.026646123365799676,0.17751958671111415,0.001
12,0.025352307776725373,0.17013826937491192,0.001
13,0.026750663635009816,0.15663093760393668,0.001
14,0.04018607817058655,0.135340115154423,0.001
15,0.03190786597800957,0.15500438796437305,0.001
16,0.03091973718572176,0.1498357433339824,0.001
17,0.027327173968538693,0.14767831902285128,0.001
18,0.027387171583977927,0.1940473300103404,0.001
19,0.02242479976667418,0.10559899025205252,0.001
20,0.018502673338824462,0.1538136264552241,0.001
21,0.01699738911778106,0.15593567296214725,0.001
22,0.016228608736432962,0.12868863308199363,0.001
23,0.014967013308135022,0.14954388674330596,0.001
24,0.018162988505979086,0.16075402807786268,0.001
25,0.02443502472116615,0.12166657036053385,0.001
26,0.03799015524272943,0.14104200633251723,0.001
27,0.05072289076871064,0.1710150829979763,0.001
28,0.10375807747152019,0.19105332283582088,0.001
29,0.04639624133663904,0.15130886975405872,0.001
30,0.03181611634643236,0.1711331883058456,0.0005
31,0.020183879921122087,0.12976442889314918,0.0005
32,0.01165873506069521,0.13888346436231033,0.0005
33,0.009463475375844426,0.13238626984870377,0.0005
34,0.008840710048100754,0.13515796667135857,0.0005
35,0.007926633265892536,0.13063894665759543,0.0005
36,0.00828628692594552,0.146530505179783,0.0005
37,0.008613314928902506,0.12927211662709426,0.0005
38,0.008174406132520528,0.1314848755724764,0.0005
39,0.007509142151977846,0.12843666841154514,0.0005
40,0.007644706381440568,0.13078510898034929,0.0005
41,0.01151050787233449,0.11530336305715036,0.00025
42,0.00727897917900323,0.12014759760260006,0.00025
43,0.005731523838811812,0.11856020317561385,0.00025
44,0.006003605511929684,0.11965247081673663,0.00025
45,0.005832980319146712,0.1229633093600112,0.00025
46,0.005416530894277995,0.1278126646499127,0.00025
47,0.0056112543489923224,0.12370159667759126,0.00025
48,0.005402815506064743,0.12492227662300719,0.00025
49,0.0053557359562324,0.12190786378395155,0.00025
