step,learning_rate,seconds,mse,old_mse,new_mse,attempts,grad_norm,amp_scale
1,0.0001,0.008566300002712524,0.5847722291946411,0.2785651854106358,2.7282211780548096,1,12.640849113464355,128.0
2,0.0001,0.007460799999535084,0.8569401502609253,0.38162459645952496,4.184149265289307,1,17.415891647338867,128.0
3,0.0001,0.006041900000127498,0.9049910306930542,0.322338376726423,4.983559608459473,1,18.63022804260254,128.0
4,0.0001,0.0066336999989289325,1.2714366912841797,0.30182102748325895,8.058746337890625,1,27.21345329284668,128.0
5,0.0001,0.0062763000023551285,0.5881156921386719,0.20235671315874373,3.28842830657959,1,14.8757905960083,128.0
6,0.0001,0.005681300001015188,1.3799748420715332,0.3344897542681013,8.698369979858398,1,22.64224624633789,128.0
7,0.0001,0.005609300002106465,0.7448423504829407,0.3270815099988665,3.669167995452881,1,17.079837799072266,128.0
8,0.0001,0.005731100001867162,1.0363006591796875,0.22456376893179758,6.71845817565918,1,25.807472229003906,128.0
9,0.0001,0.005592199999227887,0.6398966908454895,0.20509849275861466,3.6834840774536133,1,13.747186660766602,128.0
10,0.0001,0.005421499998192303,0.47189098596572876,0.1964496033532279,2.3999807834625244,1,11.74687671661377,128.0
11,0.0001,0.005409899997175671,1.1137866973876953,0.3646176883152553,6.357969284057617,1,26.637357711791992,128.0
12,0.0001,0.005614000001514796,0.4450247585773468,0.18203033719744002,2.2859857082366943,1,15.204793930053711,128.0
13,0.0001,0.005508899997948902,0.790507972240448,0.23189708164760045,4.700784206390381,1,18.072067260742188,128.0
14,0.0001,0.005541800001083175,0.5644205808639526,0.2175766740526472,2.992327928543091,1,12.442852973937988,128.0
15,0.0001,0.005493399999977555,0.5936592817306519,0.20931458473205566,3.2840723991394043,1,14.03428840637207,128.0
16,0.0001,0.006230599999980768,1.225595474243164,0.24150739397321427,8.114212036132812,1,23.739395141601562,128.0
17,0.0001,0.006531800001539523,0.3886985182762146,0.19948719229016984,1.7131776809692383,1,14.487629890441895,128.0
18,0.0001,0.005627900001854869,0.5534378290176392,0.1470186710357666,3.398371696472168,1,16.007946014404297,128.0
19,0.0001,0.005645599998388207,0.47099584341049194,0.13807652677808488,2.8014307022094727,1,14.75760555267334,128.0
20,0.0001,0.005445400001917733,0.4725760221481323,0.1555330753326416,2.6918764114379883,1,20.782638549804688,128.0
21,0.0001,0.005750100001023384,0.4400062561035156,0.1456234966005598,2.500685453414917,1,15.09296989440918,128.0
22,0.0001,0.006344800000078976,0.6730471849441528,0.16927380221230642,4.199460983276367,1,16.914779663085938,128.0
23,0.0001,0.005851800000527874,0.8209394216537476,0.17529097625187465,5.340478897094727,1,18.905912399291992,128.0
24,0.0001,0.006782699998439057,0.5975252389907837,0.11680189200810023,3.962588310241699,1,21.57340431213379,128.0
25,0.0001,0.007114100000762846,0.34354162216186523,0.1166580319404602,1.9317271709442139,1,12.868474960327148,128.0
26,0.0001,0.006441099998482969,0.3539065420627594,0.10420894622802734,2.101789712905884,1,11.791301727294922,128.0
27,0.0001,0.006097599998611258,0.5223959684371948,0.15647576536451066,3.0838375091552734,1,15.949581146240234,128.0
28,0.0001,0.0064868999979807995,0.19424106180667877,0.09616126332964216,0.8807996511459351,1,9.246347427368164,128.0
29,0.0001,0.006079100003262283,0.5720142722129822,0.17884397506713867,3.3242063522338867,1,15.862518310546875,128.0
30,0.0001,0.005876499999430962,0.3495538532733917,0.10491696425846644,2.062012195587158,1,11.35472297668457,128.0
31,0.0001,0.005994499999360414,0.34748202562332153,0.11535236665180751,1.9723894596099854,1,11.350898742675781,128.0
32,0.0001,0.006352199998218566,0.8266870379447937,0.07870930433273315,6.062530994415283,1,20.433530807495117,128.0
33,0.0001,0.006103600000642473,0.4283754229545593,0.13674130610057286,2.4698143005371094,1,11.511209487915039,128.0
34,0.0001,0.0059856000007130206,0.22179609537124634,0.09662163257598877,1.0980173349380493,1,12.759859085083008,128.0
35,0.0001,0.006674600001133513,0.5770195126533508,0.10720321110316686,3.8657336235046387,1,18.306962966918945,128.0
36,0.0001,0.006435000002966262,0.23072151839733124,0.21455744334629603,0.34387001395225525,1,6.773617267608643,128.0
37,0.0001,0.005882099998416379,0.30524131655693054,0.0834946972983224,1.857467532157898,1,11.949130058288574,128.0
38,0.0001,0.005526799999643117,0.23152418434619904,0.09763551609856742,1.1687449216842651,1,6.077675819396973,128.0
39,0.0001,0.005388499997934559,0.6040163040161133,0.08351561852863856,4.247520923614502,1,17.631694793701172,128.0
40,0.0001,0.00561310000193771,0.11001551896333694,0.06213111111095974,0.4452064037322998,1,4.887831211090088,128.0
41,0.0001,0.005440199998702155,0.15675796568393707,0.06068959406444004,0.8292365074157715,1,5.169459819793701,128.0
42,0.0001,0.006209900002431823,0.40220877528190613,0.09770053625106812,2.533766508102417,1,10.8582124710083,128.0
43,0.0001,0.006541399998241104,0.48001399636268616,0.10354161262512207,3.1153204441070557,1,8.271717071533203,128.0
44,0.0001,0.0054979999986244366,0.3113040328025818,0.11062657833099365,1.7160460948944092,1,6.834287166595459,128.0
45,0.0001,0.0055661000005784445,0.1697261929512024,0.06846981814929418,0.8785208463668823,1,3.65706467628479,128.0
46,0.0001,0.005284400001983158,0.2517755329608917,0.057493013995034356,1.611753225326538,1,5.251848220825195,128.0
47,0.0001,0.005410100002336549,0.2056960165500641,0.08808107035500663,1.0290006399154663,1,5.829785346984863,128.0
48,0.0001,0.005534899999474874,0.17633917927742004,0.06810296433312553,0.9339927434921265,1,5.6393723487854,128.0
49,0.0001,0.0053642000020772684,0.30892354249954224,0.1508967706135341,1.4151111841201782,1,8.588303565979004,128.0
50,0.0001,0.005828900000778958,0.21755604445934296,0.07401435715811593,1.2223478555679321,1,8.579017639160156,128.0
51,0.0001,0.005883400001039263,0.22163724899291992,0.09042068038667951,1.1401532888412476,1,6.903176784515381,128.0
52,0.0001,0.006966099997953279,0.1591588854789734,0.06872467909540449,0.7921983599662781,1,5.821574687957764,128.0
53,0.0001,0.00649649999832036,0.560532808303833,0.15809455939701625,3.3775999546051025,1,13.860661506652832,128.0
54,0.0001,0.006585999999515479,0.18016842007637024,0.05618886436734881,1.048025369644165,1,6.4662580490112305,128.0
55,0.0001,0.007989500001713168,0.2064555287361145,0.07680421216147286,1.1140148639678955,1,7.343326568603516,128.0
56,0.0001,0.006822600000305101,0.14040380716323853,0.0841073989868164,0.5344786047935486,1,6.666476726531982,128.0
57,0.0001,0.006202099997608457,0.5561940670013428,0.07024702004023961,3.957822799682617,1,17.332378387451172,128.0
58,0.0001,0.006430699999327771,0.21114426851272583,0.12752349036080496,0.7964897155761719,1,4.609184741973877,128.0
59,0.0001,0.006006299998261966,0.47705304622650146,0.14992073604038783,2.7669789791107178,1,14.453181266784668,128.0
60,0.0001,0.005552300000999821,0.11280825734138489,0.0796107394354684,0.3451908230781555,1,4.0473432540893555,128.0
61,0.0001,0.005637700000079349,0.332941472530365,0.11597092662538801,1.85173499584198,1,11.805644989013672,128.0
62,0.0001,0.005473400000482798,0.20403088629245758,0.11418866259711129,0.832926332950592,1,5.680276870727539,128.0
