relative_path,absolute_path,reader,version,read_status,variable_count,candidate_count,error
CLONALG/seed_bits_1230_10gen.mat,C:\Users\26096\Desktop\em\FP\CLONALG\seed_bits_1230_10gen.mat,scipy.io,MATLAB v5-v7.2,ok,16,0,
CLONALG/seed_bits_1230_20gen.mat,C:\Users\26096\Desktop\em\FP\CLONALG\seed_bits_1230_20gen.mat,scipy.io,MATLAB v5-v7.2,ok,16,0,
CLONALG/seed_bits_1230_30gen.mat,C:\Users\26096\Desktop\em\FP\CLONALG\seed_bits_1230_30gen.mat,scipy.io,MATLAB v5-v7.2,ok,16,0,
CLONALG/seed_bits_filter.mat,C:\Users\26096\Desktop\em\FP\CLONALG\seed_bits_filter.mat,scipy.io,MATLAB v5-v7.2,ok,16,0,
CLONALG/seed_bits_fine.mat,C:\Users\26096\Desktop\em\FP\CLONALG\seed_bits_fine.mat,scipy.io,MATLAB v5-v7.2,ok,16,0,
CLONALG/seed_bits_fine_groupB_5gen.mat,C:\Users\26096\Desktop\em\FP\CLONALG\seed_bits_fine_groupB_5gen.mat,scipy.io,MATLAB v5-v7.2,ok,16,0,
IA_test/best_bits_coarse.mat,C:\Users\26096\Desktop\em\FP\IA_test\best_bits_coarse.mat,scipy.io,MATLAB v5-v7.2,ok,84,5,
IA_test/best_result_20251224_164638.mat,C:\Users\26096\Desktop\em\FP\IA_test\best_result_20251224_164638.mat,scipy.io,MATLAB v5-v7.2,ok,87,7,
IA_test/best_result_20251225_164109.mat,C:\Users\26096\Desktop\em\FP\IA_test\best_result_20251225_164109.mat,scipy.io,MATLAB v5-v7.2,ok,87,7,
IA_test/best_result_20251225_205212.mat,C:\Users\26096\Desktop\em\FP\IA_test\best_result_20251225_205212.mat,scipy.io,MATLAB v5-v7.2,ok,87,7,
IA_test/best_result_20251228_164352.mat,C:\Users\26096\Desktop\em\FP\IA_test\best_result_20251228_164352.mat,scipy.io,MATLAB v5-v7.2,ok,87,7,
IA_test/best_result_20251229_005752.mat,C:\Users\26096\Desktop\em\FP\IA_test\best_result_20251229_005752.mat,scipy.io,MATLAB v5-v7.2,ok,87,7,
IA_test/best_result_20251229_211603.mat,C:\Users\26096\Desktop\em\FP\IA_test\best_result_20251229_211603.mat,scipy.io,MATLAB v5-v7.2,ok,87,7,
IA_test/best_result_20260103_045247.mat,C:\Users\26096\Desktop\em\FP\IA_test\best_result_20260103_045247.mat,scipy.io,MATLAB v5-v7.2,ok,87,7,
IA_test/best_result_20260105_193139.mat,C:\Users\26096\Desktop\em\FP\IA_test\best_result_20260105_193139.mat,scipy.io,MATLAB v5-v7.2,ok,87,7,
