duplicate_group,sha256,size_bytes,relative_path
DUP_0197,bcc689b0154ce5a2b01b9d6b4167f43e9948b7b1b466a9dcfd79d7a4b33098e3,483241,参考资料/10_shiyang-watanabe-2020-topology-optimization-of-rotor-design-in-switched-reluctance-motor-using-immune-algorithm.pdf
DUP_0197,bcc689b0154ce5a2b01b9d6b4167f43e9948b7b1b466a9dcfd79d7a4b33098e3,483241,资料/参考资料/10_shiyang-watanabe-2020-topology-optimization-of-rotor-design-in-switched-reluctance-motor-using-immune-algorithm.pdf
DUP_0198,b27fce4527c2f19a6f81d573b0cf6431613f2ea030c2a2da454ebfd8e720ae7e,385731,参考资料/1_Stator_teeth_shape_design_for_torque_ripple_reduction_in_surface-mounted_permanent_magnet_synchronous_motor.pdf
DUP_0198,b27fce4527c2f19a6f81d573b0cf6431613f2ea030c2a2da454ebfd8e720ae7e,385731,资料/参考资料/1_Stator_teeth_shape_design_for_torque_ripple_reduction_in_surface-mounted_permanent_magnet_synchronous_motor.pdf
DUP_0199,fcf94f507823047eae44679388134a1eebab1aeedce96bce2f22ad22d6a2f167,369664,参考资料/25.11.04.doc
DUP_0199,fcf94f507823047eae44679388134a1eebab1aeedce96bce2f22ad22d6a2f167,369664,资料/参考资料/25.11.04.doc
DUP_0200,5bf9514fb76e45fbb804804d7576d23c45f575448b3b2b3b8c3a90e5500750dc,2713464,参考资料/2_IET Electric Power Appl - 2018 - Wang - Cogging torque reduction by eccentric structure of teeth in external rotor.pdf
DUP_0200,5bf9514fb76e45fbb804804d7576d23c45f575448b3b2b3b8c3a90e5500750dc,2713464,资料/参考资料/2_IET Electric Power Appl - 2018 - Wang - Cogging torque reduction by eccentric structure of teeth in external rotor.pdf
DUP_0201,b64f509052551362f53e793a487c9d09f139e611d2b9964fca00a4a79c873c62,968636,参考资料/3_1601137(GA 转子).pdf
DUP_0201,b64f509052551362f53e793a487c9d09f139e611d2b9964fca00a4a79c873c62,968636,资料/参考资料/3_1601137(GA 转子).pdf
DUP_0202,eb23ca9bb7875b05d1ba4b12d961ca10ff65a6cf6b2d8860adaf94ededcd3ebf,1595197,参考资料/4_10_73（定子 IA NGnet）.pdf
DUP_0202,eb23ca9bb7875b05d1ba4b12d961ca10ff65a6cf6b2d8860adaf94ededcd3ebf,1595197,资料/参考资料/4_10_73（定子 IA NGnet）.pdf
DUP_0203,0a9cd97eddcf02a6a2dcd84f2817582e88137232eb26efb7c646916c74b39cc4,453994,参考资料/5_Topology_Optimization_of_the_Stator_for_Minimizing_Cogging_Torque_of_IPM_Motors.pdf
DUP_0203,0a9cd97eddcf02a6a2dcd84f2817582e88137232eb26efb7c646916c74b39cc4,453994,资料/参考资料/5_Topology_Optimization_of_the_Stator_for_Minimizing_Cogging_Torque_of_IPM_Motors.pdf
DUP_0204,45ae10fbe043662570458a65a02eaa32a0caf585eebf0cf950871feef3a0056c,897893,参考资料/6_Optimization_of_Stator_Core_Shape_to_Minimize_Harmonic_Current_in_Surface_Permanent_Magnet_Synchronous_Motor_Using_Topology_Optimization_Algorithm.pdf
DUP_0204,45ae10fbe043662570458a65a02eaa32a0caf585eebf0cf950871feef3a0056c,897893,资料/参考资料/6_Optimization_of_Stator_Core_Shape_to_Minimize_Harmonic_Current_in_Surface_Permanent_Magnet_Synchronous_Motor_Using_Topology_Optimization_Algorithm.pdf
DUP_0205,2ff3d1e5e001b237aa84682ecfba75d9443c3754762e72a4ea30bcc8292baf49,292988,参考资料/7_70041.pdf
DUP_0205,2ff3d1e5e001b237aa84682ecfba75d9443c3754762e72a4ea30bcc8292baf49,292988,资料/参考资料/7_70041.pdf
DUP_0206,6ae53fcb97841f3c6851add1e18646ce7349a0d41b9ecc75967c6c6e510b31a7,345441,参考资料/8_multimaterial-topology-optimization-of-electric-machines-4037b933z5.pdf
DUP_0206,6ae53fcb97841f3c6851add1e18646ce7349a0d41b9ecc75967c6c6e510b31a7,345441,资料/参考资料/8_multimaterial-topology-optimization-of-electric-machines-4037b933z5.pdf
DUP_0207,f206d5694dd32e9c53398b873253b30001b5796f8a218a3d18057250ddd9d106,781350,参考资料/9_PC-A1-17-2037d94.pdf
DUP_0207,f206d5694dd32e9c53398b873253b30001b5796f8a218a3d18057250ddd9d106,781350,资料/参考资料/9_PC-A1-17-2037d94.pdf
DUP_0208,92f15eb24270a712cd44bdc54af26af45abbcc310d42cdf05f33c49fb5bb833e,813858,参考资料/Design_Solutions_for_Reducing_the_Cogging_Torque_o.pdf
DUP_0208,92f15eb24270a712cd44bdc54af26af45abbcc310d42cdf05f33c49fb5bb833e,813858,资料/参考资料/Design_Solutions_for_Reducing_the_Cogging_Torque_o.pdf
DUP_0209,57d5aedc6493e81475ce77010b06e6b2aad4214502a23be20e82f4fcf84dd256,154780,参考资料/PMSM.png
DUP_0209,57d5aedc6493e81475ce77010b06e6b2aad4214502a23be20e82f4fcf84dd256,154780,资料/参考资料/PMSM.png
DUP_0210,2fefae196034773bda7b615337651b75bfd3a09d9b07caacac7e6d97af280b4f,209745,参考资料/PMSM2.png
DUP_0210,2fefae196034773bda7b615337651b75bfd3a09d9b07caacac7e6d97af280b4f,209745,资料/参考资料/PMSM2.png
DUP_0211,19f67c43c2fa707272d10f5690c1e5ed4bc9c779e178c258df4e394c1ce30a58,1051394,参考资料/s2.0-S0196890411002792-main.pdf
DUP_0211,19f67c43c2fa707272d10f5690c1e5ed4bc9c779e178c258df4e394c1ce30a58,1051394,资料/参考资料/s2.0-S0196890411002792-main.pdf
DUP_0212,e57ce12ae0095656033ab7d8d2a3b7fdb31705b2674a6f552f8e26d865b92d38,113527,参考资料/Siemens电机数据（带转矩脉动）.pdf
DUP_0212,e57ce12ae0095656033ab7d8d2a3b7fdb31705b2674a6f552f8e26d865b92d38,113527,资料/参考资料/Siemens电机数据（带转矩脉动）.pdf
DUP_0213,224b599f489c064b60ac346b7aebcfdce2834dbdea091e034b923c45cba888d6,111517,参考资料/v2-bce9fca83a63bfc77d3022c03d60b595_1440w.jpg
DUP_0213,224b599f489c064b60ac346b7aebcfdce2834dbdea091e034b923c45cba888d6,111517,资料/参考资料/v2-bce9fca83a63bfc77d3022c03d60b595_1440w.jpg
