sample_id,geometry_id,operating_point_id,simulation_id,fem_path,mat_path,match_status,match_score,problem_type,length_unit,axial_length,material_names,geometry_bbox,operating_current,current_angle,speed_rpm,rotor_position,candidate_target_names,validation_status,notes
SAMPLE_0016,GEOM_0015,OP_69bb88fd98,SIM_845c1e1deec9,CLONALG/strukturFemm.fem,,unmatched,18,planar,millimeters,36,Air|Pure Iron|Copper|Copper|Copper|Copper|Copper|Copper|Air|Air|Pure Iron|Air|N40|Air|N40|Air,"[0.0,0.0,74.0,74.0]",3.03108891325,,,,,pending_review,operating_current 来源: FEM circuit max_abs(current_re)
SAMPLE_0017,GEOM_0015,OP_69bb88fd98,SIM_3d058c8d6dd2,CLONALG/temp_airgap_scan.fem,,unmatched,15,planar,millimeters,36,Air|Pure Iron|Copper|Copper|Copper|Copper|Copper|Copper|Air|Air|Pure Iron|Air|N40|Air|N40|Air,"[0.0,0.0,74.0,74.0]",3.03108891325,,,,,pending_review,operating_current 来源: FEM circuit max_abs(current_re)
SAMPLE_0018,GEOM_0016,OP_27e025d016,SIM_5696d3708534,CLONALG/test.fem,,unmatched,18,planar,millimeters,36,Air|Pure Iron|Copper|N40|Air|N40|Air,"[0.0,0.0,74.0,74.0]",8.66025403784,,,,,pending_review,operating_current 来源: FEM circuit max_abs(current_re)
SAMPLE_0019,GEOM_0004,OP_db5410d5c6,SIM_9b3488d6e5e7,IA_test/0103 groupB/best_J0.110898_20260103_164233.fem,IA_test/0103 groupB/best_result_20260103_164233.mat,probable,77,planar,millimeters,36,Air|Pure Iron|Copper|N40|Air|N40|Air,"[0.0,0.0,74.0,74.0]",0,,,,J_hist|bestOverall|best_bits|best_bits_hist,pending_review,operating_current 来源: FEM circuit max_abs(current_re)
SAMPLE_0020,GEOM_0017,OP_db5410d5c6,SIM_9f9e5567f2dc,IA_test/0104 groupA/best_J0.0994011_20260105_081953.fem,IA_test/0104 groupA/best_result_20260105_081953.mat,probable,77,planar,millimeters,36,Air|Pure Iron|Copper|N40|Air|N40|Air,"[0.0,0.0,74.0,74.0]",0,,,,J_hist|bestOverall|best_bits|best_bits_hist,pending_review,operating_current 来源: FEM circuit max_abs(current_re)
SAMPLE_0021,GEOM_0018,OP_db5410d5c6,SIM_1d8923e5a152,IA_test/0104 groupB/best_J0.106306_20260104_150857.fem,IA_test/0104 groupB/best_result_20260104_150857.mat,probable,77,planar,millimeters,36,Air|Pure Iron|Copper|N40|Air|N40|Air,"[0.0,0.0,74.0,74.0]",0,,,,J_hist|bestOverall|best_bits|best_bits_hist,pending_review,operating_current 来源: FEM circuit max_abs(current_re)
SAMPLE_0022,GEOM_0019,OP_db5410d5c6,SIM_b6f4e81d56cd,IA_test/0107 groupA2/best_J0.082148_20260107_145512.fem,IA_test/0107 groupA2/best_result_20260107_145512.mat,probable,77,planar,millimeters,36,Air|Pure Iron|Copper|N40|Air|N40|Air,"[0.0,0.0,74.0,74.0]",0,,,,J_hist|bestOverall|best_bits|best_bits_hist,pending_review,operating_current 来源: FEM circuit max_abs(current_re)
SAMPLE_0023,GEOM_0003,OP_db5410d5c6,SIM_68c521805b75,IA_test/0109 groupA2 best/best_J0.080216_20260109_165414.fem,IA_test/0109 groupA2 best/best_bits_coarse.mat,uncertain,27,planar,millimeters,36,Air|Pure Iron|Copper|N40|Air|N40|Air,"[0.0,0.0,74.0,74.0]",0,,,,bestOverall|best_bits,pending_review,需要人工复核配对；operating_current 来源: FEM circuit max_abs(current_re)
SAMPLE_0024,GEOM_0020,OP_69bb88fd98,SIM_54ebfd519bab,IA_test/0118 groupA2/tmp_eval_20260119_004747212_814724.fem,,unmatched,18,planar,millimeters,36,Air|Pure Iron|Copper|N40|Air|N40|Air,"[0.0,0.0,74.0,74.0]",3.03108891325,,,,,pending_review,operating_current 来源: FEM circuit max_abs(current_re)
SAMPLE_0025,GEOM_0021,OP_69bb88fd98,SIM_113bad4cc061,IA_test/0120/tmp_eval_20260121_103344220_905792.fem,,unmatched,23,planar,millimeters,36,Air|Pure Iron|Copper|N40|Air|N40|Air,"[0.0,0.0,74.0,74.0]",3.03108891325,,,,,pending_review,operating_current 来源: FEM circuit max_abs(current_re)
