fem_path,candidate_mat_path,score,matching_evidence,conflicting_evidence
IA_test_Float/0228 70gen-140gen/best_J0.113564_20260301_172121.fem,IA_test_Float/0228 70gen-140gen/trace_all_20260301_172121.mat,77,"共享运行/时间标签: 20260301_172121；共享数字标识: 172121, 20260301；位于同一目录；修改时间相差 98 秒",
IA_test_Float/0228 70gen-140gen/best_J0.113564_20260301_224723.fem,IA_test_Float/0228 70gen-140gen/best_result_20260301_224723.mat,65,"共享运行/时间标签: 20260301_224723；共享数字标识: 20260301, 224723；位于同一目录",
IA_test_Float/0228 70gen-140gen/best_J0.113564_20260301_224723.fem,IA_test_Float/0228 70gen-140gen/trace_all_20260301_224723.mat,65,"共享运行/时间标签: 20260301_224723；共享数字标识: 20260301, 224723；位于同一目录",
IA_test_Float/0302 160gen-200gen/best_J0.111733_20260302_114631.fem,IA_test_Float/0302 160gen-200gen/best_result_20260302_114631.mat,77,"共享运行/时间标签: 20260302_114631；共享数字标识: 114631, 20260302；位于同一目录；修改时间相差 10 秒",
IA_test_Float/0302 160gen-200gen/best_J0.111733_20260302_114631.fem,IA_test_Float/0302 160gen-200gen/trace_all_20260302_114631.mat,77,"共享运行/时间标签: 20260302_114631；共享数字标识: 114631, 20260302；位于同一目录；修改时间相差 10 秒",
IA_test_Float/0302 300gen/best_J0.105091_20260302_173331.fem,IA_test_Float/0302 300gen/best_result_20260302_173331.mat,77,"共享运行/时间标签: 20260302_173331；共享数字标识: 173331, 20260302；位于同一目录；修改时间相差 10 秒",
IA_test_Float/0302 300gen/best_J0.105091_20260302_173331.fem,IA_test_Float/0302 300gen/trace_all_20260302_173331.mat,77,"共享运行/时间标签: 20260302_173331；共享数字标识: 173331, 20260302；位于同一目录；修改时间相差 10 秒",
IA_test_Float/0302 400gen-500gen/best_J0.0980357_20260302_213720.fem,IA_test_Float/0302 400gen-500gen/best_result_20260302_213720.mat,77,"共享运行/时间标签: 20260302_213720；共享数字标识: 20260302, 213720；位于同一目录；修改时间相差 10 秒",
IA_test_Float/0302 400gen-500gen/best_J0.0980357_20260302_213720.fem,IA_test_Float/0302 400gen-500gen/trace_all_20260302_213720.mat,77,"共享运行/时间标签: 20260302_213720；共享数字标识: 20260302, 213720；位于同一目录；修改时间相差 10 秒",
IA_test_Float/0303 700gen/best_J0.0961933_20260303_215010.fem,IA_test_Float/0303 700gen/best_result_20260303_215010.mat,77,"共享运行/时间标签: 20260303_215010；共享数字标识: 20260303, 215010；位于同一目录；修改时间相差 10 秒",
IA_test_Float/0303 700gen/best_J0.0961933_20260303_215010.fem,IA_test_Float/0303 700gen/trace_all_20260303_215010.mat,77,"共享运行/时间标签: 20260303_215010；共享数字标识: 20260303, 215010；位于同一目录；修改时间相差 10 秒",
IA_test_Float/0303 700gen/best_J0.0980357_20260303_161511.fem,IA_test_Float/0303 700gen/best_result_20260303_161511.mat,77,"共享运行/时间标签: 20260303_161511；共享数字标识: 161511, 20260303；位于同一目录；修改时间相差 12 秒",
IA_test_Float/0303 700gen/best_J0.0980357_20260303_161511.fem,IA_test_Float/0303 700gen/trace_all_20260303_161511.mat,77,"共享运行/时间标签: 20260303_161511；共享数字标识: 161511, 20260303；位于同一目录；修改时间相差 12 秒",
IA_test_Float/0304 800gen/best_J0.092999_20260304_220254.fem,IA_test_Float/0304 800gen/best_result_20260304_220254.mat,77,"共享运行/时间标签: 20260304_220254；共享数字标识: 20260304, 220254；位于同一目录；修改时间相差 10 秒",
IA_test_Float/0304 800gen/best_J0.092999_20260304_220254.fem,IA_test_Float/0304 800gen/trace_all_20260304_220254.mat,77,"共享运行/时间标签: 20260304_220254；共享数字标识: 20260304, 220254；位于同一目录；修改时间相差 10 秒",
IA_test_Float/0305 900gen/best_J0.0924955_20260305_173935.fem,IA_test_Float/0305 900gen/best_result_20260305_173935.mat,77,"共享运行/时间标签: 20260305_173935；共享数字标识: 173935, 20260305；位于同一目录；修改时间相差 10 秒",
IA_test_Float/0305 900gen/best_J0.0924955_20260305_173935.fem,IA_test_Float/0305 900gen/trace_all_20260305_173935.mat,77,"共享运行/时间标签: 20260305_173935；共享数字标识: 173935, 20260305；位于同一目录；修改时间相差 10 秒",
IA_test_Float/best_J0.0924955_20260306_174158.fem,IA_test_Float/best_result_20260306_174158.mat,77,"共享运行/时间标签: 20260306_174158；共享数字标识: 174158, 20260306；位于同一目录；修改时间相差 10 秒",
IA_test_Float/best_J0.0924955_20260306_174158.fem,IA_test_Float/trace_all_20260306_174158.mat,77,"共享运行/时间标签: 20260306_174158；共享数字标识: 174158, 20260306；位于同一目录；修改时间相差 10 秒",
IA_test_group4/best_J0.121914_20260205_172915.fem,IA_test_group4/best_result_20260205_172915.mat,77,"共享运行/时间标签: 20260205_172915；共享数字标识: 172915, 20260205；位于同一目录；修改时间相差 94 秒",
IA_test_group4/best_J0.121914_20260205_172915.fem,IA_test_group4/trace_all_20260205_172915.mat,77,"共享运行/时间标签: 20260205_172915；共享数字标识: 172915, 20260205；位于同一目录；修改时间相差 94 秒",
IA_test_group4/best_J0.123215_20260205_145651.fem,IA_test_group4/best_result_20260205_145651.mat,77,"共享运行/时间标签: 20260205_145651；共享数字标识: 145651, 20260205；位于同一目录；修改时间相差 56 秒",
IA_test_group4/best_J0.123215_20260205_145651.fem,IA_test_group4/trace_all_20260205_145651.mat,77,"共享运行/时间标签: 20260205_145651；共享数字标识: 145651, 20260205；位于同一目录；修改时间相差 50 秒",
免疫算法测试/03.10/best_J0.0924955_20260306_174158.fem,IA_test_Float/best_result_20260306_174158.mat,62,"共享运行/时间标签: 20260306_174158；共享数字标识: 174158, 20260306；修改时间相差 10 秒",
免疫算法测试/03.10/best_J0.0924955_20260306_174158.fem,IA_test_Float/trace_all_20260306_174158.mat,62,"共享运行/时间标签: 20260306_174158；共享数字标识: 174158, 20260306；修改时间相差 10 秒",
