sample_id,fem_path,mat_path,match_score,match_status,matching_evidence,conflicting_evidence
SAMPLE_0029,IA_test/12.21 N3G10/w01/case_1141e6dc-b050-48d0-87ac-9a58316d5c79.fem,,16,unmatched,位于父子目录；修改时间相差 49.3 分钟,最高候选分低于最低证据阈值
SAMPLE_0030,IA_test/12.21 N3G10/w01/case_115ad528-f65b-4929-bfa4-daf3ca841231.fem,,11,unmatched,位于父子目录；修改时间相差 11.2 小时,最高候选分低于最低证据阈值
SAMPLE_0031,IA_test/12.21 N3G10/w01/case_159544e8-63cb-4408-9973-e9d2ad3a60bd.fem,,11,unmatched,位于父子目录；修改时间相差 2.3 小时,最高候选分低于最低证据阈值
SAMPLE_0032,IA_test/12.21 N3G10/w01/case_1915b143-be46-4c57-85bf-b92b1c59bba4.fem,,11,unmatched,位于父子目录；修改时间相差 9.4 小时,最高候选分低于最低证据阈值
SAMPLE_0033,IA_test/12.21 N3G10/w01/case_26334935-dc9f-4603-8b42-fe82caaf8ec9.fem,,11,unmatched,位于父子目录；修改时间相差 5.6 小时,最高候选分低于最低证据阈值
SAMPLE_0034,IA_test/12.21 N3G10/w01/case_2b2a547c-f178-454b-9e44-02c863fd6322.fem,,11,unmatched,位于父子目录；修改时间相差 4.1 小时,最高候选分低于最低证据阈值
SAMPLE_0035,IA_test/12.21 N3G10/w01/case_3881750a-9f02-446d-911b-1e57fa0eca81.fem,,11,unmatched,位于父子目录；修改时间相差 9.6 小时,最高候选分低于最低证据阈值
SAMPLE_0036,IA_test/12.21 N3G10/w01/case_3a720ac5-09fc-4fb1-a0ba-2dca1089d401.fem,,11,unmatched,位于父子目录；修改时间相差 9.8 小时,最高候选分低于最低证据阈值
SAMPLE_0037,IA_test/12.21 N3G10/w01/case_3ac07a5b-3e67-4c68-895f-a1c664264ced.fem,,11,unmatched,位于父子目录；修改时间相差 10.8 小时,最高候选分低于最低证据阈值
SAMPLE_0038,IA_test/12.21 N3G10/w01/case_435bdce4-b8b9-421e-926e-a54b11a7b00b.fem,,11,unmatched,位于父子目录；修改时间相差 1.8 小时,最高候选分低于最低证据阈值
SAMPLE_0039,IA_test/12.21 N3G10/w01/case_529bb037-4ab6-4ecd-a709-ad9308af1d2f.fem,,16,unmatched,位于父子目录；修改时间相差 38.0 分钟,最高候选分低于最低证据阈值
SAMPLE_0040,IA_test/12.21 N3G10/w01/case_5788955c-1a7b-42ad-9bb5-3897f1f1a6b4.fem,,11,unmatched,位于父子目录；修改时间相差 8.8 小时,最高候选分低于最低证据阈值
SAMPLE_0041,IA_test/12.21 N3G10/w01/case_5990fe76-0532-4c4c-a616-1dc97f2c102d.fem,,11,unmatched,位于父子目录；修改时间相差 1.0 小时,最高候选分低于最低证据阈值
SAMPLE_0042,IA_test/12.21 N3G10/w01/case_605aa08e-3688-4deb-b757-aead046701a8.fem,,11,unmatched,位于父子目录；修改时间相差 5.4 小时,最高候选分低于最低证据阈值
SAMPLE_0043,IA_test/12.21 N3G10/w01/case_6ea6528f-1564-4893-8bfc-b1396461dd94.fem,,11,unmatched,位于父子目录；修改时间相差 3.4 小时,最高候选分低于最低证据阈值
SAMPLE_0044,IA_test/12.21 N3G10/w01/case_7027617d-4c95-41c7-a3e3-467928059793.fem,,11,unmatched,位于父子目录；修改时间相差 5.8 小时,最高候选分低于最低证据阈值
SAMPLE_0045,IA_test/12.21 N3G10/w01/case_7c635f09-76c8-4c6d-8b57-2013080f7f33.fem,,11,unmatched,位于父子目录；修改时间相差 11.0 小时,最高候选分低于最低证据阈值
SAMPLE_0046,IA_test/12.21 N3G10/w01/case_7cc4f036-aae5-4a5b-99ca-ab8d40ea2659.fem,,11,unmatched,位于父子目录；修改时间相差 6.5 小时,最高候选分低于最低证据阈值
SAMPLE_0047,IA_test/12.21 N3G10/w01/case_845bec1a-d7c1-4128-971a-228fe0cf726e.fem,,11,unmatched,位于父子目录；修改时间相差 4.5 小时,最高候选分低于最低证据阈值
