geometry_id,simulation_count,operating_point_count,confirmed_pair_count,fem_paths
GEOM_0037,1,1,0,IA_test/12.21 N3G10/w01/case_5990fe76-0532-4c4c-a616-1dc97f2c102d.fem
GEOM_0038,1,1,0,IA_test/12.21 N3G10/w01/case_605aa08e-3688-4deb-b757-aead046701a8.fem
GEOM_0039,2,1,0,IA_test/12.21 N3G10/w01/case_6ea6528f-1564-4893-8bfc-b1396461dd94.fem|IA_test/12.21 N3G10/w01/case_924cd090-aa4f-49ba-8a04-282f6d2b4f1d.fem
GEOM_0040,1,1,0,IA_test/12.21 N3G10/w01/case_7027617d-4c95-41c7-a3e3-467928059793.fem
GEOM_0041,1,1,0,IA_test/12.21 N3G10/w01/case_7c635f09-76c8-4c6d-8b57-2013080f7f33.fem
GEOM_0042,1,1,0,IA_test/12.21 N3G10/w01/case_7cc4f036-aae5-4a5b-99ca-ab8d40ea2659.fem
GEOM_0043,2,1,0,IA_test/12.21 N3G10/w01/case_845bec1a-d7c1-4128-971a-228fe0cf726e.fem|IA_test/12.21 N3G10/w01/case_c5866522-4cf0-4a2a-b1a1-7cd7f573cc1a.fem
GEOM_0044,1,1,0,IA_test/12.21 N3G10/w01/case_8513135f-ba52-4e31-afc6-966c01f1b3bc.fem
GEOM_0045,1,1,0,IA_test/12.21 N3G10/w01/case_96dab361-cb17-4e91-a8eb-655d2308954d.fem
GEOM_0046,2,1,0,IA_test/12.21 N3G10/w01/case_a4dead31-1a55-488e-9fab-d4706f6eb981.fem|IA_test/12.21 N3G10/w03/case_9477881f-38d7-4bf2-978e-c5c0e1dd186c.fem
GEOM_0047,2,1,0,IA_test/12.21 N3G10/w01/case_a749e1e3-7a3a-4188-87da-d4e965f4a648.fem|IA_test/12.21 N3G10/w03/case_f97d8b24-16c3-4b5c-84bd-60685a3b65d9.fem
GEOM_0048,1,1,0,IA_test/12.21 N3G10/w01/case_b7c711f4-abbd-4e3e-8ebb-c96276d96490.fem
GEOM_0049,2,1,0,IA_test/12.21 N3G10/w01/case_b7e3f609-1358-4c27-aab2-25e3b8eccf83.fem|IA_test/12.21 N3G10/w02/case_a7ecd80d-fb62-407c-b380-670fa66c3f66.fem
GEOM_0050,1,1,0,IA_test/12.21 N3G10/w01/case_b96cec23-9ced-49cd-8cd5-b47aa69d4be2.fem
GEOM_0051,2,1,0,IA_test/12.21 N3G10/w01/case_bdd5c199-4644-4ed0-9e29-b1842e899ba6.fem|IA_test/12.21 N3G10/w02/case_f1aab01c-3f34-43bd-b140-90988461ff8b.fem
GEOM_0052,2,1,0,IA_test/12.21 N3G10/w01/case_bf3cd316-91b0-4ef9-aaa9-71ae850fcad1.fem|IA_test/12.21 N3G10/w02/case_6ea371ff-ec56-4ae1-90b7-9c6394e79cb8.fem
GEOM_0053,1,1,0,IA_test/12.21 N3G10/w01/case_c0c92f18-0cc9-47bb-92d3-3fa219d7f28e.fem
GEOM_0054,2,1,0,IA_test/12.21 N3G10/w01/case_c55d66e1-d6c1-495f-871d-c7b32467c15c.fem|IA_test/12.21 N3G10/w03/case_86d62f9a-dbfd-4195-8fd4-2ddf63b2c724.fem
GEOM_0055,1,1,0,IA_test/12.21 N3G10/w01/case_d913c8cd-1263-4f0d-b05e-0a8fab3137c5.fem
GEOM_0056,1,1,0,IA_test/12.21 N3G10/w01/case_dae5f276-1734-4152-ad34-77bd08daf795.fem
GEOM_0057,2,1,0,IA_test/12.21 N3G10/w01/case_dc30fb28-b7bc-4faf-9a24-649f92b0e581.fem|IA_test/12.21 N3G10/w02/case_8b670471-529a-4d49-9e45-f711c972ed03.fem
GEOM_0058,1,1,0,IA_test/12.21 N3G10/w01/case_e51f9061-5028-4304-bded-31ea0ccc434c.fem
GEOM_0059,2,1,0,IA_test/12.21 N3G10/w01/case_e7958f48-6565-488f-8a32-ed6e9fdbbbee.fem|IA_test/12.21 N3G10/w03/case_0b166cbf-45e8-4aa7-9bcb-a44f87362407.fem
GEOM_0060,1,1,0,IA_test/12.21 N3G10/w01/case_e89c0421-6da4-4e3b-ab9d-837f509f1cc5.fem
GEOM_0061,1,1,0,IA_test/12.21 N3G10/w02/case_000001.fem
GEOM_0062,2,1,0,IA_test/12.21 N3G10/w02/case_0704aed2-95f7-4488-b805-9fdc1df2a4b9.fem|IA_test/12.21 N3G10/w03/case_3bb26db5-3721-4b15-adf5-92e72e9c38d6.fem
GEOM_0063,1,1,0,IA_test/12.21 N3G10/w02/case_07d06f9c-23de-489a-aa10-cde663a9bcea.fem
GEOM_0064,1,1,0,IA_test/12.21 N3G10/w02/case_10bdf2e7-6933-4a50-8be9-536a0f4dfc6a.fem
GEOM_0065,2,1,0,IA_test/12.21 N3G10/w02/case_17c5fdbd-2370-4744-80bf-2a2f0a287340.fem|IA_test/12.21 N3G10/w02/case_39c72458-418d-4b0c-8b68-5fc28c1f9ce2.fem
GEOM_0066,1,1,0,IA_test/12.21 N3G10/w02/case_1a903502-eae2-44aa-b20d-f5a319beef36.fem
GEOM_0067,1,1,0,IA_test/12.21 N3G10/w02/case_278f70c1-be87-474f-bd88-9270d1b9edf9.fem
GEOM_0068,2,1,0,IA_test/12.21 N3G10/w02/case_2cc7bc73-cd5f-4e19-869d-9b67a5b8b5af.fem|IA_test/12.21 N3G10/w03/case_07b5eb98-9a38-4771-b597-00e1c31895b2.fem
GEOM_0069,1,1,0,IA_test/12.21 N3G10/w02/case_2efb83d5-5d0b-458b-b718-044c34efdc44.fem
GEOM_0070,1,1,0,IA_test/12.21 N3G10/w02/case_3781bdbc-eb47-4019-9edd-e771f7eb5ab4.fem
GEOM_0071,1,1,0,IA_test/12.21 N3G10/w02/case_3a323f0f-60ba-4182-ae91-0c7440176ebc.fem
GEOM_0072,1,1,0,IA_test/12.21 N3G10/w02/case_3f463c7e-3d8c-4c80-9e27-fb58c599e037.fem
GEOM_0073,1,1,0,IA_test/12.21 N3G10/w02/case_43941121-5520-4fab-a0e2-0ea2f23e15e3.fem
GEOM_0074,1,1,0,IA_test/12.21 N3G10/w02/case_45e42035-642a-401b-bb86-90917e928696.fem
GEOM_0075,1,1,0,IA_test/12.21 N3G10/w02/case_5128b0bc-6616-42bc-948a-0526565a2964.fem
GEOM_0076,1,1,0,IA_test/12.21 N3G10/w02/case_54b7a8af-c961-4020-904c-27aee80cfda6.fem
GEOM_0077,2,1,0,IA_test/12.21 N3G10/w02/case_5cb4e85c-14dd-444a-9cc3-965f42880507.fem|IA_test/12.21 N3G10/w02/case_c876b0c1-ceff-482e-9d89-1d2d2ed0610a.fem
GEOM_0078,2,1,0,IA_test/12.21 N3G10/w02/case_6dc6b2ab-4d29-44fa-a85f-5e86f0132a64.fem|IA_test/12.21 N3G10/w03/case_ff71ef89-6891-4223-b862-01eebccd32e4.fem
GEOM_0079,1,1,0,IA_test/12.21 N3G10/w02/case_7406642a-8a7f-44e5-a919-9d6bdcdf667f.fem
GEOM_0080,1,1,0,IA_test/12.21 N3G10/w02/case_749129f2-9526-483c-aeb7-23858e7b0e59.fem
GEOM_0081,2,1,0,IA_test/12.21 N3G10/w02/case_85e13400-b93f-41d7-a022-6af54ca5fdf6.fem|IA_test/12.21 N3G10/w03/case_0110943c-ca16-4544-815a-5016dd1279f1.fem
GEOM_0082,1,1,0,IA_test/12.21 N3G10/w02/case_9ea14e95-b1d5-4690-b666-91fd603a3230.fem
GEOM_0083,1,1,0,IA_test/12.21 N3G10/w02/case_a15f2e35-e60e-4aed-9a5f-94ee4990f15c.fem
GEOM_0084,1,1,0,IA_test/12.21 N3G10/w02/case_b387b2c3-8c37-4860-bddb-cac9004396a6.fem
GEOM_0085,1,1,0,IA_test/12.21 N3G10/w02/case_bbd260f1-8d6a-4e88-bc2a-800810968b5c.fem
GEOM_0086,1,1,0,IA_test/12.21 N3G10/w02/case_bd182655-75e0-4b80-8bad-90b1cb383d32.fem
GEOM_0087,2,1,0,IA_test/12.21 N3G10/w02/case_ce520cd2-7cf9-421b-ba62-b8af3d02a342.fem|IA_test/12.21 N3G10/w03/case_91a9c760-b8d5-406b-984d-9d2d06311615.fem
GEOM_0088,1,1,0,IA_test/12.21 N3G10/w02/case_cfab5013-eb64-4989-a962-dd508f6cb161.fem
GEOM_0089,1,1,0,IA_test/12.21 N3G10/w02/case_e4af992a-7c33-4699-bed8-01c1709c43ce.fem
