model_id,evaluation_set,target,metric,mean,std
logical6x20/mini_inception_v2,full_validation,tavg,absolute_error_p90,0.03992118686437607,0.0
logical6x20/mini_inception_v2,full_validation,tavg,absolute_error_p95,0.08827812969684601,0.0
logical6x20/mini_inception_v2,full_validation,tavg,fraction_absolute_error_le_0_05_nm,0.9156254820299244,0.0
logical6x20/mini_inception_v2,full_validation,tavg,fraction_absolute_error_le_0_10_nm,0.9566558691963597,0.0
logical6x20/mini_inception_v2,full_validation,delta_t,mae,0.02885146252810955,0.0
logical6x20/mini_inception_v2,full_validation,delta_t,rmse,0.03821069002151489,0.0
logical6x20/mini_inception_v2,full_validation,delta_t,r2,0.9610493183135986,0.0
logical6x20/mini_inception_v2,full_validation,delta_t,normalized_mae_by_actual_range,0.0181911438703537,0.0
logical6x20/mini_inception_v2,full_validation,delta_t,bias,0.0030846872832626104,0.0
logical6x20/mini_inception_v2,full_validation,delta_t,calibration_slope_predicted_vs_actual,0.9336564650439748,0.0
logical6x20/mini_inception_v2,full_validation,delta_t,calibration_intercept_nm,0.030207236661722845,0.0
logical6x20/mini_inception_v2,full_validation,delta_t,absolute_error_p50,0.022556304931640625,0.0
logical6x20/mini_inception_v2,full_validation,delta_t,absolute_error_p90,0.06019177287817001,0.0
logical6x20/mini_inception_v2,full_validation,delta_t,absolute_error_p95,0.07496243715286255,0.0
logical6x20/mini_inception_v2,full_validation,delta_t,fraction_absolute_error_le_0_05_nm,0.8361869504858862,0.0
logical6x20/mini_inception_v2,full_validation,delta_t,fraction_absolute_error_le_0_10_nm,0.984266543267006,0.0
logical6x20/mini_inception_v2,full_test,both,standardized_mse,0.028121429490859363,0.0
logical6x20/mini_inception_v2,full_test,tavg,mae,0.019685344785778276,0.0
logical6x20/mini_inception_v2,full_test,tavg,rmse,0.042056398932265135,0.0
logical6x20/mini_inception_v2,full_test,tavg,r2,0.9860709342671607,0.0
logical6x20/mini_inception_v2,full_test,tavg,normalized_mae_by_actual_range,0.009316691220561701,0.0
logical6x20/mini_inception_v2,full_test,tavg,bias,-0.008659937527744965,0.0
logical6x20/mini_inception_v2,full_test,tavg,calibration_slope_predicted_vs_actual,0.9465454071831648,0.0
logical6x20/mini_inception_v2,full_test,tavg,calibration_intercept_nm,0.15701721160011653,0.0
logical6x20/mini_inception_v2,full_test,tavg,absolute_error_p50,0.008881568908691406,0.0
logical6x20/mini_inception_v2,full_test,tavg,absolute_error_p90,0.04092478752136231,0.0
logical6x20/mini_inception_v2,full_test,tavg,absolute_error_p95,0.08805994987487789,0.0
logical6x20/mini_inception_v2,full_test,tavg,fraction_absolute_error_le_0_05_nm,0.9133117383927194,0.0
logical6x20/mini_inception_v2,full_test,tavg,fraction_absolute_error_le_0_10_nm,0.957427117075428,0.0
logical6x20/mini_inception_v2,full_test,delta_t,mae,0.029308833811071834,0.0
logical6x20/mini_inception_v2,full_test,delta_t,rmse,0.03935001371711249,0.0
logical6x20/mini_inception_v2,full_test,delta_t,r2,0.9582083398888995,0.0
logical6x20/mini_inception_v2,full_test,delta_t,normalized_mae_by_actual_range,0.021208112850975867,0.0
logical6x20/mini_inception_v2,full_test,delta_t,bias,0.003842779652569078,0.0
logical6x20/mini_inception_v2,full_test,delta_t,calibration_slope_predicted_vs_actual,0.9322665107522482,0.0
logical6x20/mini_inception_v2,full_test,delta_t,calibration_intercept_nm,0.03135768593984827,0.0
logical6x20/mini_inception_v2,full_test,delta_t,absolute_error_p50,0.022876203060150146,0.0
logical6x20/mini_inception_v2,full_test,delta_t,absolute_error_p90,0.06188853979110718,0.0
logical6x20/mini_inception_v2,full_test,delta_t,absolute_error_p95,0.07818584963679309,0.0
logical6x20/mini_inception_v2,full_test,delta_t,fraction_absolute_error_le_0_05_nm,0.8334104581212401,0.0
logical6x20/mini_inception_v2,full_test,delta_t,fraction_absolute_error_le_0_10_nm,0.9780965602344593,0.0
xy90_224/vgg16_v2,full_validation,both,standardized_mse,0.00613121250175289,0.0
xy90_224/vgg16_v2,full_validation,tavg,mae,0.008243782445788383,0.0
xy90_224/vgg16_v2,full_validation,tavg,rmse,0.013532067649066448,0.0
xy90_224/vgg16_v2,full_validation,tavg,r2,0.998542308807373,0.0
xy90_224/vgg16_v2,full_validation,tavg,normalized_mae_by_actual_range,0.0039987401105463505,0.0
xy90_224/vgg16_v2,full_validation,tavg,bias,0.003648729994893074,0.0
xy90_224/vgg16_v2,full_validation,tavg,calibration_slope_predicted_vs_actual,0.9832432445418202,0.0
xy90_224/vgg16_v2,full_validation,tavg,calibration_intercept_nm,0.0555739832031206,0.0
xy90_224/vgg16_v2,full_validation,tavg,absolute_error_p50,0.0054705142974853516,0.0
xy90_224/vgg16_v2,full_validation,tavg,absolute_error_p90,0.01668705977499485,0.0
xy90_224/vgg16_v2,full_validation,tavg,absolute_error_p95,0.022991180419921875,0.0
xy90_224/vgg16_v2,full_validation,tavg,fraction_absolute_error_le_0_05_nm,0.9839580441153787,0.0
xy90_224/vgg16_v2,full_validation,tavg,fraction_absolute_error_le_0_10_nm,0.999074502545118,0.0
xy90_224/vgg16_v2,full_validation,delta_t,mae,0.012865190394222736,0.0
xy90_224/vgg16_v2,full_validation,delta_t,rmse,0.01989157311618328,0.0
xy90_224/vgg16_v2,full_validation,delta_t,r2,0.989444375038147,0.0
xy90_224/vgg16_v2,full_validation,delta_t,normalized_mae_by_actual_range,0.00811163429170847,0.0
xy90_224/vgg16_v2,full_validation,delta_t,bias,-0.0014210568042472005,0.0
xy90_224/vgg16_v2,full_validation,delta_t,calibration_slope_predicted_vs_actual,0.9828686153585326,0.0
xy90_224/vgg16_v2,full_validation,delta_t,calibration_intercept_nm,0.005582592094103655,0.0
xy90_224/vgg16_v2,full_validation,delta_t,absolute_error_p50,0.009547069668769836,0.0
xy90_224/vgg16_v2,full_validation,delta_t,absolute_error_p90,0.02548828162252903,0.0
xy90_224/vgg16_v2,full_validation,delta_t,absolute_error_p95,0.03272117301821709,0.0
xy90_224/vgg16_v2,full_validation,delta_t,fraction_absolute_error_le_0_05_nm,0.9822612987814283,0.0
xy90_224/vgg16_v2,full_validation,delta_t,fraction_absolute_error_le_0_10_nm,0.9942927656948943,0.0
xy90_224/vgg16_v2,full_test,both,standardized_mse,0.00725425016090662,0.0
xy90_224/vgg16_v2,full_test,tavg,mae,0.008474296264289504,0.0
xy90_224/vgg16_v2,full_test,tavg,rmse,0.013892159442464809,0.0
xy90_224/vgg16_v2,full_test,tavg,r2,0.998480161859596,0.0
