epoch,train_loss,val_loss,learning_rate
1,0.34901998140601315,0.30362577002117597,0.001
2,0.08764156142285565,0.05676493137750937,0.001
3,0.03813275590218342,0.050683710274201085,0.001
4,0.023277092210332508,0.04090990202618394,0.001
5,0.01735932012283721,0.039150199533444674,0.001
6,0.013541809330659571,0.048594300315719874,0.001
7,0.014408191959220717,0.036115950180424586,0.001
8,0.009266255693963707,0.03673860636778212,0.001
9,0.007976060879805957,0.03266400600905004,0.001
10,0.007942869301594262,0.03893453495100069,0.001
11,0.008628924722157816,0.032965933814068926,0.001
12,0.0067690936885436625,0.03771392090453042,0.001
13,0.005649039452728876,0.03604378481957936,0.001
14,0.007146426526637641,0.03239623745138519,0.001
15,0.007712496632587751,0.03872559170108199,0.001
16,0.006168871661827458,0.03423319222486537,0.001
17,0.005471394703716107,0.0333585401520061,0.001
18,0.005924892960652068,0.03347135385597386,0.001
19,0.005823802921471701,0.030435222318027044,0.001
20,0.003364407106451395,0.02975791292310049,0.001
21,0.0032046955587217924,0.030859756314956046,0.001
22,0.002836606054991855,0.03116679960042958,0.001
23,0.0023683918689325926,0.025458128681937277,0.001
24,0.002659968094159833,0.03155653281272321,0.001
25,0.002686089961309648,0.028888503791413445,0.001
26,0.003268877406090937,0.02340746429807322,0.001
27,0.004346040003676714,0.03413477930541776,0.001
28,0.003987715599609123,0.032704148972451975,0.001
29,0.0031814958398163925,0.029603237403187776,0.001
30,0.003556886948391981,0.030237945273590548,0.001
31,0.0032973398764576606,0.02806639243007282,0.001
32,0.004270714125595987,0.026132407980624606,0.001
33,0.0037535225488941606,0.028948896236105817,0.001
34,0.004187539857437798,0.033697372869304985,0.001
35,0.004322732498685778,0.02566936940566641,0.001
36,0.004287767431794719,0.028169063878232155,0.001
37,0.005347539314004515,0.027721332134184054,0.0005
38,0.0040241159448064735,0.030938837789718943,0.0005
39,0.0018340308490258854,0.028354771849181917,0.0005
40,0.0016360858544688314,0.026546998615354155,0.0005
41,0.00158006891580288,0.02762412296941027,0.0005
42,0.0010471356705559938,0.02678397251068106,0.0005
43,0.0010216525300444945,0.02441031089871402,0.0005
44,0.0011658278086390408,0.029791347133580615,0.0005
45,0.0008715066098605967,0.0250480304143711,0.0005
46,0.0010010910840490927,0.026142632651732164,0.0005
47,0.0009064306087748676,0.028701838627817552,0.0005
48,0.000677938022561654,0.02539176223034732,0.00025
49,0.0007208119666835109,0.02671930662711749,0.00025
50,0.0007118152629579855,0.026869993188962844,0.00025
51,0.0006265441609490114,0.0279185532497755,0.00025
52,0.0005462586986257496,0.025685344665234793,0.00025
53,0.0006414568079382367,0.027329621341637366,0.00025
54,0.0006118987434852704,0.026634285325445414,0.00025
55,0.0007207416005101422,0.02532735369775606,0.00025
56,0.000620573148129261,0.02706521810684803,0.00025
