step,learning_rate,seconds,mse,old_mse,new_mse,attempts,grad_norm,amp_scale
1,2.9999999999999997e-05,0.2793413999970653,0.03018013760447502,0.02126965352467128,0.09255354106426239,1,4.0018463134765625,128.0
2,2.9999999999999997e-05,0.01599279999936698,0.0889631062746048,0.03625469548361642,0.45792198181152344,1,7.681132793426514,128.0
3,2.9999999999999997e-05,0.013470400001097005,0.10869505256414413,0.021465450525283813,0.719302237033844,1,7.784339427947998,128.0
4,2.9999999999999997e-05,0.013935199996922165,0.05242586135864258,0.021762530718530928,0.26706916093826294,1,5.042314529418945,128.0
5,2.9999999999999997e-05,0.011362299999746028,0.04526473581790924,0.01552215644291469,0.2534627914428711,1,3.700212240219116,128.0
6,2.9999999999999997e-05,0.011483800000860356,0.02860676310956478,0.015113167464733124,0.12306194007396698,1,2.1941564083099365,128.0
7,2.9999999999999997e-05,0.013277500002004672,0.030625946819782257,0.027190053037234714,0.054677195847034454,1,3.3873190879821777,128.0
8,2.9999999999999997e-05,0.01342780000413768,0.041605427861213684,0.018309686865125383,0.2046755850315094,1,6.337790012359619,128.0
9,2.9999999999999997e-05,0.013594100004411303,0.04223388433456421,0.016869589686393738,0.2197839617729187,1,4.042232513427734,128.0
10,2.9999999999999997e-05,0.014306499993836042,0.035088878124952316,0.027562860931668962,0.087770976126194,1,4.052764415740967,128.0
11,2.9999999999999997e-05,0.013462599999911617,0.0495775043964386,0.0252777167728969,0.21967603266239166,1,1.4579827785491943,128.0
12,2.9999999999999997e-05,0.012152999996033031,0.02796355076134205,0.008853060858590263,0.16173696517944336,1,1.5496840476989746,128.0
13,2.9999999999999997e-05,0.01231059999554418,0.02618343010544777,0.015345997044018336,0.1020454615354538,1,2.537506103515625,128.0
14,2.9999999999999997e-05,0.01303110000299057,0.029282156378030777,0.018015239919934953,0.10815056413412094,1,2.9919040203094482,128.0
15,2.9999999999999997e-05,0.012592200000653975,0.03659956157207489,0.02735617756843567,0.10130326449871063,1,2.931887149810791,128.0
16,2.9999999999999997e-05,0.013424500000837725,0.03944195806980133,0.022511514169829234,0.1579550951719284,1,5.715021133422852,128.0
17,2.9999999999999997e-05,0.013275400000566151,0.047753263264894485,0.018694081476756504,0.25116753578186035,1,3.2208993434906006,128.0
18,2.9999999999999997e-05,0.013511199998902157,0.028561344370245934,0.01842207568032401,0.0995362251996994,1,1.8902164697647095,128.0
19,2.9999999999999997e-05,0.013515699996787589,0.0555780790746212,0.02051774093082973,0.3010004460811615,1,3.1847822666168213,128.0
20,2.9999999999999997e-05,0.011364399993908592,0.031045520678162575,0.016650491527148654,0.13181072473526,1,1.4746499061584473,128.0
21,2.9999999999999997e-05,0.012295299995457754,0.03139437735080719,0.011460659759385245,0.17093037068843842,1,4.200910568237305,128.0
22,2.9999999999999997e-05,0.013136100002157036,0.026069823652505875,0.018230638333729336,0.08094411343336105,1,2.319674491882324,128.0
23,2.9999999999999997e-05,0.012066999996022787,0.027463670819997787,0.01789106854370662,0.09447188675403595,1,2.0630085468292236,128.0
24,2.9999999999999997e-05,0.013695300003746524,0.0257951058447361,0.013325888131346022,0.11307963728904724,1,4.151191234588623,128.0
25,2.9999999999999997e-05,0.012386900001729373,0.04926005005836487,0.016215928963252475,0.2805688977241516,1,4.017183303833008,128.0
26,2.9999999999999997e-05,0.01223290000052657,0.021520592272281647,0.011278646332877023,0.09321421384811401,1,1.779030680656433,128.0
27,2.9999999999999997e-05,0.011409300001105294,0.0494743213057518,0.019282183476856778,0.26081928610801697,1,5.330894470214844,128.0
28,2.9999999999999997e-05,0.011384299999917857,0.0391983762383461,0.017467066645622253,0.19131752848625183,1,4.554775714874268,128.0
29,2.9999999999999997e-05,0.01288669999485137,0.032333049923181534,0.018603535635130748,0.12843963503837585,1,2.1472737789154053,128.0
30,2.9999999999999997e-05,0.013599399993836414,0.07389581948518753,0.020162582397460938,0.45002850890159607,1,3.5444886684417725,128.0
31,2.9999999999999997e-05,0.014542699995217845,0.021700166165828705,0.012894600629806519,0.08333911746740341,1,2.006983995437622,128.0
32,2.9999999999999997e-05,0.01135650000651367,0.03001541830599308,0.013047188520431519,0.1487930417060852,1,3.3149213790893555,128.0
33,2.9999999999999997e-05,0.013493200000084471,0.055487096309661865,0.03675274338041033,0.18662750720977783,1,5.314612865447998,128.0
34,2.9999999999999997e-05,0.011586699998588301,0.05059949681162834,0.01917849693979536,0.27054649591445923,1,3.0310893058776855,128.0
35,2.9999999999999997e-05,0.012708400005067233,0.026861602440476418,0.009651499135153634,0.1473323255777359,1,2.798980474472046,128.0
36,2.9999999999999997e-05,0.012672699995164294,0.018193254247307777,0.01604862085410527,0.033205680549144745,1,1.4455541372299194,128.0
37,2.9999999999999997e-05,0.01353660000313539,0.1069989949464798,0.02430917109761919,0.6858277320861816,1,11.317420959472656,128.0
38,2.9999999999999997e-05,0.01226209999731509,0.03078552894294262,0.016300959246499196,0.13217748701572418,1,2.2951548099517822,128.0
39,2.9999999999999997e-05,0.012070799995854031,0.04525072127580643,0.028669625520706177,0.16131839156150818,1,6.459177017211914,128.0
40,2.9999999999999997e-05,0.011973000000580214,0.04307900741696358,0.02039980036871774,0.20183345675468445,1,4.152003765106201,128.0
41,2.9999999999999997e-05,0.014329500001622364,0.03329497575759888,0.018258062856537954,0.13855335116386414,1,2.4964065551757812,128.0
42,2.9999999999999997e-05,0.012140699996962212,0.023059286177158356,0.010790296963282995,0.10894221067428589,1,2.6663577556610107,128.0
43,2.9999999999999997e-05,0.015906499997072387,0.023230090737342834,0.011675330145018441,0.10411339998245239,1,1.178523302078247,128.0
44,2.9999999999999997e-05,0.011039400000299793,0.0374307855963707,0.029880666307040622,0.09028162062168121,1,4.269817352294922,128.0
45,2.9999999999999997e-05,0.012969900002644863,0.03255985677242279,0.016974922801767076,0.14165440201759338,1,1.9524556398391724,128.0
46,2.9999999999999997e-05,0.012299600006372202,0.03165353834629059,0.01477773700441633,0.1497841477394104,1,1.9352201223373413,128.0
47,2.9999999999999997e-05,0.01216279999789549,0.022342685610055923,0.014541070376123701,0.07695399224758148,1,2.1569154262542725,128.0
48,2.9999999999999997e-05,0.012376400001812726,0.01737295091152191,0.015704054917607988,0.029055222868919373,1,1.3601962327957153,128.0
49,2.9999999999999997e-05,0.011151099999551661,0.028807837516069412,0.020319721528462002,0.08822466433048248,1,1.382834553718567,128.0
50,2.9999999999999997e-05,0.013344000006327406,0.03151388838887215,0.01661947795322963,0.13577477633953094,1,4.00091552734375,128.0
51,2.9999999999999997e-05,0.011344699996698182,0.028368696570396423,0.011287010141781397,0.1479405164718628,1,1.4746830463409424,128.0
52,2.9999999999999997e-05,0.013653900001372676,0.03156939521431923,0.01706980275256293,0.13306653499603271,1,3.850360870361328,128.0
53,2.9999999999999997e-05,0.013461499998811632,0.01967695541679859,0.013943564678941454,0.05981069058179855,1,2.120201826095581,128.0
54,2.9999999999999997e-05,0.013533199999073986,0.029371289536356926,0.0250355132988521,0.05972171574831009,1,1.7069776058197021,128.0
55,2.9999999999999997e-05,0.012470500005292706,0.02370521053671837,0.015149564615317754,0.08359473943710327,1,3.2340786457061768,128.0
56,2.9999999999999997e-05,0.012239700001373421,0.039235781878232956,0.022663533687591553,0.15524150431156158,1,3.732120990753174,128.0
57,2.9999999999999997e-05,0.010811000000103377,0.02817598730325699,0.01839222865445273,0.09666230529546738,1,2.7350242137908936,128.0
58,2.9999999999999997e-05,0.012978999999177177,0.01997881568968296,0.014050247413771493,0.06147879734635353,1,0.8581847548484802,128.0
59,2.9999999999999997e-05,0.013758699999016244,0.03711177408695221,0.02301844528743199,0.13576507568359375,1,4.863645553588867,128.0
60,2.9999999999999997e-05,0.013892600007238798,0.024674253538250923,0.014496547835213798,0.09591817855834961,1,1.2899868488311768,128.0
61,2.9999999999999997e-05,0.01437640000222018,0.023803770542144775,0.01776655444077083,0.06606429070234299,1,1.9349738359451294,128.0
62,2.9999999999999997e-05,0.019466899997496512,0.03815893083810806,0.01342436671257019,0.21130089461803436,1,4.781564712524414,128.0
63,2.9999999999999997e-05,0.014376200000697281,0.0232030488550663,0.015329813318593162,0.07831570506095886,1,2.7234230041503906,128.0
64,2.9999999999999997e-05,0.014922499998647254,0.034413840621709824,0.015268240656171526,0.1684330403804779,1,2.514803647994995,128.0
65,2.9999999999999997e-05,0.02018780000071274,0.026266153901815414,0.012626775673457555,0.12174180895090103,1,2.868241786956787,128.0
66,2.9999999999999997e-05,0.011452899998403154,0.036863453686237335,0.02698882988521031,0.10598580539226532,1,3.3580145835876465,128.0
67,2.9999999999999997e-05,0.013207199997850694,0.028878044337034225,0.020587395344461714,0.0869126096367836,1,2.5087828636169434,128.0
68,2.9999999999999997e-05,0.012340599998424295,0.035579077899456024,0.018656947783061435,0.15403397381305695,1,1.3960951566696167,128.0
69,2.9999999999999997e-05,0.013332800001080614,0.019073180854320526,0.013301845107759749,0.05947253853082657,1,1.0906598567962646,128.0
70,2.9999999999999997e-05,0.019424999998591375,0.028301101177930832,0.019631505012512207,0.0889882743358612,1,1.5335805416107178,128.0
71,2.9999999999999997e-05,0.013208299998950679,0.0342836007475853,0.01626193416970117,0.1604352742433548,1,1.1214278936386108,128.0
72,2.9999999999999997e-05,0.011688600003253669,0.043289680033922195,0.012438284499304635,0.2592494487762451,1,2.4113621711730957,128.0
73,2.9999999999999997e-05,0.013080500000796746,0.036352746188640594,0.010968161480767387,0.21404482424259186,1,3.2181992530822754,128.0
74,2.9999999999999997e-05,0.013598400000773836,0.030054302886128426,0.01660529843398503,0.1241973266005516,1,1.8892805576324463,128.0
75,2.9999999999999997e-05,0.011541800005943514,0.06554213911294937,0.041926562786102295,0.2308511883020401,1,6.014257907867432,128.0
76,2.9999999999999997e-05,0.011551600000530016,0.03675421327352524,0.03334817290306091,0.06059647351503372,1,2.4202136993408203,128.0
