gene_id,bits,source,family_id,split_role,generator_parameters,seed,parent_old_index,parameter_regime,selection_method,selection_rank,selection_distance_squared,display_region_id,experiment_groups,magnet_cells,raw_bits,raw_gene_id,repair_changed_cells,repair_passes,nearest_old_train_hamming,magnet_area_sector_mm2,magnet_area_full_motor_mm2,status,tavg_nm,delta_t_nm,condition_fingerprint,waveform_reference,source_package_identity,source_label_reference
10e890796d673206d7b5e3604be010ecb30b715c89a50dc839686d82e781a81a,011100001100000000000011001111000011000001001111000000000001000001111100111000001111111000000000000000000000000000110011,L,L/pool/field_04954/attempt_0/params_bcf56f831e36be15,train,"{""attempt"": 0, ""m"": 40, ""scale"": [1.5, 0.5]}",13349480423077743689,,same_range,G,590,0.0020407826029479807,2,G-S;G-E,38,011100001100000000100011001111000011000001001111000000100001000001111100111000001111111000000000000000000000000000110011,b2d47eb7ce1eba0a5c59c7af4c5c4f4a081196d2cb4ef81b7e7818bfec6612e6,2,1,39,36.35879259121394,145.43517036485576,verified,1.4275829178866637,0.7193596965259741,97cd342fe5d68919dffee97fe5ff2d37bcfdbfd461eb357e9ca92f75ee05c712,received/full_run_records.zip!/10e890796d673206d7b5e3604be010ecb30b715c89a50dc839686d82e781a81a/label.json,739e916a53c1b452668a50af0be232c7fc939925509b2a301349d1d50853c70c,received/full_run_records.zip!/10e890796d673206d7b5e3604be010ecb30b715c89a50dc839686d82e781a81a/label.json
25df699c8ba8e2a4d6b7e9aff27ec61f9b4116892087e649ef163ccbf507137e,111000110000110000110000000000000101000111000110100110100000100000000000000000001100001100001100011110111111111101111000,L,L/pool/field_03187/attempt_0/params_6770b76c651b1e91,train,"{""attempt"": 0, ""m"": 45, ""scale"": [1.5, 2]}",13349480423077743689,,same_range,G,591,0.0020903562694163528,2,G-S;G-E,45,111000110000110000110000000000000101000111000110100110100000100000000000000000001100001100001100011110111111111101111000,25df699c8ba8e2a4d6b7e9aff27ec61f9b4116892087e649ef163ccbf507137e,0,0,42,42.5062498437778,170.0249993751112,verified,1.6715084303366974,1.4137233288971522,97cd342fe5d68919dffee97fe5ff2d37bcfdbfd461eb357e9ca92f75ee05c712,received/full_run_records.zip!/25df699c8ba8e2a4d6b7e9aff27ec61f9b4116892087e649ef163ccbf507137e/label.json,739e916a53c1b452668a50af0be232c7fc939925509b2a301349d1d50853c70c,received/full_run_records.zip!/25df699c8ba8e2a4d6b7e9aff27ec61f9b4116892087e649ef163ccbf507137e/label.json
13d3f71f211479bf1f9bbe1cefad31fda078412e988cb7dbfcb08efb86182dd0,011000000100000000000011000011000100000110000100000111100010010010101000001100000100000010000111001011000111000001001111,U,U/pool/field_02545/attempt_0/params_8a71703679c9ad40,train,"{""attempt"": 0, ""m"": 41}",13349480423077743689,,same_range,G,592,0.002007733491969066,2,G-S;G-E,38,011000000100000000010011000011100100000110100100000111100010010010101000001100000100100010000111001010000111000001001111,faab15006f3a032cb70d14fc4507d05196fd969f2c29c541bd53453a1b1b31cc,5,1,43,36.6509875490859,146.6039501963436,verified,1.4821183247710967,0.937734961761121,97cd342fe5d68919dffee97fe5ff2d37bcfdbfd461eb357e9ca92f75ee05c712,received/full_run_records.zip!/13d3f71f211479bf1f9bbe1cefad31fda078412e988cb7dbfcb08efb86182dd0/label.json,739e916a53c1b452668a50af0be232c7fc939925509b2a301349d1d50853c70c,received/full_run_records.zip!/13d3f71f211479bf1f9bbe1cefad31fda078412e988cb7dbfcb08efb86182dd0/label.json
cb9fe08fb9b3e73b9ffd9b1bbe15ad15ab12027821cd09ac99bba11fc13eaccb,111111111111011111011111011111001111000111000111000111000101000101000101000101001101001111001010001010001010000010000001,L,L/pool/field_01309/attempt_0/params_1f40c192a483b246,train,"{""attempt"": 0, ""m"": 62, ""scale"": [0.5, 2]}",13349480423077743689,,same_range,G,593,0.0019912089364796087,1,G-S;G-E,63,111111111111011011011111011111001111000111000111000111000101000101000101000101001101001111001010001010001010000010000001,0630d95e50690fc475057804f991210747353f2d8d166791b35581c0ed589079,1,1,39,60.74895504692368,242.99582018769473,verified,2.085066530451692,0.758606547517549,97cd342fe5d68919dffee97fe5ff2d37bcfdbfd461eb357e9ca92f75ee05c712,received/full_run_records.zip!/cb9fe08fb9b3e73b9ffd9b1bbe15ad15ab12027821cd09ac99bba11fc13eaccb/label.json,739e916a53c1b452668a50af0be232c7fc939925509b2a301349d1d50853c70c,received/full_run_records.zip!/cb9fe08fb9b3e73b9ffd9b1bbe15ad15ab12027821cd09ac99bba11fc13eaccb/label.json
8aac2e832c2836256c0ab1a7a4ec73e473d93353ce4beb7e11e46b6e9ee25d6c,111000111111111111110000000000100000111100000000111001111111110001111000111111111111111000100011111111111111111111111000,L,L/pool/field_00690/attempt_0/params_05b9aac4c79fa904,train,"{""attempt"": 0, ""m"": 73, ""scale"": [1.5, 0.5]}",13349480423077743689,,same_range,G,594,0.0020903562694163528,4,G-S;G-E,77,011000111111111111110000000000100000111100000000111001011111110001011000111111111111111000100011111111111111011111111000,c304370aa046c817716c8cdaf2daf192ae594ccac4dc754946fdc577395e47e7,4,1,38,72.75167459417945,291.0066983767178,verified,3.0555605028499304,0.3936007014163323,97cd342fe5d68919dffee97fe5ff2d37bcfdbfd461eb357e9ca92f75ee05c712,received/full_run_records.zip!/8aac2e832c2836256c0ab1a7a4ec73e473d93353ce4beb7e11e46b6e9ee25d6c/label.json,739e916a53c1b452668a50af0be232c7fc939925509b2a301349d1d50853c70c,received/full_run_records.zip!/8aac2e832c2836256c0ab1a7a4ec73e473d93353ce4beb7e11e46b6e9ee25d6c/label.json
4946553724e88904aac0ecc81961eea5e1811dc55efda0f9d59a487e853e8c27,110111110111100111100111111111111111111001111001101001000001100000100000110000111011111111111111111111111110111110111111,L,L/pool/field_01539/attempt_0/params_e7f2d794bc1078a7,train,"{""attempt"": 0, ""m"": 85, ""scale"": [1.5, 2]}",13349480423077743689,,same_range,G,595,0.0020242580474585234,1,G-S;G-E,85,110111110111100111100111111111111111111001111001101001000001100000100000110000111011111111111111111111111110111110111111,4946553724e88904aac0ecc81961eea5e1811dc55efda0f9d59a487e853e8c27,0,0,35,80.67015795251244,322.68063181004976,verified,3.124336008699838,2.120324923904901,97cd342fe5d68919dffee97fe5ff2d37bcfdbfd461eb357e9ca92f75ee05c712,received/full_run_records.zip!/4946553724e88904aac0ecc81961eea5e1811dc55efda0f9d59a487e853e8c27/label.json,739e916a53c1b452668a50af0be232c7fc939925509b2a301349d1d50853c70c,received/full_run_records.zip!/4946553724e88904aac0ecc81961eea5e1811dc55efda0f9d59a487e853e8c27/label.json
8bb8431917b6e716f2d5ce13b11a1993787d3a58d0812939418a2bc31a2809eb,001111011111111011010111011111111111111111111111111111111110110110101110111001111101111110110000110111011110100101111101,L,L/pool/field_02068/attempt_0/params_b3b6e9027a0ad267,train,"{""attempt"": 0, ""m"": 88, ""scale"": [0.5, 0.5]}",13349480423077743689,,same_range,G,596,0.0019251107145217793,5,G-S;G-E,93,001111011111111011010110011111111111101011111111011111111110110110101110111001111101111110010000110111011110100101111101,6d96fcd06469a81326dfe7daba60ec5a6d15265da36a43fbdde0a05d49214eec,5,1,25,88.39384467226398,353.5753786890559,verified,3.414035632403659,0.9751326177890243,97cd342fe5d68919dffee97fe5ff2d37bcfdbfd461eb357e9ca92f75ee05c712,received/full_run_records.zip!/8bb8431917b6e716f2d5ce13b11a1993787d3a58d0812939418a2bc31a2809eb/label.json,739e916a53c1b452668a50af0be232c7fc939925509b2a301349d1d50853c70c,received/full_run_records.zip!/8bb8431917b6e716f2d5ce13b11a1993787d3a58d0812939418a2bc31a2809eb/label.json
b1f76b0a672d822064fe01ad2f4cbb9665da4540c27e33294b7957705a584571,111100011111011011111101111011011110101101011110111111101111011111101111010000111111101111010111111111111110011101001101,U,U/pool/field_04557/attempt_0/params_94851ea80e53857c,train,"{""attempt"": 0, ""m"": 88}",13349480423077743689,,same_range,G,597,0.0019251107145217793,1,G-S;G-E,90,110100011111011011111101111011011110101101011110111111101111011110101111010000111111101111010111111111111110011101001101,ed598e5624bdd8198c2c2084464b8c7fdbec59546e39340dea7e499dc51b20b0,2,1,32,85.74298708223573,342.9719483289429,verified,3.455510070078157,0.49031442317153306,97cd342fe5d68919dffee97fe5ff2d37bcfdbfd461eb357e9ca92f75ee05c712,received/full_run_records.zip!/b1f76b0a672d822064fe01ad2f4cbb9665da4540c27e33294b7957705a584571/label.json,739e916a53c1b452668a50af0be232c7fc939925509b2a301349d1d50853c70c,received/full_run_records.zip!/b1f76b0a672d822064fe01ad2f4cbb9665da4540c27e33294b7957705a584571/label.json
bdb704d52baa83b4004314eec74a96170698447356f88b7ccd8e5a0c840cf810,001111000011001111000111111111111111111001111101111111111111111111100001000111111100011110001111000111111111111111110011,L,L/pool/field_02274/attempt_0/params_1b7b2d8479b05472,train,"{""attempt"": 0, ""m"": 85, ""scale"": [1.5, 0.5]}",13349480423077743689,,same_range,G,598,0.0019251107145217793,1,G-S;G-E,88,001111000011001110000111111111101111111001111101111111111111111111100001000111111100011110001111000110111111111111110011,986925ce0514441197fee51111eece13a40bc250cc58e1b21ab468f2429e8b8d,3,1,34,84.06773599043589,336.27094396174357,verified,3.36113113573291,0.9631664316117599,97cd342fe5d68919dffee97fe5ff2d37bcfdbfd461eb357e9ca92f75ee05c712,received/full_run_records.zip!/bdb704d52baa83b4004314eec74a96170698447356f88b7ccd8e5a0c840cf810/label.json,739e916a53c1b452668a50af0be232c7fc939925509b2a301349d1d50853c70c,received/full_run_records.zip!/bdb704d52baa83b4004314eec74a96170698447356f88b7ccd8e5a0c840cf810/label.json
fd8b45e80fe3d9906457c1dc7d3119a209568433f1e441d1ee0478e1c035eb41,000000000001001111001111000011000000000000000000000010111111000110000000000000000000000000011000001100000100000110000110,L,L/pool/field_00787/attempt_0/params_93b7a90184297b87,train,"{""attempt"": 0, ""m"": 29, ""scale"": [1.5, 2]}",13349480423077743689,,same_range,G,599,0.00185901249256395,2,G-S;G-E,29,000000000001001111001111000011000000000000000000000010111111000110000000000000000000000000011000001100000100000110000110,fd8b45e80fe3d9906457c1dc7d3119a209568433f1e441d1ee0478e1c035eb41,0,0,43,27.919228224675724,111.6769128987029,verified,1.0503631082847023,1.1147006264046395,97cd342fe5d68919dffee97fe5ff2d37bcfdbfd461eb357e9ca92f75ee05c712,received/full_run_records.zip!/fd8b45e80fe3d9906457c1dc7d3119a209568433f1e441d1ee0478e1c035eb41/label.json,739e916a53c1b452668a50af0be232c7fc939925509b2a301349d1d50853c70c,received/full_run_records.zip!/fd8b45e80fe3d9906457c1dc7d3119a209568433f1e441d1ee0478e1c035eb41/label.json
53e13ab442c2858b5151d503243b40301acfc13101546aabd9efb66066545262,110001110111111111010011101010100100001111010110111100001110101001011101101101110110111100111101100010011101110011111001,U,U/pool/field_01920/attempt_0/params_9812ed5b92190b6b,train,"{""attempt"": 0, ""m"": 72}",13349480423077743689,,same_range,G,600,0.002321700046268755,1,G-S;G-E,74,110001110111111110010011101010100100001111010110111100001110101001011101101101110110011100111101100010011101110011111001,7c8e668cb1bedc54f653cc345fd16f1a01edd4768d24650bcb1935cc6c80c5ad,2,1,37,70.2469144830872,280.9876579323488,verified,2.764517061293071,0.6927945138645621,97cd342fe5d68919dffee97fe5ff2d37bcfdbfd461eb357e9ca92f75ee05c712,received/full_run_records.zip!/53e13ab442c2858b5151d503243b40301acfc13101546aabd9efb66066545262/label.json,739e916a53c1b452668a50af0be232c7fc939925509b2a301349d1d50853c70c,received/full_run_records.zip!/53e13ab442c2858b5151d503243b40301acfc13101546aabd9efb66066545262/label.json
101373f4273f67a17970038986013da54ddcfe4be21166e632bcf917d5f0163d,111011111101001011010111111011110111100001001011101110101100010101000011111001101000011000101111100111010000101101011110,U,U/pool/field_00143/attempt_0/params_88d63c0241e1c3f5,train,"{""attempt"": 0, ""m"": 68}",13349480423077743689,,same_range,G,601,0.002305175490779298,4,G-S;G-E,70,101011111101001011010110111011110111100001001011101110101100010101000011111001101000011000101111100111010000101101011110,0e573d91658b29a1d3860ecbf206138c297fb0c527c921fca69d76abf0645112,2,1,36,66.669149554476,266.676598217904,verified,2.4855640967825376,1.1029128099434997,97cd342fe5d68919dffee97fe5ff2d37bcfdbfd461eb357e9ca92f75ee05c712,received/full_run_records.zip!/101373f4273f67a17970038986013da54ddcfe4be21166e632bcf917d5f0163d/label.json,739e916a53c1b452668a50af0be232c7fc939925509b2a301349d1d50853c70c,received/full_run_records.zip!/101373f4273f67a17970038986013da54ddcfe4be21166e632bcf917d5f0163d/label.json
