tavg_band_nm,full_scheme_a_train_pool,v2_train_count,v3_train_count,v3_selected_over_pool_percent,v3_share_of_training_percent,selected_models_v2_test_mae_nm
<0.5,3497,362,1800,51.47269087789534,6.0,0.09981238095104573
0.5-1.0,7172,685,3000,41.82933630786391,10.0,0.09631990475787056
1.0-1.5,11204,1141,4000,35.701535166012135,13.333333333333334,0.08088087089478024
1.5-2.0,25701,2553,5500,21.399945527411386,18.333333333333332,0.04908763073586129
2.0-2.5,36758,3691,8000,21.76396974808205,26.666666666666668,0.03146454302606032
2.5-3.0,32289,3216,7161,22.177831459630216,23.87,0.03699630960372763
>=3.0,539,52,539,100.0,1.7966666666666666,0.14456872807608706
