epoch,train_mse_scaled,validation_mse_scaled
1,1.0434046983718872,0.08606071770191193
2,0.9355733394622803,0.07475873082876205
3,0.8857263922691345,0.10702822357416153
4,0.818506121635437,0.16843019425868988
5,0.75835782289505,0.23613810539245605
6,0.716854453086853,0.27268317341804504
7,0.6758972406387329,0.2656342387199402
8,0.6256549954414368,0.23050005733966827
9,0.572058379650116,0.19017213582992554
10,0.5223219990730286,0.16123773157596588
11,0.4738946557044983,0.14716558158397675
12,0.42050373554229736,0.14561620354652405
13,0.36401665210723877,0.15212833881378174
14,0.31277021765708923,0.15429119765758514
15,0.26715052127838135,0.13932208716869354
16,0.22050943970680237,0.1113397479057312
17,0.17343610525131226,0.08590073883533478
18,0.13359194993972778,0.07408283650875092
19,0.10101955384016037,0.07363017648458481
20,0.07192804664373398,0.08076103031635284
21,0.051651496440172195,0.08373244851827621
22,0.04190787672996521,0.06998734176158905
23,0.036030665040016174,0.05023447424173355
24,0.03664033114910126,0.03798075020313263
25,0.042103275656700134,0.03306744247674942
26,0.045290276408195496,0.031799398362636566
27,0.04880748316645622,0.026938263326883316
28,0.048466235399246216,0.019427184015512466
29,0.04281126335263252,0.015697043389081955
30,0.036213625222444534,0.014858360402286053
31,0.026971496641635895,0.016720661893486977
32,0.01823076792061329,0.017981108278036118
33,0.011820006184279919,0.015053844079375267
34,0.00635668495669961,0.011893040500581264
35,0.004399391822516918,0.011090230196714401
36,0.004525685682892799,0.012531441636383533
37,0.005858489777892828,0.013130933046340942
38,0.008288863115012646,0.009815303608775139
39,0.009540301747620106,0.005996363237500191
40,0.010352793149650097,0.004339485429227352
41,0.010134867392480373,0.0043872990645468235
42,0.008742203935980797,0.004359044134616852
43,0.007117019966244698,0.002760606585070491
44,0.004850694909691811,0.0014348167460411787
45,0.0031686711590737104,0.0012812059139832854
46,0.0020827744156122208,0.001774569391272962
47,0.0016179051017388701,0.0021036278922110796
48,0.001928668119944632,0.0017630575457587838
49,0.0023093498311936855,0.0017164390301331878
50,0.0030023856088519096,0.0018825875595211983
51,0.003305442165583372,0.0021494657266885042
52,0.003320685587823391,0.0021164468489587307
53,0.0029121884144842625,0.0017685361672192812
54,0.002255209255963564,0.0014599828282371163
55,0.0016184243140742183,0.0013908961554989219
56,0.0009584876825101674,0.0015539362793788314
57,0.0006211691652424634,0.001342466101050377
58,0.00041451831930316985,0.0012015702668577433
59,0.0005436634528450668,0.0015297678764909506
60,0.0007206700392998755,0.002107473323121667
61,0.0009463331080041826,0.0021190436091274023
62,0.0010670142946764827,0.0017040923703461885
63,0.0010799446608871222,0.0015680075157433748
64,0.001007230719551444,0.0017652057576924562
65,0.0008202365133911371,0.0018256048206239939
66,0.0006386950262822211,0.0015130063984543085
67,0.000444709206931293,0.001325093093328178
68,0.0003730186726897955,0.001440883963368833
69,0.00033982854802161455,0.001563926925882697
70,0.00040046049980446696,0.0013414622517302632
71,0.0004524560645222664,0.001109378063119948
72,0.0005293764406815171,0.0011348947882652283
73,0.0005468067247420549,0.001256570452824235
74,0.0005334853194653988,0.0011677282163873315
75,0.0004618852399289608,0.0010255139786750078
76,0.00038850167766213417,0.0010742878075689077
77,0.00031180516816675663,0.0012353335041552782
78,0.0002635144628584385,0.0012315621133893728
79,0.0002370731090195477,0.0011278437450528145
80,0.0002443638804834336,0.0011663926998153329
81,0.0002636063436511904,0.001302130171097815
